StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-28,1419.45,1472.9,1416.1,1426.65,1433.0,1408.9,555877,802383117.75,34518
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-27,1397.0,1444.7,1380.0,1408.9,1412.0,1392.4,603349,854462223.1,37612
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-26,1380.0,1415.85,1345.0,1392.4,1395.5,1393.2,522256,721973820.4,41593
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-22,1409.0,1428.2,1370.4,1393.2,1389.95,1408.35,677845,946516821.05,51262
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-21,1296.8,1424.95,1294.0,1408.35,1396.0,1276.35,1724060,2375390589.05,86801
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-20,1286.1,1295.0,1243.05,1276.35,1278.6,1281.1,245596,312396852.95,22296
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-19,1276.85,1294.0,1232.6,1281.1,1293.05,1274.85,346062,437474707.85,31493
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-18,1238.4,1310.0,1230.05,1274.85,1269.5,1241.1,549590,700832577.15,46912
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-15,1278.0,1331.95,1205.05,1241.1,1243.0,1273.45,756999,947836489.3,56741
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-14,1074.95,1294.0,1050.0,1273.45,1286.8,1078.5,1454430,1775636329.55,92116
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-13,1265.05,1305.0,1044.3,1078.5,1080.0,1265.0,802633,926849180.05,41772
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-12,1307.7,1309.5,1211.1,1265.0,1260.0,1291.7,546515,688099764.75,25148
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-11,1382.0,1382.0,1285.1,1291.7,1289.0,1383.35,307743,404611263.55,22293
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-07,1391.0,1424.4,1350.5,1383.35,1382.0,1383.9,258094,358995589.2,14333
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-06,1414.5,1461.1,1260.45,1383.9,1392.0,1402.7,419566,574860306.0,27365
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-05,1402.0,1430.0,1390.05,1402.7,1418.0,1391.95,369531,520149880.15,18823
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-04,1489.4,1489.4,1376.35,1391.95,1394.9,1487.3,1038710,1468702163.4,60856
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-02,1439.7,1489.4,1439.7,1487.3,1489.4,1418.5,234665,347490887.35,11259
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-03-01,1299.0,1478.0,1276.25,1418.5,1448.8,1264.15,1796623,2451823365.8,80317
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-29,1220.1,1295.0,1220.1,1264.15,1285.95,1214.3,1150990,1446219178.7,64154
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-28,1257.9,1278.4,1202.35,1214.3,1219.0,1244.7,546336,679721257.7,37876
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-27,1155.55,1255.1,1150.0,1244.7,1248.95,1158.55,1093352,1343253680.8,60146
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-26,1176.05,1179.9,1151.1,1158.55,1155.05,1170.45,154249,179580683.2,15209
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-23,1100.0,1179.0,1095.5,1170.45,1174.95,1095.45,421853,483903933.05,31158
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-22,1120.1,1128.35,1086.9,1095.45,1090.0,1108.0,243417,268692679.9,22110
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-21,1137.6,1154.65,1100.0,1108.0,1111.0,1129.85,239338,269740988.75,20329
Action Construction Equipment Limited,INE731H01025,2006-09-26,EQ,ACE,2024-02-20,1173.1,1173.5,1127.0,1129.85,1132.0,1169.0,234941,267069099.75,19239
