StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-28,655.85,676.95,655.85,669.0,665.35,653.45,315691,210682530.35,20468
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-27,636.35,658.75,636.35,653.45,656.0,636.35,502943,325934951.4,18473
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-26,635.75,645.0,628.65,636.35,636.0,638.75,305970,195152245.35,15951
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-22,622.8,643.0,620.1,638.75,635.2,621.95,642505,408000359.85,21917
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-21,614.0,632.0,609.05,621.95,623.9,605.85,389742,242663143.2,24638
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-20,608.5,616.4,596.05,605.85,602.0,606.2,507240,306654115.8,30038
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-19,620.0,622.55,601.25,606.2,605.3,614.4,347735,212252760.0,21416
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-18,615.55,631.0,600.25,614.4,615.5,596.6,1378025,846427409.8,64419
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-15,589.0,621.0,571.3,596.6,618.0,588.4,3365498,1996611687.75,147202
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-14,602.0,603.45,584.8,588.4,590.0,607.3,873115,517190976.8,54343
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-13,637.0,637.0,583.3,607.3,600.0,639.15,1516224,914085403.55,69489
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-12,652.0,653.15,615.0,639.15,629.2,649.7,999532,630664049.25,80943
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-11,694.8,696.9,645.85,649.7,648.0,687.95,613001,403391135.55,38357
Archean Chemical Industries Limited,INE128X01021,2022-11-21,EQ,ACI,2024-03-07,703.0,703.0,679.05,687.95,688.0,700.65,458109,315590045.05,33386
