StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-28,1832.55,1863.0,1820.0,1835.15,1830.0,1822.5,605145,1111875077.65,34507
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-27,1869.7,1895.0,1804.0,1822.5,1814.45,1859.0,1172737,2158783939.45,60776
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-26,1840.0,1938.7,1840.0,1859.0,1853.95,1851.75,955701,1800822987.65,59124
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-22,1857.05,1865.0,1837.05,1851.75,1845.0,1855.35,390803,722839158.45,34548
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-21,1861.0,1869.0,1831.25,1855.35,1851.0,1847.75,328500,609579165.1,25191
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-20,1834.9,1861.95,1812.85,1847.75,1840.0,1821.55,463752,851435655.9,33718
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-19,1870.0,1892.4,1801.15,1821.55,1822.0,1869.9,587661,1080453921.6,41918
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-18,1810.05,1899.9,1750.85,1869.9,1860.05,1902.6,1479146,2741685818.9,96080
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-15,1902.0,1944.95,1870.45,1902.6,1900.5,1895.3,1749994,3338494674.3,80298
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-14,1716.0,1913.0,1663.2,1895.3,1902.0,1725.0,1875930,3460809880.7,121018
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-13,1897.1,1916.6,1650.0,1725.0,1739.0,1897.1,2348187,4126818167.0,167092
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-12,1930.0,1939.0,1873.1,1897.1,1893.75,1930.3,639409,1217414006.3,40656
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-11,1930.0,1983.55,1904.1,1930.3,1929.0,1929.1,755932,1464985105.3,55273
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-07,1919.9,1949.95,1910.8,1929.1,1923.0,1910.5,517466,997771979.4,31493
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-06,1950.0,1953.5,1894.3,1910.5,1920.0,1947.4,643437,1232504103.3,47746
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-05,1943.2,1970.0,1938.0,1947.4,1943.0,1940.7,415461,810802142.3,27977
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-04,1977.55,1998.55,1930.0,1940.7,1937.9,1971.35,609441,1193216623.1,37277
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-02,1969.9,1980.75,1946.0,1971.35,1971.0,1969.55,116094,228916954.5,6903
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-03-01,1930.0,1998.0,1930.0,1969.55,1967.15,1895.05,947398,1865660164.65,70093
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-29,1921.0,1947.35,1855.95,1895.05,1920.0,1918.15,2243471,4250329841.7,78702
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-28,1989.8,1996.5,1891.0,1918.15,1921.0,1979.5,916806,1773911230.25,60614
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-27,1964.0,2018.95,1947.95,1979.5,1975.0,1970.45,1002672,1992286151.8,58902
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-26,1931.4,2000.0,1925.0,1970.45,1977.0,1923.3,1995834,3928427866.6,94621
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-23,1930.5,1943.3,1910.0,1923.3,1924.8,1922.65,599092,1155053142.95,32316
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-22,1915.0,1930.0,1866.7,1922.65,1923.55,1904.95,680137,1292311008.85,37754
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-21,1926.0,1962.1,1880.05,1904.95,1901.1,1926.65,1184961,2281594787.05,54094
Adani Green Energy Limited,INE364U01010,2018-06-18,EQ,ADANIGREEN,2024-02-20,1963.7,1964.0,1920.0,1926.65,1927.0,1955.05,1252526,2424724590.45,50697
