StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-28,3885.0,3975.0,3735.1,3915.25,3969.0,3886.3,109850,420357997.0,27751
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-27,3812.0,3934.9,3800.0,3886.3,3870.0,3801.05,91531,355697952.7,16933
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-26,3803.9,3812.2,3722.0,3801.05,3800.0,3796.45,42096,158816009.8,7302
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-22,3734.75,3819.5,3692.1,3796.45,3767.0,3716.55,27474,103556362.5,7097
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-21,3640.0,3763.4,3640.0,3716.55,3715.0,3642.9,115726,433221952.5,14244
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-20,3627.6,3662.7,3600.1,3642.9,3647.5,3645.9,87238,316021515.4,6883
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-19,3648.85,3655.0,3582.0,3645.9,3649.0,3636.85,30407,109916106.3,8514
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-18,3614.95,3647.9,3573.05,3636.85,3640.0,3616.1,56718,204166226.45,9020
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-15,3616.0,3659.65,3565.5,3616.1,3616.0,3616.0,45713,165241340.9,8093
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-14,3621.0,3632.0,3578.3,3616.0,3621.95,3629.85,41986,151863414.0,9934
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-13,3685.65,3692.95,3554.1,3629.85,3645.0,3694.9,47161,170475212.4,15447
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-12,3652.35,3709.95,3622.35,3694.9,3709.95,3672.35,30137,110556366.85,9489
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-11,3708.5,3716.5,3645.0,3672.35,3675.0,3699.15,22115,81148134.3,5532
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-07,3670.0,3720.0,3632.0,3699.15,3710.0,3653.4,61123,223194628.55,12150
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-06,3718.95,3735.0,3612.3,3653.4,3640.0,3715.2,58780,215357195.25,17042
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-05,3685.0,3740.0,3673.45,3715.2,3695.05,3714.05,54458,201209816.8,8218
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-04,3765.0,3765.0,3662.4,3714.05,3715.0,3713.3,64930,239825983.9,11643
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-02,3686.5,3733.4,3683.25,3713.3,3720.0,3686.45,1646,6118129.5,391
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-03-01,3643.0,3745.05,3635.25,3686.45,3683.25,3645.5,77347,286403307.65,10819
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-29,3683.3,3695.0,3634.9,3645.5,3655.0,3703.25,63569,232104684.7,13162
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-28,3800.0,3811.6,3690.0,3703.25,3690.0,3791.8,41007,152873375.05,11720
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-27,3710.0,3818.7,3680.0,3791.8,3807.0,3721.9,53440,200536130.75,11541
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-26,3729.95,3750.2,3685.0,3721.9,3721.8,3743.4,41357,153803090.35,12952
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-23,3748.4,3765.6,3715.25,3743.4,3759.0,3748.5,41557,155146291.65,14422
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-22,3797.7,3817.7,3722.15,3748.5,3755.0,3797.7,53614,201266474.95,14809
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-21,3875.0,3875.0,3770.0,3797.7,3799.95,3876.25,77094,294658421.35,14992
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-20,3922.0,3922.0,3851.05,3876.25,3865.0,3922.65,134624,522433762.6,10422
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-19,3864.0,3970.0,3840.05,3922.65,3916.55,3859.9,35602,139352834.7,9908
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-16,3830.25,3909.0,3830.0,3859.9,3835.25,3846.1,70690,272472271.75,11933
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-15,3931.6,3945.0,3815.0,3846.1,3850.0,3931.55,115738,447909295.95,19291
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-14,3950.0,3966.55,3897.05,3931.55,3950.0,3969.25,27769,109189208.75,8844
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-13,3907.0,3990.0,3756.05,3969.25,3977.0,3932.6,104554,407242930.8,20653
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-12,3940.0,3978.6,3900.0,3932.6,3909.0,3936.4,55358,217872322.25,9557
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-09,3964.95,3965.0,3814.0,3936.4,3919.0,3935.55,73236,284278792.6,14856
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-08,4033.4,4119.0,3885.0,3935.55,3939.95,4129.35,262892,1042025405.55,39602
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-07,4408.0,4542.45,4038.6,4129.35,4150.0,4423.05,277798,1168569005.3,47270
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-06,4377.0,4444.95,4302.1,4423.05,4378.0,4323.2,56681,248139758.2,14165
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-05,4468.25,4479.0,4272.0,4323.2,4380.0,4461.2,104268,455792142.1,15553
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-02,4329.75,4591.2,4289.0,4461.2,4485.0,4356.4,187535,833909504.15,36723
AIA Engineering Limited,INE212H01026,2005-12-14,EQ,AIAENG,2024-02-01,4074.0,4630.0,3986.15,4356.4,4289.0,4107.35,566698,2500974134.9,90035
