StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-28,1842.35,1871.3,1808.0,1813.95,1810.9,1842.35,132096,241645120.05,17766
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-27,1889.35,1915.0,1825.0,1842.35,1839.6,1885.6,127579,238785619.75,19208
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-26,1927.0,1945.1,1875.05,1885.6,1885.0,1945.55,120002,228407086.2,16599
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-22,1919.0,1983.55,1919.0,1945.55,1938.95,1918.85,89165,174423634.45,10698
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-21,1933.0,1950.0,1913.0,1918.85,1921.0,1913.6,48158,92662655.5,7287
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-20,1974.9,1979.95,1910.0,1913.6,1915.0,1961.0,47084,90926894.75,9542
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-19,1980.0,1993.85,1960.0,1961.0,1960.7,1981.2,32543,64071394.5,5672
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-18,1981.85,2011.0,1975.0,1981.2,1979.0,1981.8,29882,59407165.15,4676
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-15,1965.0,2013.45,1965.0,1981.8,1981.8,1966.7,38612,76692384.15,6397
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-14,1975.1,2020.05,1957.05,1966.7,1965.0,1975.1,65686,130574169.65,14405
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-13,2021.05,2064.9,1966.2,1975.1,1973.9,2040.05,77925,155442451.25,16573
Alkyl Amines Chemicals Limited,INE150B01039,2007-11-26,EQ,ALKYLAMINE,2024-03-12,2110.1,2131.95,2038.0,2040.05,2040.0,2103.6,70902,146370406.95,11678
