StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-28,26.3,26.4,25.8,25.85,25.9,26.1,5506293,143336803.15,16065
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-27,26.7,27.2,26.0,26.1,26.2,26.65,4946768,130587935.35,15523
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-26,27.5,27.7,26.6,26.65,26.7,27.35,4569939,123164339.15,14742
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-22,27.0,27.95,27.0,27.35,27.3,27.05,2420236,66534639.2,10055
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-21,27.0,27.3,26.85,27.05,27.1,26.6,2289731,62048636.45,9229
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-20,27.4,27.6,25.8,26.6,26.5,27.15,3168975,84402169.95,12543
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-19,27.7,28.0,27.0,27.15,27.1,27.7,2890492,78901878.8,11482
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-18,27.4,28.75,27.4,27.7,27.7,27.4,2390209,66780844.6,11445
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-15,28.05,28.1,26.9,27.4,27.6,28.15,3232195,88676443.55,14148
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-14,26.05,28.35,25.8,28.15,28.15,27.15,5960900,160521703.7,19806
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-13,28.5,28.55,27.15,27.15,27.15,28.55,3264820,89183709.55,16783
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-12,30.0,30.5,28.4,28.55,28.65,29.9,3750144,107939406.05,17958
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-11,32.0,32.0,29.65,29.9,29.95,30.5,7925918,245740764.75,28447
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-07,30.5,30.5,29.9,30.5,30.5,29.05,8862660,268758378.15,25935
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-06,29.05,29.05,29.05,29.05,29.05,27.7,3495385,101540934.25,11594
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-05,28.3,28.35,27.6,27.7,27.8,28.1,2237705,62312593.45,13245
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-04,29.0,29.0,28.05,28.1,28.25,28.7,2269527,64503500.55,12294
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-02,28.85,29.1,28.0,28.7,28.8,28.65,745061,21402765.6,4355
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-03-01,29.4,29.55,28.6,28.65,28.7,28.85,2518374,72670462.8,12680
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-29,28.05,29.25,27.4,28.85,29.25,27.9,3653924,103116995.65,14722
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-28,28.9,29.4,27.5,27.9,27.8,28.9,3646516,102325643.95,18724
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-27,29.7,29.75,28.7,28.9,28.9,29.7,2485616,72353566.0,14373
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-26,30.05,30.5,29.6,29.7,29.65,29.65,4550216,136543967.95,19754
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-23,28.65,29.9,28.5,29.65,29.65,28.55,5973666,176270960.3,19605
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-22,28.5,28.8,28.0,28.55,28.5,28.5,2653186,75136108.25,14051
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-21,29.3,29.4,28.45,28.5,28.5,29.05,3099819,89148583.6,16374
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-20,29.5,29.7,29.0,29.05,29.05,29.4,2392311,70122938.35,14167
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-19,29.1,30.0,28.4,29.4,29.35,29.05,4344564,126824189.4,21041
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-16,29.9,29.95,29.0,29.05,29.15,29.4,2848978,83434290.2,18857
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-15,29.2,29.8,29.1,29.4,29.45,29.0,3084651,91098075.35,18018
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-14,28.95,29.2,28.3,29.0,29.15,29.05,2489053,71826786.65,15373
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-13,28.55,29.5,27.15,29.05,29.0,28.55,6019549,169643074.75,25431
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-12,30.7,30.7,28.4,28.55,28.65,29.9,5819015,168524191.65,30685
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-09,31.0,31.05,29.35,29.9,29.95,30.5,5286060,158048012.2,27456
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-08,31.05,31.25,30.45,30.5,30.65,30.8,4494438,138422931.35,24118
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-07,30.9,31.1,30.6,30.8,30.9,30.55,5186982,160185352.35,28294
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-06,31.35,31.35,30.3,30.55,30.65,30.55,5793069,177975584.35,31068
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-05,31.2,31.85,30.5,30.55,30.6,31.15,8217556,255116458.15,47904
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-02,32.25,32.25,30.3,31.15,31.2,31.6,6631746,207791403.7,33910
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-02-01,32.5,32.6,31.5,31.6,31.6,32.5,5275738,167940312.75,29196
Alok Industries Limited,INE270A01029,2020-02-19,BE,ALOKINDS,2024-01-31,32.0,32.7,30.85,32.5,32.4,31.6,8421138,266924579.55,30606
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-30,32.35,32.45,31.3,31.6,31.65,32.05,10906221,345756266.7,33392
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-29,32.5,32.85,31.8,32.05,32.0,32.25,16312280,528270629.85,42102
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-25,32.8,33.6,32.05,32.25,32.25,33.0,21213985,693752120.5,47964
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-24,30.3,33.1,29.05,33.0,33.1,30.1,49794980,1585073466.5,74453
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-23,31.9,32.15,30.0,30.1,30.2,31.65,17720522,540556950.95,64733
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-20,32.5,32.55,31.4,31.65,31.7,31.9,10789226,342277604.45,40557
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-19,31.6,32.6,31.6,31.9,31.95,31.05,20994756,672939757.85,61944
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-18,31.0,31.45,29.8,31.05,31.2,33.1,45270398,1387618254.85,101603
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-17,32.3,34.0,31.55,33.1,32.8,32.5,31474430,1044066795.85,75879
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-16,34.2,34.35,31.25,32.5,32.55,34.05,33764787,1106107312.45,91448
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-15,35.15,35.85,33.8,34.05,34.1,34.5,28395773,980722649.6,91898
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-12,36.95,37.25,33.7,34.5,34.75,36.8,55325695,1926189311.0,148432
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-11,37.8,38.75,36.5,36.8,36.9,37.5,50418947,1889546503.65,112433
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-10,37.6,38.4,36.4,37.5,37.5,37.05,71780749,2683291429.1,145199
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-09,37.5,39.05,35.85,37.05,37.1,35.5,186790122,7043255343.95,278148
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-08,33.4,35.5,33.1,35.5,35.5,32.3,42721219,1488514626.15,59047
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-05,27.5,32.55,27.4,32.3,32.55,27.15,344757127,10729926737.3,396574
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-04,28.2,28.25,26.8,27.15,27.2,27.65,62997398,1718757784.5,98484
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-03,27.45,29.1,27.0,27.65,27.7,25.8,215644507,6038618707.8,246655
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-02,21.65,25.8,21.0,25.8,25.8,21.5,93697408,2270144548.4,70092
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2024-01-01,21.4,21.85,21.4,21.5,21.6,21.35,10352267,223153067.6,19587
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-29,21.35,21.65,21.1,21.35,21.35,21.2,12044912,257191065.55,13779
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-28,21.7,21.7,21.05,21.2,21.15,21.5,8939279,191040884.3,13263
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-27,22.0,22.05,21.35,21.5,21.5,21.85,9243474,200075753.9,15714
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-26,21.8,21.95,21.5,21.85,21.85,21.65,9732571,211734654.25,18322
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-22,21.65,21.9,21.2,21.65,21.7,21.55,12807053,276828059.0,15713
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-21,20.85,21.75,20.5,21.55,21.55,20.85,21870898,465858906.55,26552
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-20,23.05,23.85,20.5,20.85,20.95,22.95,43880495,975817779.4,44311
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-19,22.7,23.4,22.65,22.95,23.0,22.6,18552117,427614156.75,21466
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-18,22.95,23.0,22.5,22.6,22.6,22.95,14262406,323867144.4,20235
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-15,22.8,23.6,22.6,22.95,22.9,22.65,25412345,586624920.95,23048
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-14,23.3,23.4,22.5,22.65,22.65,22.9,15034520,343579058.7,21106
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-13,23.25,23.5,22.4,22.9,22.95,23.0,22874379,522120127.15,25080
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-12,23.5,24.85,22.65,23.0,23.0,23.35,80378426,1920455297.85,67437
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-11,23.9,24.25,23.15,23.35,23.4,23.3,51179534,1204693443.1,50793
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-08,21.0,23.8,20.6,23.3,23.7,20.65,161040735,3640401246.1,105537
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-07,20.4,21.35,20.2,20.65,20.75,20.2,33703654,701570239.45,29280
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-06,20.05,21.05,19.85,20.2,20.25,19.95,31594818,647741574.8,28149
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-05,20.2,20.4,19.7,19.95,19.95,20.15,11753204,235297872.85,13007
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-04,20.3,20.35,19.8,20.15,20.15,19.7,17365121,349368297.3,18364
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-12-01,19.8,20.15,19.55,19.7,19.6,19.65,10921088,216634063.75,11476
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-30,20.15,20.15,19.5,19.65,19.65,20.0,10640957,209694930.25,16143
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-29,20.4,20.6,19.9,20.0,20.0,20.3,13167507,265873750.9,13979
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-28,20.2,20.45,19.9,20.3,20.4,20.05,12551738,252926528.4,13329
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-24,20.4,20.85,19.95,20.05,20.2,20.3,16837701,342817301.8,12882
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-23,20.35,20.65,20.2,20.3,20.25,20.1,13635745,277942748.45,13637
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-22,20.65,20.75,19.85,20.1,20.15,20.6,17743544,359643579.75,15962
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-21,21.25,21.45,20.45,20.6,20.6,21.1,22020593,457246412.35,20765
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-20,21.3,22.5,20.9,21.1,21.05,21.05,63905789,1393303270.35,63167
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-17,21.5,21.65,20.75,21.05,21.0,21.3,34513393,731085967.8,31451
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-16,19.6,21.6,19.45,21.3,21.45,19.4,93603090,1961430358.75,72387
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-15,19.55,19.85,19.3,19.4,19.45,19.3,13712990,267795859.3,14412
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-13,18.8,19.45,18.65,19.3,19.4,18.85,13930770,267131988.0,13993
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-12,18.9,19.0,18.8,18.85,18.85,18.75,2366692,44713190.45,7459
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-10,18.75,18.95,18.55,18.75,18.8,18.75,7686138,144152333.3,9249
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-09,19.3,19.4,18.5,18.75,18.8,19.3,11259125,214367349.4,13451
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-08,19.8,19.9,19.15,19.3,19.25,19.6,19347761,376183095.75,18363
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-07,18.55,19.9,18.15,19.6,19.55,18.45,47560551,921301563.75,29363
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-06,17.9,18.65,17.85,18.45,18.45,17.75,15721451,288395749.1,14958
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-03,17.8,18.3,17.6,17.75,17.8,17.4,13071674,233841050.45,12015
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-02,17.35,17.75,17.25,17.4,17.35,17.25,7540520,131680194.9,7589
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-11-01,17.45,17.6,17.1,17.25,17.25,17.4,5649257,97971899.35,7538
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-31,17.45,17.8,17.25,17.4,17.4,17.35,6122419,106740721.15,7317
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-30,17.6,17.8,17.2,17.35,17.35,17.6,6767032,117757529.1,9536
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-27,17.15,17.7,17.1,17.6,17.6,16.9,8007889,139542507.4,10501
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-26,16.95,17.15,16.1,16.9,17.0,17.2,16884848,280320358.8,19483
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-25,17.7,18.25,16.7,17.2,17.2,17.7,13059545,228335940.4,16104
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-23,19.55,19.75,17.55,17.7,17.7,19.4,17311778,318603311.7,20501
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-20,20.0,20.35,19.3,19.4,19.5,20.0,14323122,282907787.5,12591
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-19,18.95,20.2,18.75,20.0,20.1,18.95,28229318,555322277.3,20107
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-18,19.7,19.85,18.9,18.95,19.0,19.7,11179333,214409188.1,11441
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-17,20.1,20.35,19.5,19.7,19.7,19.95,13604334,270937340.2,14269
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-16,19.3,20.5,19.15,19.95,19.95,19.15,46559797,931978261.35,33454
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-13,18.5,19.45,18.4,19.15,19.25,18.65,19975866,380871793.2,19091
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-12,18.2,18.95,18.2,18.65,18.65,18.1,11369393,211576793.25,12015
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-11,18.0,18.4,18.0,18.1,18.15,17.9,5796378,105425058.35,8169
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-10,17.85,18.25,17.8,17.9,18.0,17.7,7481630,134455115.05,9816
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-09,18.1,18.4,17.65,17.7,17.75,18.7,9638915,172132839.55,16197
Alok Industries Limited,INE270A01029,2020-02-19,EQ,ALOKINDS,2023-10-06,18.5,18.9,18.3,18.7,18.6,18.45,8722732,162045291.35,10264
