StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-28,607.5,617.0,602.25,612.35,613.0,601.5,3861492,2362867533.75,66533
Ambuja Cements Limited,INE079A01024,1998-02-18,T0,AMBUJACEM,2024-03-28,607.0,613.7,607.0,612.35,610.5,601.5,5,3045.4,4
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-27,598.0,610.0,596.95,601.5,605.0,595.05,5070366,3060599485.45,80839
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-26,589.35,600.4,586.5,595.05,593.1,589.35,2175165,1292950109.15,36059
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-22,588.0,594.7,581.55,589.35,591.0,587.2,1818091,1072282239.4,44640
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-21,580.0,590.9,580.0,587.2,586.45,576.35,1977799,1160806733.3,69383
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-20,581.35,587.5,566.6,576.35,576.15,580.3,1678012,965931492.55,50023
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-19,582.0,588.6,572.55,580.3,581.3,584.65,2021483,1171936224.75,41731
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-18,595.0,595.0,582.2,584.65,585.0,600.75,6348109,3724783252.0,131346
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-15,583.8,603.85,575.85,600.75,599.9,582.45,3693325,2189257108.45,73898
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-14,555.5,584.7,551.7,582.45,584.0,559.25,3200499,1840212237.0,64946
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-13,589.35,590.35,550.8,559.25,559.0,587.55,5946259,3369097288.4,97015
Ambuja Cements Limited,INE079A01024,1998-02-18,EQ,AMBUJACEM,2024-03-12,605.0,605.9,584.05,587.55,585.2,602.05,2900178,1716641872.5,65652
