StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-28,3040.0,3115.0,2975.1,3045.0,3030.05,2973.05,872601,2670730367.2,68144
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-27,2730.05,2999.0,2653.9,2973.05,2985.0,2722.05,1237051,3565268304.55,123631
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-26,2735.0,2760.9,2674.65,2722.05,2750.0,2660.65,516991,1404140699.35,39713
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-22,2620.05,2719.95,2615.95,2660.65,2662.55,2615.85,440571,1182322143.3,41053
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-21,2649.95,2669.0,2601.85,2615.85,2609.0,2591.65,272225,717631060.7,28698
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-20,2487.9,2678.0,2486.05,2591.65,2581.25,2474.2,603067,1565585286.85,56326
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-19,2530.0,2557.4,2456.5,2474.2,2480.1,2536.1,179391,449844005.65,23706
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-18,2624.95,2675.0,2525.0,2536.1,2535.0,2624.95,279645,719366398.7,39924
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-15,2693.0,2704.0,2511.0,2624.95,2619.0,2650.0,477531,1241733465.35,53730
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-14,2445.9,2685.0,2422.75,2650.0,2663.0,2435.2,814104,2120507785.95,73284
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-13,2538.8,2560.7,2335.4,2435.2,2416.0,2526.1,811940,1975830246.65,97293
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-12,2684.4,2685.5,2502.0,2526.1,2530.0,2674.45,554136,1424200693.15,55536
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-11,2739.35,2750.9,2625.0,2674.45,2679.5,2736.15,406809,1085897843.05,45962
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-07,2784.25,2823.1,2725.1,2736.15,2732.0,2760.05,261260,717473050.25,31912
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-06,2875.0,2877.8,2750.0,2760.05,2754.0,2882.5,326018,910224593.15,41233
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-05,2900.0,2915.45,2852.1,2882.5,2874.45,2878.7,193497,557908926.0,21672
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-04,2925.0,2955.4,2800.0,2878.7,2875.45,2833.15,1009984,2902799709.55,66542
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-02,2819.95,2850.0,2819.95,2833.15,2834.95,2813.9,31703,89708367.45,4475
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-03-01,2816.95,2892.0,2794.05,2813.9,2806.7,2782.7,469886,1335214210.15,41748
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-29,2869.0,2900.0,2750.5,2782.7,2779.9,2867.2,685326,1914752923.5,50653
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-28,2944.0,2945.0,2856.55,2867.2,2868.95,2917.8,223116,645701564.95,28300
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-27,3025.0,3025.0,2910.0,2917.8,2923.85,2972.9,365886,1074482493.6,35565
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-26,3040.0,3092.1,2956.1,2972.9,2967.2,3038.35,310403,931319997.55,34575
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-23,3120.0,3125.0,3022.1,3038.35,3038.8,3063.6,320652,983231780.0,30015
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-22,3127.45,3143.45,3036.0,3063.6,3072.35,3089.35,282345,870256287.4,37237
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-21,3170.0,3185.8,3080.0,3089.35,3095.0,3149.1,131298,410713375.45,20494
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-20,3239.4,3270.0,3124.45,3149.1,3180.0,3229.35,218690,698216804.35,25616
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-19,3295.0,3304.1,3156.95,3229.35,3215.0,3275.15,123064,402148530.25,20414
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-16,3287.0,3308.95,3235.25,3275.15,3267.0,3269.75,94931,310870301.9,18359
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-15,3305.3,3318.45,3251.6,3269.75,3274.95,3275.85,136826,448589419.95,25299
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-14,3225.0,3293.45,3192.75,3275.85,3270.0,3263.05,138884,450989857.25,20092
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-13,3204.2,3283.4,3117.05,3263.05,3273.0,3204.2,172574,554696557.85,29305
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-12,3400.0,3418.15,3180.0,3204.2,3199.4,3394.35,209280,681426612.2,35172
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-09,3418.7,3437.6,3301.0,3394.35,3393.0,3398.4,206713,698402985.35,31759
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-08,3363.0,3438.2,3363.0,3398.4,3410.0,3345.0,366387,1249460526.25,33227
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-07,3219.0,3363.45,3202.8,3345.0,3356.0,3132.5,457752,1515361867.35,37958
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-06,3212.65,3253.2,3060.2,3132.5,3137.0,3212.55,337693,1056799347.8,42937
Angel One Limited,INE732I01013,2020-10-05,EQ,ANGELONE,2024-02-05,3325.0,3354.55,3192.0,3212.55,3225.05,3338.35,244132,798085832.8,35349
