StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-28,865.0,878.8,860.55,870.45,869.0,863.1,61827,53548829.15,5067
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-27,879.6,882.0,850.0,863.1,862.1,880.4,90042,78324981.95,6117
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-26,886.25,889.95,870.0,880.4,873.15,887.8,53528,47169637.55,2510
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-22,892.65,895.1,885.0,887.8,885.0,892.65,75899,67449682.0,2283
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-21,892.65,905.55,887.0,892.65,894.0,890.55,79780,71151175.7,2744
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-20,898.9,900.45,889.0,890.55,891.2,899.6,31125,27819468.15,1967
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-19,908.9,914.95,895.05,899.6,900.0,911.35,83595,75427453.05,2432
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-18,906.8,920.0,902.0,911.35,911.0,910.05,38613,35082752.05,2034
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-15,923.9,925.5,901.05,910.05,903.0,923.75,101447,92330896.1,2930
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-14,895.95,929.5,892.0,923.75,919.0,914.0,106695,97470552.45,5330
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-13,932.85,934.6,900.0,914.0,910.0,932.9,111736,101849196.6,5181
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-12,949.9,949.9,921.0,932.9,923.05,948.5,64098,59861978.0,3946
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-11,936.65,954.4,920.1,948.5,941.0,936.65,109518,103322030.9,4752
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-07,953.85,957.35,917.15,936.65,945.0,953.85,181166,170487286.95,7848
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-06,955.25,961.0,940.5,953.85,949.45,957.55,141854,134870025.95,4693
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-05,960.0,960.0,945.05,957.55,956.0,956.7,94269,90002894.4,3619
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-04,945.0,966.0,945.0,956.7,955.45,958.1,95672,91545616.75,3203
Anupam Rasayan India Limited,INE930P01018,2021-03-24,EQ,ANURAS,2024-03-02,955.0,960.85,953.0,958.1,959.0,958.25,9637,9216041.7,273
