StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-28,7084.15,7170.0,6910.0,6978.9,6940.0,7030.2,178049,1251214359.7,36478
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-27,6849.95,7233.95,6846.9,7030.2,7042.95,7050.35,514202,3627990468.65,65650
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-26,6400.0,7400.0,6350.1,7050.35,6846.9,6344.05,1059437,7264148165.25,108782
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-22,6249.9,6448.0,6200.55,6344.05,6388.0,6207.3,89873,569728490.95,16008
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-21,6200.0,6375.0,6181.0,6207.3,6210.0,6149.65,182746,1148345916.7,20690
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-20,6035.9,6231.0,6020.0,6149.65,6150.1,6046.45,120526,738411162.8,15808
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-19,6107.05,6135.0,6012.5,6046.45,6020.0,6107.25,41225,250429257.5,12995
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-18,6076.0,6150.0,5876.0,6107.25,6066.55,6090.85,134020,808521927.0,27887
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-15,5754.95,6189.95,5585.0,6090.85,6070.0,5727.05,259603,1535855084.3,47901
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-14,5648.95,5777.95,5503.85,5727.05,5723.0,5781.2,108306,614975647.7,28270
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-13,6068.0,6089.15,5605.1,5781.2,5727.0,6074.35,126883,734386999.3,32679
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-12,6083.0,6149.25,5897.15,6074.35,6039.45,6083.4,202728,1205931923.7,18063
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-11,6100.0,6144.0,6039.0,6083.4,6071.0,6090.05,41822,254171687.05,10613
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-07,6059.0,6215.95,5997.05,6090.05,6095.0,6070.15,50937,311473132.7,13118
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-06,6156.7,6193.3,5835.0,6070.15,6029.0,6118.4,244496,1453662390.5,28075
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-05,6294.95,6294.95,6075.0,6118.4,6200.0,6250.45,65878,405268474.75,14664
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-04,6262.95,6275.7,6136.4,6250.45,6236.0,6259.6,86276,536407428.25,16447
Apar Industries Limited,INE372A01015,2004-07-12,EQ,APARINDS,2024-03-02,6300.0,6302.0,6200.1,6259.6,6268.0,6302.45,7470,46762840.55,2052
