StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-28,1475.0,1505.0,1455.55,1495.95,1485.65,1475.05,583354,864618358.05,43306
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-27,1490.0,1494.75,1458.2,1475.05,1468.85,1490.05,443684,655322951.05,43767
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-26,1497.8,1512.35,1484.45,1490.05,1490.0,1518.85,686357,1024511684.75,26821
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-22,1532.0,1545.5,1503.05,1518.85,1515.95,1527.25,392260,596347794.0,24935
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-21,1514.95,1539.15,1487.6,1527.25,1523.75,1502.1,581408,875212383.2,24000
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-20,1546.75,1548.95,1494.6,1502.1,1502.1,1546.75,363201,553152070.85,33258
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-19,1557.6,1570.85,1527.7,1546.75,1537.6,1547.35,669470,1036156117.1,30486
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-18,1472.95,1558.95,1463.7,1547.35,1549.9,1474.7,439875,672277280.25,32272
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-15,1501.05,1519.0,1464.0,1474.7,1472.0,1495.6,540429,800405130.0,39168
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-14,1492.0,1525.0,1471.65,1495.6,1495.0,1492.45,694302,1038743751.4,41947
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-13,1589.5,1660.0,1440.0,1492.45,1486.5,1592.6,6507913,10396983758.75,87980
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-12,1599.1,1599.9,1572.4,1592.6,1590.75,1599.1,458809,728898343.75,22806
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-11,1587.9,1606.0,1561.25,1599.1,1592.0,1582.65,730455,1166906907.9,40625
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-07,1545.05,1589.9,1545.05,1582.65,1578.0,1555.25,494841,781588490.8,30566
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-06,1545.05,1562.75,1523.6,1555.25,1553.0,1551.2,484139,747284905.9,37521
APL Apollo Tubes Limited,INE702C01027,2011-12-14,EQ,APLAPOLLO,2024-03-05,1542.9,1560.0,1528.6,1551.2,1546.6,1541.5,332976,513090415.2,27083
