StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-28,994.0,997.35,969.6,984.8,984.0,984.75,141639,139700879.7,12908
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-27,958.7,989.0,958.7,984.75,987.0,967.5,134979,132196683.2,10993
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-26,951.7,972.7,947.3,967.5,967.5,957.4,58691,56538444.6,6944
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-22,958.8,967.6,950.0,957.4,953.25,965.05,51337,49210815.1,6392
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-21,957.05,970.0,942.65,965.05,962.2,945.45,209400,201549822.1,12427
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-20,928.3,968.5,928.3,945.45,943.5,934.0,120261,114195399.35,15496
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-19,968.05,968.05,924.25,934.0,939.0,963.25,119068,111530467.4,17482
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-18,951.7,978.9,937.55,963.25,961.5,946.75,130439,124922049.75,15348
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-15,920.0,959.65,920.0,946.75,941.6,927.0,66709,62691920.35,9690
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-14,927.0,939.7,915.25,927.0,929.3,919.4,112990,104339746.35,10650
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-13,992.0,997.95,901.8,919.4,918.9,980.35,166114,154642965.25,21887
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-12,972.4,990.95,950.25,980.35,979.85,978.25,148399,144293667.7,15829
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-11,997.3,999.0,974.4,978.25,979.4,999.25,106713,105017181.5,10363
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-07,997.8,1018.4,994.6,999.25,1000.0,998.85,185555,185830494.7,11170
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-06,1023.6,1032.45,992.75,998.85,1000.0,1029.7,107665,108490947.0,16842
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-05,1007.9,1033.0,1001.0,1029.7,1023.1,1004.75,170824,175249060.3,14781
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-04,1043.0,1052.35,1001.2,1004.75,1001.2,1048.0,78755,80548588.0,11460
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-02,1055.0,1080.0,1034.3,1048.0,1043.0,1055.0,7474,7873725.9,782
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-03-01,1025.0,1080.0,1018.1,1055.0,1064.0,1019.65,101473,105584741.6,13558
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-29,1033.7,1035.0,1012.0,1019.65,1030.0,1028.7,143721,147022099.55,9377
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-28,1050.3,1055.45,1014.05,1028.7,1035.0,1050.3,81705,84518338.65,9522
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-27,1050.0,1063.65,1036.7,1050.3,1063.0,1047.45,66557,69747625.05,7965
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-26,1050.25,1067.4,1030.85,1047.45,1047.0,1048.35,183145,192229429.9,12180
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-23,1085.0,1085.0,1042.95,1048.35,1056.0,1079.55,145566,154120743.15,12937
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-22,1068.4,1086.95,1062.65,1079.55,1080.0,1075.15,187577,202395955.7,13633
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-21,1051.0,1094.0,1030.1,1075.15,1071.8,1048.0,449749,482405697.5,35117
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-20,1009.2,1060.5,1001.65,1048.0,1053.5,1004.2,485629,506261064.9,32521
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-19,1003.2,1026.85,987.3,1004.2,1007.75,1003.3,96189,96626217.8,7729
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-16,1010.0,1012.4,990.55,1003.3,999.9,1003.85,189453,189873026.65,8483
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-15,972.0,1015.0,972.0,1003.85,1000.0,980.75,92197,91787957.05,8721
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-14,993.7,993.7,977.0,980.75,979.0,993.55,41909,41170659.6,4816
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-13,967.0,1007.85,947.5,993.55,1000.0,971.35,180840,176724874.9,11036
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-12,967.5,978.1,944.05,971.35,970.0,967.6,93032,89671184.0,9809
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-09,994.8,1008.75,948.0,967.6,963.9,990.6,275157,267832878.65,14886
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-08,979.9,999.0,975.0,990.6,999.0,977.0,132603,131395325.95,14234
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-07,990.0,1011.05,966.2,977.0,978.0,985.85,224602,221423037.75,10830
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-06,963.6,1015.0,959.55,985.85,985.5,965.1,438825,436573675.85,44368
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-05,962.4,1037.95,955.05,965.1,968.45,957.4,776370,771131983.55,56201
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-02,962.9,963.85,951.0,957.4,955.4,955.55,86057,82304650.8,10666
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-02-01,962.05,965.0,933.5,955.55,964.0,960.5,157337,148964643.45,12264
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-31,909.3,974.7,905.0,960.5,966.0,901.2,1067161,1018995570.95,44704
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-30,921.1,932.2,892.0,901.2,903.1,921.1,365826,333824924.95,15811
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-29,941.7,945.25,915.35,921.1,925.95,941.7,327866,303450739.55,10826
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-25,984.9,984.9,938.05,941.7,944.0,981.4,194531,185666116.15,10915
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-24,936.0,993.6,935.95,981.4,977.0,943.0,633261,618481360.45,39783
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-23,949.55,974.0,931.8,943.0,954.0,944.85,319271,305197022.8,23460
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-20,947.95,958.0,928.15,944.85,949.35,943.45,209604,198399171.25,13494
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-19,938.9,945.9,922.8,943.45,945.6,940.4,251735,236727328.05,20639
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-18,921.0,943.95,893.0,940.4,940.05,931.4,292730,271229606.65,18395
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-17,929.0,945.7,905.95,931.4,930.0,941.5,469435,435197728.7,16682
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-16,942.0,949.95,923.0,941.5,941.0,943.55,533053,498404999.6,33284
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-15,900.0,965.0,890.05,943.55,940.0,880.55,2761132,2583069678.65,134634
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-12,847.0,885.85,838.1,880.55,878.0,836.5,1373332,1189564123.2,47393
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-11,804.0,842.9,802.0,836.5,840.9,800.2,1082185,899233673.75,48420
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-10,805.35,807.1,787.55,800.2,800.4,803.65,92304,73729973.4,7630
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-09,807.95,811.05,792.95,803.65,800.0,807.05,90722,72631398.95,6323
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-08,815.75,815.75,800.55,807.05,806.0,811.75,98205,79305609.3,7405
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-05,813.4,816.75,800.1,811.75,812.0,809.15,173659,140358649.25,11787
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-04,811.9,814.5,798.05,809.15,810.45,807.6,860880,690651145.45,17347
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-03,798.0,824.95,796.05,807.6,807.0,792.45,644476,521412485.1,35542
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-02,775.0,820.0,773.4,792.45,792.0,765.9,2305676,1861721785.15,89002
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2024-01-01,760.15,768.95,756.7,765.9,766.0,759.4,46900,35797794.05,4594
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-29,756.0,766.6,753.5,759.4,755.0,755.25,101064,76844977.85,6849
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-28,773.25,777.6,746.5,755.25,761.95,769.45,76174,57945877.0,6409
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-27,778.0,785.0,765.35,769.45,768.1,777.25,68041,52510160.5,6516
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-26,775.0,783.4,770.8,777.25,777.0,773.2,57689,44800582.7,6656
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-22,758.55,774.9,755.5,773.2,773.8,754.75,85495,65842336.15,9846
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-21,752.0,764.15,746.0,754.75,755.0,758.65,69425,52438765.7,5926
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-20,779.0,787.8,750.15,758.65,757.9,778.25,128604,99217343.55,9367
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-19,776.0,788.8,776.0,778.25,780.0,774.75,79062,61818572.0,5971
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-18,774.15,793.45,770.55,774.75,780.25,767.2,227280,177267912.05,18776
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-15,760.0,770.0,760.0,767.2,765.0,755.3,98000,74972587.5,8649
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-14,760.0,762.0,751.0,755.3,755.0,754.9,51789,39122425.15,4855
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-13,755.25,761.35,751.7,754.9,758.95,752.65,33773,25535190.05,4766
Alembic Pharmaceuticals Limited,INE901L01018,2011-09-20,EQ,APLLTD,2023-12-12,766.35,771.45,750.15,752.65,753.5,766.2,120247,91028168.1,13606
