StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-28,6231.45,6425.6,6112.5,6356.8,6348.0,6231.45,818070,5174786731.95,93469
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-27,6355.0,6399.4,6220.0,6231.45,6225.0,6322.45,603420,3776349083.4,68965
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-26,6398.0,6463.45,6309.5,6322.45,6325.0,6375.9,629120,4012810772.45,57659
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-22,6169.15,6390.9,6168.7,6375.9,6365.0,6182.5,727548,4590943714.65,72882
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-21,6189.9,6214.4,6105.6,6182.5,6170.1,6174.05,350032,2161012049.0,50519
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-20,6148.0,6200.7,6073.45,6174.05,6187.8,6113.2,413963,2545888673.65,55073
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-19,6077.0,6125.7,6034.05,6113.2,6110.0,6136.55,542392,3301182677.2,35670
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-18,5997.75,6144.95,5978.65,6136.55,6140.6,5983.2,419258,2553134032.95,43041
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-15,6015.0,6030.85,5941.6,5983.2,6005.0,6023.15,764270,4579682671.6,67474
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-14,6008.4,6095.0,5980.0,6023.15,6034.9,6008.4,439181,2652308010.8,65061
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-13,6180.0,6180.0,5956.05,6008.4,6023.0,6144.8,356191,2151097958.65,56877
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-12,6240.0,6274.25,6107.5,6144.8,6139.65,6204.7,482112,2978789424.45,58195
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-11,6048.8,6225.0,6036.1,6204.7,6210.0,6048.8,521556,3214032580.25,52689
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-07,6065.5,6142.85,6032.0,6048.8,6066.0,6054.3,738112,4498027939.5,57466
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-06,6025.0,6078.9,5945.0,6054.3,6064.05,6061.1,588776,3548315836.95,56347
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-05,6035.05,6103.5,5976.2,6061.1,6050.0,6033.3,724456,4381449712.9,59621
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-04,6145.0,6171.75,6022.85,6033.3,6050.0,6133.3,551616,3352084969.4,49138
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-02,6169.95,6169.95,6119.95,6133.3,6133.8,6085.4,33927,208495030.2,3416
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-03-01,6102.0,6107.0,5941.85,6085.4,6082.2,6101.6,1749136,10573920389.9,162575
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-29,6392.55,6392.55,6062.05,6101.6,6120.0,6362.35,1543361,9486313955.05,132773
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-28,6630.0,6630.0,6345.3,6362.35,6370.8,6620.6,536602,3451739472.65,69956
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-27,6588.0,6668.45,6570.0,6620.6,6617.0,6584.0,313760,2078323487.2,34516
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-26,6769.95,6791.75,6570.9,6584.0,6596.75,6774.05,453443,3012092997.45,48494
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-23,6779.0,6786.8,6723.1,6774.05,6751.0,6769.2,352524,2382813253.15,42270
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-22,6765.0,6874.45,6690.05,6769.2,6756.8,6760.15,564432,3828122203.9,90045
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-21,6784.95,6821.95,6717.3,6760.15,6759.65,6759.45,537325,3643948340.25,44871
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-20,6667.5,6785.0,6637.85,6759.45,6748.0,6657.15,559251,3765051424.4,56673
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-19,6620.0,6675.95,6511.05,6657.15,6647.25,6600.55,334607,2214098141.25,35317
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-16,6631.05,6660.45,6525.1,6600.55,6600.0,6627.6,391508,2572425358.65,58460
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-15,6750.0,6764.4,6585.6,6627.6,6630.0,6754.1,446114,2967452596.3,76394
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-14,6718.8,6775.0,6700.0,6754.1,6755.95,6718.9,452781,3053394293.3,59985
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-13,6614.45,6740.0,6598.25,6718.9,6738.0,6614.45,521773,3497512164.9,70490
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-12,6464.9,6677.8,6375.0,6614.45,6604.7,6437.35,709946,4673739974.95,70860
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-09,6269.4,6473.95,6213.6,6437.35,6433.75,6231.0,933104,5917816919.4,79591
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-08,6201.5,6363.2,6150.0,6231.0,6216.7,6177.95,794455,4946967729.45,100128
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-07,6237.75,6248.85,6155.0,6177.95,6170.0,6197.3,323738,2003484778.95,42889
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-06,6259.95,6297.9,6155.05,6197.3,6198.0,6234.5,326654,2026554372.45,65412
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-05,6320.55,6346.6,6209.2,6234.5,6235.2,6320.55,147909,927396574.25,28708
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-02,6320.0,6359.05,6291.3,6320.55,6320.0,6287.95,239428,1513914774.2,34564
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-02-01,6289.65,6377.0,6267.8,6287.95,6290.0,6352.95,255111,1613616059.2,57739
Apollo Hospitals Enterprise Limited,INE437A01024,1996-01-10,EQ,APOLLOHOSP,2024-01-31,6280.0,6371.65,6255.55,6352.95,6322.3,6309.8,499281,3152946096.05,36987
