StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-28,533.0,543.4,531.75,536.35,537.0,533.85,96737,51998078.1,5236
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-27,529.45,540.0,529.45,533.85,535.0,528.8,155368,83381238.7,7453
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-26,533.0,540.0,524.75,528.8,532.45,530.8,100724,53708488.6,6977
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-22,520.45,533.9,515.5,530.8,532.0,520.45,61863,32636585.25,4308
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-21,513.55,526.0,513.55,520.45,515.65,511.2,77985,40600376.65,4006
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-20,516.25,520.3,508.6,511.2,511.5,516.25,288941,147817762.65,5698
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-19,506.5,523.45,501.55,516.25,515.05,506.5,445101,225711385.55,10030
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-18,509.0,515.75,505.0,506.5,505.2,509.5,35536,18092298.25,3254
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-15,520.45,523.15,505.3,509.5,509.55,519.85,58955,30110101.3,5141
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-14,510.0,532.45,506.0,519.85,519.0,512.55,112078,58378021.7,10201
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-13,517.65,521.95,507.0,512.55,507.0,517.65,159906,81983764.55,14265
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-12,522.0,524.65,516.4,517.65,519.0,523.0,75876,39385689.3,7208
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-11,520.95,527.3,510.55,523.0,522.1,520.95,121579,63061220.2,10229
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-07,524.3,529.0,518.0,520.95,524.75,520.3,66592,34823107.75,4084
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-06,534.05,535.45,518.1,520.3,518.6,534.85,205467,107863093.75,13685
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-05,534.45,537.5,528.2,534.85,534.6,534.45,49586,26386446.85,5096
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-04,535.05,537.5,528.0,534.45,534.5,534.3,52177,27823674.05,4241
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-02,536.95,537.9,530.1,534.3,535.9,532.5,3677,1967481.5,354
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-03-01,541.05,542.0,528.5,532.5,533.4,535.4,133523,71071406.3,8869
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-29,529.9,540.9,525.05,535.4,540.9,535.25,113184,60246406.35,6351
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-28,539.95,540.0,529.2,535.25,535.0,535.8,107247,57297288.45,6413
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-27,535.1,538.95,532.45,535.8,535.5,536.1,52764,28267707.25,3104
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-26,536.55,540.3,529.15,536.1,539.5,535.85,106387,56851531.0,8007
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-23,539.95,540.0,531.8,535.85,535.0,535.95,67579,36208073.85,7767
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-22,532.7,539.9,526.8,535.95,537.7,531.05,97678,52343592.9,6191
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-21,538.7,539.95,528.0,531.05,528.0,536.85,58811,31382804.55,5069
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-20,541.9,541.9,535.2,536.85,536.0,538.7,44721,24057116.5,3492
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-19,545.3,547.45,535.0,538.7,539.9,543.65,54686,29568967.65,3994
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-16,542.0,549.0,541.5,543.65,542.9,540.15,58960,32156152.35,4655
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-15,545.5,552.0,537.4,540.15,541.95,545.5,171014,92664700.95,11690
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-14,532.0,549.8,532.0,545.5,543.1,534.2,118479,64388815.55,9798
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-13,528.0,542.75,511.05,534.2,537.0,520.3,199012,105913605.8,15636
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-12,552.9,553.25,517.2,520.3,527.0,546.65,140897,74684970.0,11248
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-09,544.85,549.85,532.55,546.65,548.85,539.05,142445,76892912.2,8775
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-08,550.0,559.95,536.15,539.05,541.2,547.0,215032,118165023.6,19514
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-07,545.8,553.75,545.0,547.0,546.9,545.8,80994,44507895.4,8402
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-06,537.05,555.9,537.05,545.8,543.25,536.4,208312,114057934.4,14626
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-05,527.8,542.5,520.8,536.4,539.6,523.15,257179,137058198.25,15926
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-02,521.0,536.0,519.1,523.15,524.95,516.35,259376,136737606.25,15781
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-02-01,530.15,539.2,510.0,516.35,517.9,524.95,376388,197784941.2,15646
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-31,527.5,537.3,524.0,524.95,525.0,523.15,347792,183189776.7,10408
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-30,540.65,546.6,521.2,523.15,524.7,539.25,416822,219800397.05,16368
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-29,565.0,568.55,538.1,539.25,539.0,569.55,368329,200947110.4,17509
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-25,580.7,596.0,559.0,569.55,570.0,580.7,467706,269386479.25,29105
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-24,559.95,588.85,556.55,580.7,579.95,557.8,646959,372077653.9,37334
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-23,556.0,637.45,542.0,557.8,557.3,543.35,3091887,1828854401.15,117505
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-20,548.45,553.6,541.0,543.35,542.05,548.45,50734,27714477.05,3725
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-19,556.0,558.85,545.0,548.45,549.0,552.55,48844,26965805.25,4429
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-18,552.95,555.4,537.3,552.55,552.1,552.95,59838,32827571.0,6163
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-17,561.0,561.0,549.0,552.95,554.9,556.95,57010,31552124.7,5231
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-16,565.75,565.75,554.15,556.95,557.7,561.45,76271,42586278.35,5303
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-15,574.9,574.9,560.0,561.45,563.0,569.45,57537,32514881.25,4998
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-12,565.15,571.45,564.0,569.45,571.0,565.15,95896,54474328.2,4674
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-11,557.95,571.45,556.2,565.15,565.0,557.9,190955,107618266.2,8200
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-10,552.95,559.8,552.65,557.9,558.0,551.85,67525,37637416.6,4468
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-09,562.8,566.1,550.2,551.85,552.0,560.6,176554,97991459.1,8782
Asahi India Glass Limited,INE439A01020,1998-03-18,EQ,ASAHIINDIA,2024-01-08,570.1,572.45,558.3,560.6,562.0,570.1,79599,44921651.2,5162
