StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-28,2010.0,2012.05,1982.0,1991.25,1992.95,1998.1,379847,758385439.0,26302
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-27,2009.8,2018.8,1987.7,1998.1,1998.0,1992.9,327476,656173329.25,44935
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-26,1925.8,1999.0,1925.8,1992.9,1991.0,1938.9,456184,900523668.45,43544
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-22,1940.0,1956.75,1912.05,1938.9,1944.95,1942.5,519482,1005306135.95,47911
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-21,1914.6,1950.0,1902.0,1942.5,1938.05,1904.85,390508,751080159.35,37199
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-20,1951.75,1965.0,1895.85,1904.85,1905.95,1951.75,1106750,2123960210.75,68621
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-19,1979.9,2022.0,1878.6,1951.75,1948.0,1970.6,2131586,4090076305.5,108903
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-18,2035.25,2050.0,1944.45,1970.6,1972.0,2030.2,1769550,3509709232.05,110084
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-15,2015.0,2057.4,1956.8,2030.2,2023.75,2015.65,514531,1031510684.75,55759
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-14,1982.25,2045.75,1975.55,2015.65,2028.0,2001.15,563858,1134644972.6,47587
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-13,2049.05,2083.25,1975.6,2001.15,1981.0,2044.35,1066781,2154147255.5,76562
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-12,2102.0,2109.7,2035.55,2044.35,2044.0,2101.0,479940,989935062.05,52441
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-11,2100.25,2124.95,2077.3,2101.0,2095.0,2100.25,801434,1686691701.5,96064
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-07,2080.05,2134.0,2080.05,2100.25,2097.0,2093.0,415811,876627328.55,53324
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-06,2111.0,2111.0,2047.65,2093.0,2095.0,2106.75,477261,992045962.7,44985
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-05,2106.0,2143.8,2088.0,2106.75,2105.0,2097.1,803395,1696311013.4,62373
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-04,2115.0,2119.4,2071.55,2097.1,2095.0,2108.95,763233,1595086438.85,66066
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-02,2077.5,2127.0,2074.0,2108.95,2107.0,2073.6,143819,303491891.75,11537
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-03-01,2086.5,2106.2,2066.05,2073.6,2070.45,2069.1,388318,809197381.35,40755
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-29,2052.5,2090.0,2031.5,2069.1,2089.0,2052.45,2050782,4235072719.75,66296
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-28,2104.0,2116.75,2039.2,2052.45,2051.0,2095.25,639894,1331291599.35,59898
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-27,2094.9,2134.55,2075.0,2095.25,2095.0,2084.45,1057268,2222417907.55,73189
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-26,2094.0,2124.45,2042.05,2084.45,2089.8,2075.9,2331714,4858411680.6,147909
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-23,1981.0,2095.0,1968.0,2075.9,2077.0,1965.15,2917191,5977189899.6,145216
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-22,1943.0,1969.95,1925.1,1965.15,1962.5,1930.5,305171,596471008.45,32718
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-21,1966.0,1970.0,1922.75,1930.5,1931.0,1952.0,649882,1261477724.8,40414
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-20,1966.7,1984.95,1944.9,1952.0,1951.0,1966.7,329238,645917828.6,34793
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-19,1970.15,1973.8,1948.45,1966.7,1970.0,1968.8,421390,827219455.7,48111
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-16,1955.25,1983.8,1948.2,1968.8,1967.0,1955.25,360551,709972965.45,24778
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-15,1954.95,1966.0,1944.6,1955.25,1951.0,1950.35,397001,776622422.5,30522
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-14,1880.0,1954.95,1880.0,1950.35,1951.6,1899.7,609990,1181486350.9,39665
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-13,1943.95,1947.9,1874.65,1899.7,1899.0,1938.4,484655,924300609.3,45784
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-12,1852.45,1955.0,1833.55,1938.4,1934.05,1852.45,1545736,2953986130.05,114302
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-09,1879.0,1880.95,1835.55,1852.45,1853.9,1873.45,358812,665361246.15,23857
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-08,1903.0,1911.0,1869.6,1873.45,1884.0,1894.35,479678,903447571.85,32663
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-07,1895.0,1913.0,1886.3,1894.35,1898.0,1888.75,265200,502923752.7,22472
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-06,1893.95,1904.95,1874.8,1888.75,1885.0,1874.8,387406,732337103.95,27900
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-05,1910.0,1919.85,1860.0,1874.8,1871.65,1902.45,814203,1534368052.85,67536
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-02,1889.9,1943.0,1889.9,1902.45,1901.95,1889.2,829998,1595221317.1,52514
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-02-01,1834.0,1905.0,1820.0,1889.2,1885.0,1830.4,1028119,1938383553.8,61945
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-01-31,1842.0,1884.0,1807.1,1830.4,1835.15,1876.45,1742853,3191971001.4,122714
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-01-30,1889.95,1889.95,1863.25,1876.45,1878.5,1868.75,773114,1452197128.8,42467
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-01-29,1810.0,1875.0,1810.0,1868.75,1872.35,1800.05,1046879,1936602551.4,80119
Astral Limited,INE006I01046,2007-03-20,EQ,ASTRAL,2024-01-25,1829.5,1833.0,1786.5,1800.05,1799.0,1827.85,512718,922631733.2,48845
