StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-28,1070.35,1099.25,1064.05,1088.75,1090.0,1070.35,2060466,2227291843.05,55204
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-27,1050.0,1074.9,1041.6,1070.35,1070.0,1053.05,1497184,1590754268.75,49790
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-26,1002.0,1059.25,995.3,1053.05,1051.2,1019.85,1859790,1918734771.55,57943
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-22,1004.0,1036.3,1004.0,1019.85,1017.0,1028.25,1430882,1462970584.5,60070
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-21,1028.3,1030.8,1012.25,1028.25,1030.0,1017.25,1235122,1265213864.3,50479
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-20,1004.0,1022.0,994.05,1017.25,1017.4,990.4,2058203,2077110173.5,55317
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-19,1015.0,1017.0,986.2,990.4,989.8,1017.6,1633129,1627967749.6,91299
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-18,989.9,1025.0,989.25,1017.6,1022.0,1001.35,2266012,2273998590.1,101535
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-15,1010.0,1015.8,984.3,1001.35,1000.75,1011.3,2084432,2084484019.9,68354
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-14,1005.0,1022.15,990.4,1011.3,1013.0,1005.6,1744256,1764245103.95,55231
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-13,1051.0,1067.35,985.05,1005.6,1003.6,1044.7,2054014,2101841037.0,77438
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-12,1073.9,1085.0,1037.15,1044.7,1048.0,1064.7,1492814,1573040418.3,55127
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-11,1072.0,1076.9,1052.15,1064.7,1068.0,1058.85,2372008,2529228380.55,126326
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-07,1060.0,1073.65,1054.45,1058.85,1058.7,1060.2,1168234,1241967085.25,56637
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-06,1081.25,1081.8,1038.1,1060.2,1061.6,1083.85,1717312,1816748540.05,89749
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-05,1086.1,1098.7,1069.3,1083.85,1080.1,1090.9,2278824,2462980672.05,65116
Aurobindo Pharma Limited,INE406A01037,2000-07-19,EQ,AUROPHARMA,2024-03-04,1080.0,1114.0,1072.0,1090.9,1088.05,1076.95,3893794,4271496254.1,153590
