StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-28,327.0,330.95,320.1,321.4,320.9,323.5,2237150,727355527.35,32283
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-27,333.0,335.4,321.65,323.5,323.0,331.25,3554876,1162504989.35,60449
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-26,336.0,341.6,330.5,331.25,330.7,335.7,2004044,670773013.0,29413
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-22,335.0,338.05,334.05,335.7,335.5,333.7,1503391,505621165.8,18855
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-21,334.45,337.5,332.5,333.7,334.0,330.95,1222130,409143862.85,17593
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-20,337.05,339.5,330.0,330.95,330.7,335.3,1373270,457534384.6,25038
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-19,338.8,344.65,334.1,335.3,335.5,337.35,1444260,488745716.25,23615
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-18,338.05,341.5,334.2,337.35,337.7,344.15,1526899,516266998.45,26942
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-15,348.5,355.8,341.5,344.15,343.55,347.45,2180481,755929579.4,31292
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-14,333.0,350.0,324.85,347.45,348.5,332.55,2508962,857462332.8,38857
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-13,348.9,353.7,325.35,332.55,333.0,347.1,3833297,1288280530.05,62920
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-12,354.0,358.9,343.8,347.1,346.35,352.85,2473806,869179119.0,35338
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-11,364.0,364.25,352.0,352.85,353.3,362.45,1539837,550163021.25,33053
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-07,363.35,367.75,361.05,362.45,362.15,361.35,1118321,407402937.6,18842
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-06,366.6,372.3,356.3,361.35,361.1,366.0,2233595,810477000.05,35566
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-05,375.85,378.4,365.0,366.0,366.7,375.3,2098762,778221951.8,35254
Adani Wilmar Limited,INE699H01024,2022-02-08,EQ,AWL,2024-03-04,388.5,388.8,372.0,375.3,375.5,386.6,2068156,785382330.1,34329
