StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-28,2078.0,2085.95,2033.3,2045.25,2043.0,2066.05,74636,153664602.6,8087
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-27,2050.1,2097.5,2050.1,2066.05,2078.0,2051.95,108869,225770967.35,13701
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-26,2100.05,2106.7,2045.0,2051.95,2063.9,2106.7,92896,191566982.8,12825
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-22,2066.0,2165.0,2066.0,2106.7,2103.0,2062.35,181950,388293119.8,24019
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-21,2076.4,2086.6,2055.0,2062.35,2063.0,2036.7,39570,81754456.6,6369
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-20,2058.2,2076.95,2032.0,2036.7,2038.85,2058.2,33895,69353314.95,6264
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-19,2081.75,2114.7,2053.75,2058.2,2057.0,2081.75,37688,78210515.25,7201
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-18,2105.0,2129.7,2072.0,2081.75,2076.0,2100.95,39908,84100074.15,9203
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-15,2058.75,2129.7,2058.0,2100.95,2100.0,2057.65,69139,144683473.85,10997
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-14,2041.05,2099.0,2009.2,2057.65,2055.0,2041.05,84568,173746490.4,13434
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-13,2157.95,2165.6,2030.0,2041.05,2070.0,2156.35,136704,283613251.85,20404
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-12,2223.7,2230.15,2131.05,2156.35,2150.0,2223.6,79167,171957098.5,12445
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-11,2337.85,2337.85,2202.0,2223.6,2225.0,2337.15,77590,175136590.8,12072
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-07,2318.05,2375.5,2318.05,2337.15,2331.65,2317.2,88123,206555442.4,11719
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-06,2402.05,2431.95,2301.15,2317.2,2308.65,2393.9,233353,549696334.3,28337
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-05,2209.75,2426.95,2189.5,2393.9,2418.0,2196.35,1279540,3031718754.6,85630
Balaji Amines Limited,INE050E01027,2007-04-05,EQ,BALAMINES,2024-03-04,2205.15,2239.05,2186.0,2196.35,2199.9,2227.4,33463,73695395.45,5588
