StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-28,363.0,364.25,359.0,361.95,361.0,362.15,1485300,536567981.9,21828
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-27,368.7,369.1,360.0,362.15,361.5,366.1,2056254,749910026.4,22468
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-26,363.8,372.95,363.65,366.1,367.0,366.15,1687433,622254195.3,19566
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-22,366.5,372.6,363.3,366.15,365.95,366.35,1232410,453972556.55,14205
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-21,360.2,367.95,360.15,366.35,365.2,357.35,1193526,435949379.5,13043
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-20,364.0,365.0,356.05,357.35,357.45,363.25,655220,235602664.25,10181
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-19,357.25,365.4,356.0,363.25,363.4,360.85,1503434,543573773.15,18184
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-18,366.05,368.9,358.1,360.85,360.0,359.25,2951142,1070800096.4,43047
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-15,357.0,361.95,350.0,359.25,359.0,356.05,1918527,681758138.7,26473
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-14,349.35,357.9,343.5,356.05,356.8,347.6,1267523,449128863.35,19963
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-13,364.55,367.45,345.3,347.6,347.45,363.85,1989299,706342414.3,40532
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-12,375.0,375.8,360.35,363.85,363.2,374.8,2188899,800570606.25,31696
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-11,378.9,379.45,372.25,374.8,373.0,378.45,1001363,375791315.15,18699
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-07,374.4,380.9,374.0,378.45,378.9,373.05,992857,375315716.1,15887
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-06,378.5,380.8,370.0,373.05,373.8,380.8,1637563,612894836.7,26490
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-05,382.0,383.0,377.4,380.8,381.2,380.35,951385,361391438.4,14906
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-04,375.7,386.1,374.3,380.35,381.3,374.95,2258905,863786105.45,29517
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-02,374.7,376.0,372.0,374.95,375.5,372.55,188539,70559135.6,2311
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-03-01,373.8,377.6,371.55,372.55,372.95,372.95,1317165,493703947.85,19815
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-29,374.0,374.8,369.0,372.95,373.35,371.2,1200332,446372764.0,17283
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-28,384.0,385.4,369.0,371.2,375.0,382.9,2767865,1038116635.9,30087
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-27,376.4,384.0,376.1,382.9,382.95,375.1,1909167,729089538.2,27838
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-26,379.5,381.9,373.0,375.1,375.4,379.7,1479642,559866382.95,33631
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-23,385.0,385.0,378.0,379.7,378.25,381.45,965827,368837465.35,16354
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-22,375.0,382.9,372.0,381.45,382.75,380.95,1803594,680994804.4,29650
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-21,385.3,385.9,378.95,380.95,381.95,383.6,1592239,608250195.5,27481
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-20,387.5,396.3,377.3,383.6,382.5,384.35,7516960,2900509093.5,82913
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-19,382.5,390.0,380.55,384.35,386.0,371.8,3938820,1519368480.5,51588
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-16,375.0,376.5,371.0,371.8,372.2,373.1,677114,252674262.7,14592
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-15,372.6,379.8,372.05,373.1,372.9,370.4,915192,343104737.7,15029
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-14,369.85,376.0,368.05,370.4,370.9,371.85,849253,316340523.35,19292
Balrampur Chini Mills Limited,INE119A01028,1995-02-08,EQ,BALRAMCHIN,2024-02-13,373.75,377.45,364.3,371.85,370.8,372.75,1162682,432522709.0,20531
