StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-28,181.3,182.0,179.45,180.0,179.9,180.85,13334606,2409183292.95,72006
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-27,182.2,183.5,179.55,180.85,180.95,181.75,19522292,3541026870.7,106394
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-26,181.35,183.75,180.2,181.75,181.6,181.75,11903481,2171043017.1,60797
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-22,181.0,182.85,180.45,181.75,181.85,180.45,14713576,2674944601.9,54782
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-21,180.0,182.0,179.4,180.45,180.8,177.85,9616624,1736355095.35,48345
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-20,181.5,181.9,177.05,177.85,178.15,180.45,11378108,2033616615.2,80358
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-19,181.85,182.75,179.3,180.45,180.4,181.35,7297535,1320478827.05,52016
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-18,185.0,186.15,180.8,181.35,181.9,183.15,8657646,1581724096.4,65965
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-15,180.5,186.0,179.1,183.15,184.0,179.65,12223804,2238768771.5,84792
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-14,178.7,183.15,173.15,179.65,180.5,178.7,16837953,3017385758.1,113052
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-13,189.3,189.95,176.85,178.7,176.85,188.7,18229091,3329811313.15,190780
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-12,192.15,192.9,188.15,188.7,188.6,191.8,9664742,1836297008.7,101788
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-11,196.0,196.15,190.05,191.8,191.95,195.05,16936507,3250801516.4,117548
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-07,196.7,197.35,194.55,195.05,194.9,194.9,5189243,1017617139.3,41985
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-06,198.0,198.45,193.85,194.9,195.0,197.95,14535779,2837597048.6,125227
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-05,199.9,201.65,197.45,197.95,197.75,199.0,8212814,1637856033.25,57225
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-04,201.1,201.7,198.45,199.0,198.65,200.75,7532396,1502277614.9,57050
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-02,200.0,201.4,199.9,200.75,200.8,199.85,952270,191130879.85,8520
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-03-01,197.5,200.5,196.5,199.85,199.8,195.6,7821881,1554312785.0,53538
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-29,196.65,197.65,193.1,195.6,196.8,196.65,19407356,3785441747.1,119900
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-28,201.2,202.2,195.9,196.65,196.2,201.15,9979111,1983523585.4,83025
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-27,203.05,204.35,200.75,201.15,201.2,202.6,8341347,1685497804.7,56238
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-26,209.2,209.2,199.7,202.6,202.35,208.25,26710009,5404223061.95,156978
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-23,204.95,209.35,204.45,208.25,209.25,203.65,13607467,2818429506.4,83077
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-22,201.4,204.15,198.3,203.65,203.5,200.55,6594640,1331244371.0,54105
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-21,203.9,204.15,199.75,200.55,200.0,202.7,7362611,1484816041.15,71280
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-20,204.95,205.3,202.1,202.7,202.8,203.75,5133872,1045926475.05,43917
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-19,204.5,205.5,203.25,203.75,204.05,200.8,7998816,1633268666.15,75942
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-16,199.7,204.7,197.7,200.8,201.0,197.35,13265466,2677574094.7,92763
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-15,198.25,199.75,196.65,197.35,197.15,198.25,9702536,1917529270.9,74189
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-14,197.25,201.25,193.3,198.25,198.5,199.05,13071425,2580525273.9,138255
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-13,200.7,202.3,192.8,199.05,199.65,200.7,16732636,3323545362.15,144354
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-12,223.0,223.45,197.7,200.7,199.6,216.2,50949423,10451771727.25,303109
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-09,216.0,216.85,211.3,216.2,216.65,214.15,10253080,2198055308.3,69874
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-08,218.5,219.9,213.1,214.15,214.7,216.25,10703085,2315756954.8,77955
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-07,221.0,222.35,215.65,216.25,216.95,218.4,11866424,2588813369.55,122797
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-06,222.65,223.45,217.35,218.4,218.9,222.65,10097377,2217792770.05,82860
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-05,228.9,228.9,222.0,222.65,223.0,228.9,12335899,2758155555.35,88723
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-02,227.8,232.65,226.95,228.9,228.55,225.65,11107260,2556470051.75,63688
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-02-01,229.0,229.95,223.5,225.65,225.8,229.0,8822484,1992683735.1,53500
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-31,224.05,229.45,223.1,229.0,228.6,223.45,10725612,2440439452.6,98599
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-30,225.4,227.0,223.0,223.45,223.2,223.3,5249061,1177229738.2,40923
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-29,224.0,226.7,222.15,223.3,223.3,220.95,10212834,2289818313.7,79747
Bandhan Bank Limited,INE545U01014,2018-03-27,BL,BANDHANBNK,2024-01-25,224.4,224.4,224.4,224.4,224.4,226.35,2265319,508337583.6,1
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-25,225.0,226.9,219.15,220.95,221.9,224.4,14015556,3108137469.65,109119
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-24,224.0,226.7,220.25,224.4,224.65,223.7,11443782,2560592698.75,64594
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-23,231.5,232.2,222.2,223.7,223.8,229.65,12418558,2804614840.6,91148
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-20,228.05,234.45,228.0,229.65,229.55,226.2,10792549,2497145890.1,57275
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-19,229.7,231.2,225.65,226.2,226.2,227.6,7131175,1624784015.35,42848
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-18,227.5,230.85,224.1,227.6,228.6,228.3,9142872,2085311672.8,66806
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-17,227.15,229.35,223.25,228.3,229.1,229.75,17410957,3943957969.35,137462
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-16,231.0,233.6,228.2,229.75,230.2,231.0,7421276,1712655146.35,53647
Bandhan Bank Limited,INE545U01014,2018-03-27,EQ,BANDHANBNK,2024-01-15,231.5,233.5,230.0,231.0,231.2,230.15,7817434,1809425041.15,51088
