StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bank of Baroda,INE028A01039,1997-02-19,T0,BANKBARODA,2024-03-28,261.0,265.0,261.0,264.05,265.0,258.75,114,29976.0,12
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-28,258.75,266.4,258.75,264.05,264.4,258.75,11966752,3152222411.05,67558
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-27,261.0,263.8,257.7,258.75,259.8,261.55,19196992,4990648996.55,132147
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-26,259.0,263.75,259.0,261.55,261.3,259.8,8259347,2159546159.35,66000
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-22,255.5,260.9,253.65,259.8,260.05,255.7,11402546,2940131816.0,57018
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-21,253.5,257.3,253.0,255.7,255.9,249.85,10121220,2584981394.1,51237
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-20,249.9,253.0,243.8,249.85,249.8,249.1,17342930,4317991653.5,103338
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-19,253.8,255.8,248.5,249.1,248.85,254.5,11016984,2765543909.45,86284
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-18,253.45,257.9,252.2,254.5,255.4,254.0,10806790,2753373634.7,84731
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-15,258.5,261.5,250.15,254.0,254.9,259.2,17126874,4352249733.55,211075
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-14,259.9,263.85,255.6,259.2,259.0,260.9,13623004,3539989966.5,101502
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-13,272.0,273.45,258.4,260.9,259.95,271.6,20711328,5452221160.05,152199
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-12,277.0,279.5,270.85,271.6,272.1,277.4,12003823,3290428936.5,92172
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-11,283.85,285.6,276.5,277.4,277.8,281.75,18217736,5119760592.85,157085
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-07,282.55,284.5,279.2,281.75,281.25,282.55,10994198,3098554467.85,106081
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-06,277.85,284.25,271.3,282.55,282.0,278.1,32754392,9158324804.35,175606
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-05,272.95,278.6,272.25,278.1,278.0,273.2,14431461,3992205389.8,130333
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-04,273.55,276.25,272.1,273.2,273.15,271.85,11707996,3207695756.45,122849
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-02,271.2,273.0,271.05,271.85,271.85,271.15,855493,232741536.8,6832
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-03-01,266.5,272.2,265.4,271.15,270.8,265.45,9702235,2610135698.6,97714
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-29,261.4,267.6,258.35,265.45,266.5,261.75,16296464,4285317889.4,102005
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-28,270.35,271.45,260.65,261.75,261.6,270.35,13653858,3620449255.4,91397
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-27,269.55,273.1,267.4,270.35,269.5,269.55,15572873,4214081803.05,81723
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-26,268.85,272.4,266.7,269.55,269.0,268.85,12448638,3364966476.15,84843
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-23,276.0,280.15,265.3,268.85,269.0,275.6,23264484,6309589398.55,133029
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-22,275.25,276.95,270.15,275.6,275.55,275.1,11871556,3245061469.15,73548
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-21,273.5,279.5,273.0,275.1,275.3,273.25,19624058,5420509316.8,136308
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-20,270.1,274.8,269.75,273.25,273.5,270.7,14006722,3816876693.95,83668
Bank of Baroda,INE028A01039,1997-02-19,EQ,BANKBARODA,2024-02-19,275.65,277.0,269.75,270.7,271.35,275.65,14006706,3826343739.55,83592
