StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-28,133.2,137.85,132.8,137.05,136.0,131.9,13378241,1821350604.9,57087
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-27,134.65,135.0,131.4,131.9,132.15,133.5,8724839,1164035088.05,40379
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-26,135.85,136.95,133.05,133.5,133.5,135.8,9406196,1262797002.6,46041
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-22,135.7,137.7,134.9,135.8,135.75,134.6,8881966,1210295492.4,43217
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-21,134.15,136.25,133.95,134.6,134.8,131.45,8302052,1121996196.7,62646
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-20,134.05,135.6,128.1,131.45,130.0,133.9,8243643,1093646552.85,45528
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-19,133.1,134.7,131.2,133.9,134.15,133.1,11009392,1469497136.25,64452
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-18,134.0,135.25,131.3,133.1,133.0,134.3,10652375,1417817698.8,101500
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-15,130.8,135.6,125.6,134.3,135.2,130.4,25112860,3273321892.3,141270
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-14,127.0,133.5,125.1,130.4,130.8,128.45,18478220,2408804855.8,112601
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-13,140.75,142.1,126.9,128.45,127.8,140.2,21197858,2812741604.0,127844
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-12,144.0,144.65,138.1,140.2,139.75,143.9,13318583,1871714212.3,66919
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-11,147.3,149.45,142.8,143.9,144.1,145.95,16358360,2399546654.75,80718
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-07,144.8,148.15,144.55,145.95,145.55,145.3,17449961,2562133225.1,69806
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-06,143.35,147.0,139.95,145.3,144.5,143.7,35383879,5111464822.9,133617
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-05,138.05,145.2,138.05,143.7,143.55,139.45,30920424,4421870154.55,135623
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-04,138.4,139.95,135.9,139.45,138.9,137.5,13083002,1806507841.65,56796
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-02,137.4,137.8,135.8,137.5,137.6,136.4,1498903,205339780.95,7630
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-03-01,134.9,137.2,133.9,136.4,136.1,131.45,10702960,1451286535.4,42783
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-02-29,132.6,134.25,128.8,131.45,133.0,132.6,27788093,3628946686.5,81485
Bank of India,INE084A01016,1997-04-30,EQ,BANKINDIA,2024-02-28,136.3,136.7,130.25,132.6,132.1,135.8,11162257,1482200615.85,58754
