StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-28,1558.25,1589.3,1550.05,1567.75,1565.0,1545.5,39831,62638401.7,5285
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-27,1573.0,1581.7,1530.1,1545.5,1555.0,1573.0,73341,114767539.25,5710
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-26,1575.0,1598.0,1561.55,1573.0,1567.0,1574.8,28429,44936751.35,6445
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-22,1570.95,1594.85,1570.0,1574.8,1574.0,1575.65,24772,39161545.65,3196
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-21,1548.95,1585.0,1546.9,1575.65,1579.0,1540.75,18900,29682040.75,3014
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-20,1546.65,1560.7,1522.0,1540.75,1538.1,1542.3,30603,47048415.7,5204
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-19,1573.0,1585.85,1535.1,1542.3,1535.1,1564.2,31475,48894936.2,6331
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-18,1609.95,1621.9,1556.1,1564.2,1575.0,1609.95,34366,54375966.9,6674
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-15,1599.9,1625.0,1568.8,1609.95,1610.0,1627.1,47495,75953154.85,7248
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-14,1551.0,1639.45,1531.05,1627.1,1628.0,1543.8,54482,87041102.1,9298
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-13,1656.95,1677.0,1525.35,1543.8,1545.0,1650.05,82996,130993556.55,12796
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-12,1695.9,1695.9,1620.3,1650.05,1656.95,1688.15,79954,131720771.85,10735
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-11,1759.0,1767.8,1678.0,1688.15,1689.0,1745.25,74219,127493383.65,10866
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-07,1684.95,1814.0,1684.7,1745.25,1754.75,1682.6,260140,458375527.4,29240
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-06,1723.7,1724.15,1670.0,1682.6,1675.0,1728.65,51578,87237438.05,9127
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-05,1727.9,1758.4,1711.0,1728.65,1730.0,1733.05,40779,70947574.75,8171
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-04,1723.3,1763.0,1708.1,1733.05,1718.05,1720.95,62354,108778241.25,9554
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-02,1735.7,1735.7,1713.15,1720.95,1720.0,1722.05,2546,4387292.25,316
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-03-01,1748.0,1748.65,1700.0,1722.05,1718.0,1736.95,50188,86275794.6,7625
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-02-29,1668.95,1750.0,1639.95,1736.95,1739.0,1670.0,98889,169281701.85,11770
Bombay Burmah Trading Corporation Limited,INE050A01025,1996-04-03,EQ,BBTC,2024-02-28,1735.0,1735.0,1665.0,1670.0,1669.0,1727.55,56638,95802241.75,7400
