StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-28,200.5,202.45,199.0,201.5,201.85,199.45,17425093,3505745228.9,86067
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-27,200.0,203.95,198.0,199.45,199.0,199.4,37817130,7579245377.1,123953
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-26,197.0,200.5,195.95,199.4,199.5,197.5,25723863,5114162878.1,112388
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-22,196.5,198.95,192.75,197.5,197.75,196.85,31321524,6139508157.9,138929
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-21,190.0,197.5,190.0,196.85,196.7,187.45,43152810,8408714176.0,219957
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-20,186.9,187.95,182.5,187.45,187.75,185.4,16235947,3020019020.1,104913
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-19,190.0,192.45,184.55,185.4,185.35,189.9,27819341,5212407391.15,141935
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-18,190.0,192.0,187.05,189.9,190.25,188.85,22999225,4364503473.85,152386
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-15,196.75,196.75,179.1,188.85,188.85,195.25,88781999,16520775762.75,455166
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-14,189.0,197.15,186.25,195.25,196.4,190.3,34622781,6687209925.2,262230
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-13,204.1,205.6,188.2,190.3,189.85,204.25,41620003,8127671806.1,219476
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-12,211.0,211.35,201.5,204.25,204.25,212.55,34719550,7133309292.9,201890
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-11,216.45,216.45,211.9,212.55,212.1,215.2,22800967,4879303405.05,124592
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-07,211.45,216.8,211.15,215.2,215.4,210.45,41484038,8902641058.65,209418
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-06,211.8,213.45,205.6,210.45,209.9,210.75,26236957,5495509171.15,184487
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-05,211.0,213.75,209.85,210.75,211.45,209.6,24964592,5275222703.3,128150
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-04,207.95,212.95,206.35,209.6,209.85,206.75,34272251,7216830115.8,206411
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-02,206.0,207.7,205.9,206.75,206.3,205.6,1497553,309740582.85,12530
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-03-01,205.95,208.05,204.8,205.6,206.0,205.1,12949604,2670483748.65,71530
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-29,205.45,205.9,199.75,205.1,205.55,205.65,24059731,4902126907.8,93387
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-28,206.2,209.0,201.45,205.65,205.0,205.35,38996363,8025622086.4,204032
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-27,203.55,209.0,203.1,205.35,205.1,204.25,28877205,5949712516.7,263721
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-26,205.65,206.9,202.8,204.25,204.4,205.3,27013630,5523154434.15,213908
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-23,196.3,207.0,195.95,205.3,204.6,194.75,76179371,15414836587.9,342700
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-22,189.75,196.0,188.7,194.75,196.0,188.7,31992371,6165592378.35,164432
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-21,191.3,192.55,187.0,188.7,188.7,190.65,17870782,3402322662.3,125008
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-20,189.1,191.45,186.25,190.65,190.7,188.75,17809897,3380513693.6,108601
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-19,189.95,192.5,188.3,188.75,189.0,188.3,25343215,4824922647.65,138579
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-16,189.0,190.4,186.85,188.3,187.9,185.95,29843059,5627224593.85,145647
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-15,183.0,186.3,182.6,185.95,186.0,181.6,17335763,3207482959.95,117872
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-14,177.25,182.15,175.3,181.6,182.0,176.6,23449380,4213007649.9,141263
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-13,174.75,176.9,171.75,176.6,176.5,174.65,13961795,2445594583.75,106409
Bharat Electronics Limited,INE263A01024,2000-07-19,EQ,BEL,2024-02-12,181.25,183.1,173.65,174.65,175.0,180.65,19640568,3491385009.55,126308
