StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-28,3190.0,3217.7,3174.0,3183.7,3192.0,3189.85,204132,651908053.95,21245
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-27,3120.0,3247.7,3115.0,3189.85,3185.0,3110.65,463512,1481964268.3,38608
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-26,3052.3,3138.0,3052.3,3110.65,3107.0,3091.05,241787,752621809.05,24852
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-22,3012.0,3111.6,2997.6,3091.05,3094.0,3012.4,283525,867150413.45,25863
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-21,2909.8,3033.95,2909.8,3012.4,3003.0,2869.95,569985,1702223303.35,44628
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-20,2800.0,2899.0,2796.05,2869.95,2869.95,2780.3,423304,1207929706.45,41833
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-19,2885.0,2896.0,2770.0,2780.3,2777.1,2875.25,418041,1180888506.0,53918
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-18,2828.8,2940.05,2813.35,2875.25,2885.0,2802.2,391578,1127434463.5,45216
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-15,2808.0,2858.0,2690.0,2802.2,2850.0,2770.2,1081219,3002221688.95,82476
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-14,2705.05,2832.8,2678.0,2770.2,2790.0,2735.6,651979,1806964979.85,66032
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-13,3109.85,3138.1,2671.9,2735.6,2740.0,3090.65,568081,1636604696.0,69181
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-12,3185.0,3185.0,3035.0,3090.65,3092.0,3196.25,316042,976270916.15,44633
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-11,3249.0,3249.95,3143.6,3196.25,3170.0,3216.9,206444,658559916.35,28803
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-07,3215.9,3259.05,3185.05,3216.9,3210.0,3202.1,209538,675711100.3,24010
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-06,3237.05,3237.05,3086.05,3202.1,3202.0,3238.35,417922,1321988176.2,43918
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-05,3244.85,3333.0,3195.45,3238.35,3239.5,3215.75,626024,2053412692.95,58928
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-04,3215.05,3268.9,3107.25,3215.75,3204.0,3208.2,433258,1381642276.1,48314
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-02,3180.0,3220.0,3170.0,3208.2,3200.0,3169.1,27101,86641656.35,2630
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-03-01,3163.95,3230.0,3137.1,3169.1,3162.45,3120.15,386173,1231255361.1,39189
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-29,3237.65,3246.0,3073.4,3120.15,3118.0,3237.65,521604,1651828427.65,39329
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-28,3357.05,3378.8,3210.1,3237.65,3234.75,3372.75,792392,2610195559.7,70181
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-27,3078.0,3420.0,3050.0,3372.75,3358.0,3073.15,2112507,6937323508.55,164315
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-26,3033.0,3097.95,3003.05,3073.15,3068.4,3033.0,224101,687699255.1,27383
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-23,3054.35,3102.6,3010.0,3033.0,3028.9,3022.45,347187,1062363702.85,33012
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-22,3005.0,3056.1,2888.0,3022.45,3028.0,2979.45,406912,1208188942.2,56920
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-21,3015.0,3069.0,2961.0,2979.45,2977.0,3011.0,288132,872595007.55,33817
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-20,3141.0,3143.95,2995.15,3011.0,3016.95,3141.15,411185,1256108494.35,44699
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-19,3159.0,3196.0,3091.5,3141.15,3140.0,3142.1,316192,996362006.85,36635
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-16,3120.0,3165.0,3035.3,3142.1,3138.8,3107.65,534825,1660912101.8,50499
BEML Limited,INE258A01016,2003-11-05,EQ,BEML,2024-02-15,3070.0,3140.0,3029.05,3107.65,3102.0,3049.05,766487,2371660402.0,73752
