StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-28,564.0,586.0,561.0,573.05,571.4,567.2,1546078,886996901.8,39653
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-27,558.2,570.0,557.35,567.2,564.15,558.2,844130,476856367.45,27211
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-26,555.35,561.95,554.0,558.2,558.45,558.35,634752,354229695.15,20953
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-22,552.0,559.9,552.0,558.35,559.85,555.55,394757,219949056.8,19107
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-21,549.2,556.85,549.05,555.55,554.35,548.7,915142,505536294.95,27098
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-20,547.05,554.35,543.0,548.7,548.0,550.0,605119,332205601.5,27869
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-19,552.1,552.5,542.25,550.0,548.1,555.25,849823,465734880.45,31786
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-18,557.8,557.8,552.4,555.25,555.95,557.8,485247,269517182.0,18434
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-15,563.95,567.5,556.0,557.8,558.3,565.25,710688,397093647.0,19659
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-14,554.1,567.5,549.05,565.25,563.0,556.75,461038,258928205.85,15307
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-13,566.75,570.15,553.25,556.75,554.7,563.85,785395,440175696.05,26885
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-12,574.15,576.3,562.25,563.85,562.25,576.35,513030,291109110.7,21413
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-11,573.4,583.9,569.0,576.35,576.0,573.4,792829,456614918.4,35067
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-07,576.95,583.55,570.05,573.4,571.4,577.8,928556,536010041.65,30062
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-06,575.1,585.0,567.15,577.8,580.0,576.3,688953,395187975.4,22673
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-05,575.5,581.75,570.0,576.3,574.1,578.9,718291,413304869.35,24519
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-04,594.65,594.65,574.35,578.9,576.0,593.15,1121932,651407935.75,30502
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-02,588.85,603.8,585.05,593.15,595.5,589.15,187004,111043022.8,5588
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-03-01,589.3,595.15,579.0,589.15,591.5,606.7,5148516,3021487320.6,88376
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-29,558.05,620.6,556.0,606.7,620.6,564.2,8044840,4766338637.85,128917
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-28,562.0,567.5,555.1,564.2,557.9,562.9,1083775,607611417.3,22527
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-27,563.05,568.7,556.25,562.9,567.95,566.45,1046795,587929863.2,28759
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-26,562.0,570.95,555.0,566.45,564.9,571.9,1111006,626676378.5,29170
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-23,571.95,572.85,562.05,571.9,572.0,571.65,877319,498805781.0,25997
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-22,573.0,573.5,559.05,571.65,570.15,572.25,1075229,610284905.25,28043
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-21,565.0,575.85,561.5,572.25,573.6,563.35,1097088,623057495.0,23839
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-20,559.0,565.0,553.1,563.35,565.0,556.9,720241,403512345.45,25349
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-19,564.5,564.5,555.35,556.9,557.4,562.9,327372,182955724.85,16105
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-16,554.0,564.35,554.0,562.9,563.2,553.4,725200,405840064.05,20784
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-15,562.9,562.9,552.0,553.4,552.95,560.85,488382,271224148.15,16603
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-14,556.55,561.65,546.65,560.85,560.9,558.5,850727,473200478.55,24461
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-13,551.8,559.9,546.55,558.5,558.6,551.0,596957,331361023.1,21122
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-12,553.95,555.3,545.45,551.0,550.35,554.0,813053,447475841.9,17883
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-09,551.85,556.75,543.45,554.0,551.7,549.0,1075063,591262040.15,32892
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-08,555.8,559.5,546.7,549.0,549.0,555.8,1033571,572991355.65,27578
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-07,569.0,578.25,552.0,555.8,555.0,555.8,4449337,2495562824.1,75841
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-06,567.1,567.1,553.85,555.8,555.6,567.1,1071673,597456094.15,24543
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-05,574.0,574.9,564.6,567.1,565.5,569.55,732928,418242012.9,22617
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-02,568.3,571.0,561.45,569.55,570.65,565.5,996264,565013887.35,19344
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-02-01,565.55,567.45,562.0,565.5,564.0,565.15,640925,361976474.4,21178
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-31,562.1,567.1,558.0,565.15,564.8,561.8,554075,312103820.05,17454
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-30,563.2,566.7,558.3,561.8,559.75,559.85,592044,333629161.5,13139
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-29,552.0,563.9,551.1,559.85,562.7,554.7,595840,332008478.65,16071
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-25,563.0,563.0,552.0,554.7,554.8,562.55,1099198,613505027.95,25778
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-24,549.9,563.9,542.85,562.55,563.0,547.0,1093896,605536353.5,31308
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-23,575.0,575.0,542.55,547.0,548.0,575.4,1857284,1027920829.25,48345
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-20,582.0,584.2,574.0,575.4,574.5,579.35,184216,106538293.4,11235
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-19,581.55,585.15,576.75,579.35,579.65,576.35,978376,568902605.35,26165
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-18,592.8,594.0,567.0,576.35,576.55,595.15,1433666,824879160.65,39856
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-17,599.0,604.85,591.45,595.15,596.45,604.45,1134435,681813393.45,29482
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-16,602.75,607.0,598.7,604.45,603.15,602.75,897327,541177673.45,24267
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-15,598.35,605.8,596.25,602.75,603.75,595.8,700739,421411417.95,22560
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-12,593.85,596.8,587.5,595.8,596.5,593.65,537422,319173082.0,20993
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-11,595.8,596.0,589.0,593.65,593.0,592.65,355149,210423896.0,14213
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-10,587.95,594.05,582.65,592.65,591.9,587.9,935943,552492859.1,20725
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-09,583.25,590.0,581.25,587.9,586.0,578.85,655120,384212090.65,14493
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-08,595.0,596.9,578.05,578.85,579.75,596.35,581798,340654389.8,22225
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-05,599.15,603.9,593.15,596.35,596.2,598.45,465157,278702194.15,15572
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-04,598.45,601.3,591.6,598.45,598.45,598.15,639813,381364482.2,21280
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-03,606.95,606.95,595.15,598.15,598.0,604.35,334537,201314483.65,15662
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-02,603.0,605.5,592.75,604.35,601.9,603.85,613442,367881409.75,23870
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2024-01-01,607.5,609.0,600.05,603.85,602.15,604.65,631961,383236569.15,20671
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-29,599.8,607.0,594.05,604.65,604.55,596.1,1820196,1095270810.25,39144
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-28,588.8,597.55,584.3,596.1,593.15,584.55,913489,541081094.75,24397
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-27,590.9,590.9,578.5,584.55,585.0,587.8,1158927,677339503.1,25454
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-26,586.0,589.0,582.35,587.8,586.0,583.15,510287,299124152.6,14016
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-22,575.0,585.0,574.25,583.15,581.95,574.15,1069705,621933044.6,15627
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-21,570.95,576.3,563.65,574.15,575.0,572.55,499468,286087816.65,14378
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-20,592.1,597.95,570.3,572.55,572.0,593.25,1795780,1056522530.95,46302
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-19,598.0,600.0,590.65,593.25,592.0,593.35,1697044,1008638783.35,26703
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-18,585.8,595.9,581.6,593.35,593.95,585.8,1297864,767449009.7,23845
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-15,583.5,589.7,578.1,585.8,584.0,580.05,1602267,936878452.0,26402
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-14,573.4,582.1,570.25,580.05,579.55,571.1,1021280,587911653.55,20220
Berger Paints (I) Limited,INE463A01038,1999-11-24,EQ,BERGEPAINT,2023-12-13,575.0,577.95,562.7,571.1,571.05,571.05,1726244,983474676.6,26772
