StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-28,1226.95,1238.5,1220.3,1228.6,1236.0,1224.8,10518377,12922642936.3,265426
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-27,1210.55,1228.25,1210.55,1224.8,1224.95,1213.1,5779169,7055747461.2,139746
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-26,1225.0,1234.0,1210.0,1213.1,1211.75,1236.1,10898138,13305029290.4,222349
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-22,1226.95,1245.0,1222.0,1236.1,1237.0,1220.8,7840007,9671876894.15,276675
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-21,1238.0,1242.9,1214.1,1220.8,1223.05,1231.8,9952250,12212640948.95,323412
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-20,1228.25,1239.0,1223.65,1231.8,1231.6,1228.35,6596032,8131017652.25,265010
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-19,1216.2,1240.4,1214.6,1228.35,1225.4,1225.3,7703719,9489910515.9,236099
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-18,1225.0,1230.55,1215.2,1225.3,1226.0,1220.0,4141080,5073428189.4,226864
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-15,1190.0,1222.8,1187.85,1220.0,1213.95,1194.6,10115416,12278804842.05,274090
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-14,1173.95,1199.7,1163.55,1194.6,1197.0,1168.75,8569080,10175248523.0,265512
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-13,1212.0,1212.0,1151.7,1168.75,1164.9,1204.25,7528096,8846736268.55,210064
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-12,1200.0,1208.0,1197.8,1204.25,1203.2,1196.6,4249548,5110509531.8,194171
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-11,1186.0,1218.3,1186.0,1196.6,1199.55,1199.7,6679208,8051156240.85,219692
Bharti Airtel Limited,INE397D01024,2002-02-15,BL,BHARTIARTL,2024-03-07,1193.7,1193.7,1193.7,1193.7,1193.7,1023.0,49000000,58491300000.0,1
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-07,1209.85,1213.6,1189.45,1199.7,1205.0,1193.7,8903981,10686411588.8,243036
Bharti Airtel Limited,INE397D01024,2002-02-15,EQ,BHARTIARTL,2024-03-06,1173.95,1196.6,1157.35,1193.7,1196.6,1168.9,5464839,6441859278.5,169469
