StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-28,492.6,496.9,482.9,490.45,491.9,490.85,235939,115404805.8,13435
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-27,483.95,497.4,482.35,490.85,492.6,482.85,669466,326563205.4,12617
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-26,490.0,491.95,481.25,482.85,482.0,489.85,145974,70899215.35,6174
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-22,498.0,499.0,489.0,489.85,490.55,498.5,219847,108387601.1,4903
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-21,492.85,501.0,487.35,498.5,497.95,490.35,244152,120830493.7,11958
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-20,490.0,494.0,480.35,490.35,490.75,485.0,119739,58387263.0,9327
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-19,492.0,493.2,478.1,485.0,485.0,488.25,129836,62928869.0,9955
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-18,485.0,494.35,483.0,488.25,485.75,484.95,219507,106808165.25,10172
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-15,496.55,496.55,476.1,484.95,485.75,492.35,342313,166976894.95,12968
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-14,502.95,503.0,488.35,492.35,494.0,503.2,183225,90916231.5,10622
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-13,508.25,512.4,489.75,503.2,504.95,511.9,225898,112959563.4,18449
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-12,525.0,525.0,508.0,511.9,511.0,526.15,122826,63040958.55,7016
Bikaji Foods International Limited,INE00E101023,2022-11-16,EQ,BIKAJI,2024-03-11,533.85,542.0,521.2,526.15,523.0,533.85,207622,110691216.45,10062
