StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-28,1448.0,1455.95,1416.9,1423.7,1422.0,1428.75,100121,143951036.4,12977
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-27,1417.0,1449.95,1415.0,1428.75,1431.8,1417.9,112665,161571950.05,10437
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-26,1459.45,1460.0,1413.3,1417.9,1419.5,1448.85,107772,153890496.1,16469
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-22,1465.7,1465.95,1438.2,1448.85,1447.3,1461.45,94290,136979984.0,8363
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-21,1429.0,1464.95,1425.0,1461.45,1455.0,1425.25,95294,137785223.8,13429
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-20,1415.0,1428.95,1393.45,1425.25,1427.0,1417.15,136378,192895986.25,9437
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-19,1420.0,1431.0,1408.6,1417.15,1412.0,1418.8,54275,77033868.95,8633
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-18,1413.9,1455.55,1401.65,1418.8,1415.0,1413.9,117451,167329004.75,16349
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-15,1437.05,1460.95,1394.85,1413.9,1419.95,1426.05,190364,270438065.6,21213
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-14,1434.65,1449.0,1401.2,1426.05,1442.2,1434.65,157068,223287745.6,17784
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-13,1477.3,1503.95,1375.0,1434.65,1440.0,1459.35,213002,304972281.05,28626
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-12,1500.0,1525.0,1437.05,1459.35,1458.5,1488.25,246208,364133851.55,27109
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-11,1548.6,1560.0,1476.9,1488.25,1499.0,1541.15,122517,186278887.15,17074
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-07,1532.8,1570.2,1525.0,1541.15,1540.0,1522.95,113164,175507559.5,22035
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-06,1560.0,1571.95,1472.1,1522.95,1523.0,1573.05,279773,422455658.9,32624
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-05,1649.15,1654.0,1560.75,1573.05,1574.95,1645.3,194414,309600449.35,22300
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-04,1678.0,1681.5,1628.0,1645.3,1643.0,1677.65,82702,135855598.15,11959
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-02,1648.5,1680.0,1639.6,1677.65,1677.95,1648.5,10261,17141454.35,1252
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-03-01,1658.1,1675.0,1638.0,1648.5,1639.0,1641.65,131998,218452074.15,19125
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-29,1720.45,1725.65,1622.25,1641.65,1640.0,1710.4,152492,253471169.35,16759
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-28,1771.75,1783.95,1701.05,1710.4,1704.5,1767.1,111504,193218027.2,15885
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-27,1750.0,1802.0,1746.0,1767.1,1769.5,1742.8,431792,770463558.1,33716
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-26,1706.25,1745.0,1705.45,1742.8,1745.0,1695.2,105215,182451597.5,15773
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-23,1704.4,1732.15,1685.95,1695.2,1695.1,1693.9,91292,155798544.85,15408
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-22,1710.0,1712.1,1655.0,1693.9,1695.0,1697.5,75117,126313005.75,11135
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-21,1707.0,1755.0,1684.1,1697.5,1694.75,1698.05,143632,246210817.45,20333
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-20,1735.55,1742.8,1686.35,1698.05,1698.0,1735.55,77637,132961400.35,10023
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-19,1727.25,1744.0,1720.1,1735.55,1732.0,1717.7,117051,202683704.2,12588
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-16,1684.0,1744.0,1670.0,1717.7,1722.3,1673.9,226140,389962174.95,35341
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-15,1714.0,1716.25,1666.1,1673.9,1671.0,1705.1,110492,185517602.5,14229
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-14,1651.85,1718.95,1640.0,1705.1,1704.0,1651.85,181819,308377299.05,19239
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-13,1685.0,1685.0,1640.15,1651.85,1647.0,1691.35,256831,424924912.6,24750
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-12,1720.0,1766.6,1666.45,1691.35,1685.0,1696.15,578577,995959923.85,56308
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-09,1600.0,1770.0,1595.05,1696.15,1710.0,1592.85,2492897,4236799998.25,172465
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-08,1557.0,1605.0,1523.1,1592.85,1588.0,1528.75,274954,430912862.05,25584
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-07,1535.0,1580.0,1522.0,1528.75,1536.0,1519.2,230403,357175721.6,22926
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-06,1494.0,1614.95,1478.0,1519.2,1527.15,1482.95,1010632,1540129915.35,69604
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-05,1549.95,1563.95,1472.0,1482.95,1477.0,1533.95,138398,209397569.2,15913
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-02,1630.0,1631.25,1521.55,1533.95,1538.0,1618.2,123054,192784196.1,17348
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-02-01,1536.9,1624.9,1534.0,1618.2,1624.9,1532.85,462033,737081792.7,41527
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-31,1532.85,1583.95,1524.05,1532.85,1526.05,1528.1,194067,301412629.3,28536
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-30,1474.9,1565.0,1467.0,1528.1,1526.1,1470.3,451931,687780900.9,32576
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-29,1402.0,1479.25,1398.0,1470.3,1473.0,1395.3,114390,165406947.45,13514
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-25,1414.9,1420.0,1390.05,1395.3,1395.0,1401.5,150505,210774355.1,6746
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-24,1403.2,1419.0,1382.85,1401.5,1400.0,1390.45,81451,114228287.25,13456
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-23,1467.6,1473.9,1381.55,1390.45,1395.0,1458.5,103347,146059281.05,15930
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-20,1430.0,1466.9,1430.0,1458.5,1463.0,1436.2,59592,86431916.75,7696
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-19,1380.05,1458.95,1380.05,1436.2,1430.25,1376.95,223925,319092143.75,26634
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-18,1414.0,1519.45,1357.0,1376.95,1375.05,1393.95,1476066,2157822667.2,101240
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-17,1430.0,1440.45,1389.0,1393.95,1399.0,1435.0,88609,124827621.5,10933
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-16,1467.0,1470.0,1430.2,1435.0,1433.0,1452.8,52858,76592272.0,7997
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-15,1438.0,1465.0,1432.5,1452.8,1450.4,1430.05,74990,108720469.0,11257
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-12,1448.0,1448.65,1420.2,1430.05,1429.25,1439.8,118542,169058654.85,17808
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-11,1448.95,1454.95,1415.0,1439.8,1436.4,1446.45,69711,100424386.3,9309
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-10,1456.0,1460.95,1423.9,1446.45,1445.0,1450.0,65306,94112124.5,13227
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-09,1432.45,1456.0,1425.6,1450.0,1453.0,1425.6,50007,71952080.6,7072
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-08,1434.9,1444.95,1416.9,1425.6,1424.95,1434.2,38669,55515117.5,6698
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-05,1443.9,1446.4,1422.35,1434.2,1429.5,1429.6,67340,96446245.0,8548
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-04,1440.8,1440.85,1422.0,1429.6,1430.0,1427.2,78176,111782505.0,6519
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-03,1480.0,1481.75,1422.0,1427.2,1429.5,1469.65,122186,175427216.15,13320
Birla Corporation Limited,INE340A01012,1995-04-12,EQ,BIRLACORPN,2024-01-02,1513.65,1519.95,1456.0,1469.65,1469.7,1499.65,98522,145252810.65,11818
