StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-28,508.95,514.5,495.0,497.75,499.0,505.15,617022,310767597.75,21497
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-27,517.9,525.0,501.65,505.15,505.6,516.2,610457,313614448.0,22043
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-26,523.6,531.9,512.25,516.2,516.0,523.6,630605,328729388.55,24044
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-22,503.95,528.9,497.5,523.6,522.5,503.25,1318229,684613849.55,36835
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-21,494.15,508.3,493.35,503.25,503.9,484.4,800679,401692241.2,27282
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-20,496.9,504.75,478.85,484.4,484.75,495.15,525331,258703208.2,29167
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-19,494.0,506.25,492.0,495.15,495.7,494.5,584317,291927207.05,28608
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-18,495.1,510.75,490.95,494.5,494.2,498.25,531118,264081853.0,28711
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-15,503.55,516.0,493.0,498.25,497.0,503.95,524681,264533404.4,26822
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-14,483.9,516.35,477.0,503.95,503.95,484.45,977311,489991685.95,57999
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-13,516.0,535.0,480.0,484.45,482.2,512.8,1095736,549103968.35,59052
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-12,528.0,538.9,510.0,512.8,514.0,528.5,513034,266025199.0,29228
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-11,548.9,551.85,525.0,528.5,530.85,549.5,496412,265067654.15,28773
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-07,541.05,559.5,541.0,549.5,548.9,539.65,479555,263835959.9,20491
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-06,554.0,559.95,532.6,539.65,541.0,559.65,739578,400173684.55,33917
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-05,575.0,575.0,557.0,559.65,560.95,570.35,597761,338123179.65,23121
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-04,568.4,583.6,558.0,570.35,569.5,563.3,1390792,797298709.35,49703
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-02,568.9,569.8,552.55,563.3,561.75,569.1,140054,78739003.15,5047
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-03-01,550.0,579.65,550.0,569.1,567.25,538.2,3292960,1874747601.9,93157
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-29,521.7,557.5,510.2,538.2,555.3,521.7,1130061,597681986.3,49304
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-28,545.4,548.6,518.0,521.7,522.9,543.1,616890,325716438.75,31815
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-27,540.5,552.5,535.15,543.1,540.9,537.3,688499,374415451.75,30113
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-26,554.8,557.4,534.0,537.3,538.0,554.8,586149,318117435.45,27509
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-23,562.9,566.9,552.1,554.8,555.0,558.25,412250,230288691.2,16179
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-22,564.45,568.4,545.25,558.25,561.0,560.15,671273,372976882.55,25210
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-21,568.0,584.65,554.4,560.15,559.7,563.65,1089210,620972973.3,40705
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-20,583.7,585.0,560.05,563.65,566.0,580.7,757103,431826167.9,33547
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-19,574.45,603.8,570.5,580.7,584.5,574.25,1571048,921709848.8,48030
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-16,543.0,598.65,538.3,574.25,570.95,539.2,5243715,3028677087.2,145765
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-15,552.45,558.25,536.25,539.2,540.9,547.2,758049,413464439.55,28665
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-14,537.85,561.55,515.3,547.2,548.9,540.1,1411595,760845361.2,48197
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-13,491.95,552.1,482.3,540.1,535.0,490.5,4984716,2630258227.1,149499
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-12,543.5,544.0,486.0,490.5,492.0,540.0,1884650,948539599.3,97138
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-09,552.0,568.25,530.2,540.0,539.3,551.8,1254954,683171733.95,53133
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-08,531.0,576.2,516.35,551.8,551.25,608.3,3548088,1985586487.95,122925
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-07,618.4,627.0,606.0,608.3,607.25,614.8,783589,480826077.1,35742
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-06,629.4,629.4,610.05,614.8,615.2,626.6,557470,343667418.25,17905
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-05,630.0,649.95,610.0,626.6,625.1,625.55,1105881,702087403.0,29768
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-02,632.0,640.0,620.0,625.55,624.0,622.3,916783,578953207.0,27241
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-02-01,646.0,669.35,616.2,622.3,622.0,630.6,3792314,2446443194.15,79862
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-31,595.15,637.3,577.0,630.6,636.0,592.35,2118239,1299960902.75,51187
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-30,631.9,633.85,586.4,592.35,590.0,627.7,1540079,927428437.7,39072
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-29,635.0,643.0,622.5,627.7,628.0,623.05,2218872,1401172401.05,51819
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-25,613.0,638.2,605.15,623.05,621.2,608.75,4640835,2896522065.6,99458
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-24,573.2,632.5,555.4,608.75,608.6,566.55,12764648,7759298853.35,238055
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-23,561.95,602.0,548.0,566.55,564.7,507.7,11386126,6571536726.3,199109
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-20,511.4,519.0,504.1,507.7,508.0,510.0,435194,222072960.3,16455
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-19,493.75,517.1,493.75,510.0,510.65,488.75,1540378,786683531.05,41302
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-18,500.1,509.05,478.15,488.75,491.0,498.6,624265,308241420.7,30959
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-17,505.95,511.25,496.0,498.6,499.0,510.45,601472,302159661.2,24308
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-16,495.55,524.8,491.55,510.45,512.3,491.2,1882510,965361113.5,56116
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-15,506.1,512.9,487.6,491.2,494.3,506.1,1112949,549690833.05,40504
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-12,519.0,519.95,503.0,506.1,503.75,511.9,738009,377049273.1,20363
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-11,513.0,527.25,509.0,511.9,515.0,511.6,1512501,784557861.9,41978
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-10,514.95,525.0,507.2,511.6,510.25,508.6,3500990,1813057129.5,81618
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-09,468.0,514.7,468.0,508.6,511.0,464.6,6266782,3128313173.0,137887
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-08,482.45,487.9,461.5,464.6,463.8,482.45,575428,272233069.75,23587
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-05,488.55,492.75,472.05,482.45,482.0,485.9,971154,469293268.7,30211
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-04,475.0,493.45,471.05,485.9,484.7,466.0,3911784,1897973671.35,88119
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-03,433.45,470.0,430.2,466.0,469.5,431.6,2590204,1184967964.45,61007
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-02,438.7,441.65,429.3,431.6,432.0,438.7,257584,111576931.15,14911
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2024-01-01,439.9,443.45,437.0,438.7,437.05,439.9,216085,95162647.05,10053
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-29,439.95,446.75,436.55,439.9,439.5,437.25,396845,174811061.25,15824
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-28,424.0,450.45,424.0,437.25,437.0,423.7,1731953,766336085.6,54924
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-27,424.2,427.75,422.0,423.7,423.5,423.3,120893,51312296.95,7315
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-26,425.7,428.4,423.0,423.3,423.55,425.7,148883,63249931.6,8565
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-22,425.2,432.35,422.0,425.7,427.45,425.2,157642,67321740.55,9824
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-21,420.0,426.0,415.05,425.2,425.05,424.85,183323,77578388.3,13656
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-20,437.45,444.0,421.75,424.85,424.0,437.45,396534,171756135.0,21395
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-19,443.8,447.3,435.9,437.45,437.25,440.5,276985,122044922.0,12965
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-18,431.4,444.5,427.3,440.5,441.0,430.1,467678,204091373.75,21810
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-15,430.1,434.9,428.0,430.1,430.85,429.3,180700,77870362.55,10720
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-14,428.45,435.75,426.95,429.3,428.2,426.8,273967,118031667.45,14358
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-13,429.0,431.9,424.05,426.8,427.0,428.1,186058,79484942.6,11400
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-12,433.0,436.0,426.1,428.1,428.0,432.05,178045,76875843.45,10244
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-11,432.05,438.0,430.65,432.05,431.7,433.4,159732,69309584.5,9825
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-08,435.9,444.95,430.2,433.4,432.0,436.0,294171,128736062.1,14690
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-07,433.0,438.3,432.05,436.0,436.7,432.8,233443,101607828.5,12524
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-06,442.0,444.0,430.1,432.8,435.0,441.9,280436,122150650.8,13977
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-05,446.9,454.65,438.75,441.9,440.5,444.9,656130,293554774.35,24386
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-04,439.75,449.4,435.5,444.9,443.5,432.05,621945,275489166.6,23497
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-12-01,442.3,447.5,431.0,432.05,432.9,441.1,316635,138678003.05,14124
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-11-30,446.0,448.0,438.5,441.1,442.2,441.05,528827,234364370.6,18029
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-11-29,413.95,450.0,413.5,441.05,441.0,413.45,3091120,1367545382.2,82385
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-11-28,418.85,420.0,412.05,413.45,413.5,416.15,119769,49680214.95,7770
BOROSIL RENEWABLES LIMITED,INE666D01022,2018-05-25,EQ,BORORENEW,2023-11-24,413.0,419.65,413.0,416.15,416.4,411.95,169407,70505043.9,7978
