StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-28,600.9,611.25,597.6,602.4,604.0,595.2,6084316,3675306230.95,104277
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-27,605.0,611.75,593.3,595.2,596.85,599.85,5446788,3290569661.3,132829
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-26,586.4,603.8,585.35,599.85,600.0,592.8,6783525,4053268783.4,100969
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-22,589.0,604.45,584.55,592.8,592.5,587.8,10722770,6399957221.85,150790
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-21,574.0,589.7,572.55,587.8,587.0,566.65,8312666,4858229018.1,134646
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-20,561.0,572.4,560.3,566.65,566.6,557.7,8764283,4962788997.1,200878
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-19,580.0,580.85,556.4,557.7,558.15,582.3,10832817,6111482963.25,195926
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-18,586.45,592.8,580.3,582.3,582.5,586.45,5490247,3215991393.8,88673
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-15,588.25,600.0,559.0,586.45,583.5,608.75,28519659,16490784276.05,382963
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-14,597.75,614.0,592.4,608.75,608.0,597.75,9686237,5858771511.4,217827
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-13,628.0,628.0,594.2,597.75,599.35,625.45,7455092,4531133340.2,156819
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-12,627.0,635.35,616.65,625.45,623.0,626.4,7037182,4399936772.5,137295
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-11,617.0,638.7,612.05,626.4,625.0,624.7,7676504,4829724554.8,164931
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-07,637.0,641.15,622.0,624.7,623.0,638.35,5984287,3758430265.4,107239
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-06,643.0,653.0,625.25,638.35,636.5,645.1,9129094,5807297882.3,142971
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-05,641.05,649.5,632.1,645.1,645.5,640.45,6158968,3956143429.0,132709
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-04,625.2,643.25,620.85,640.45,641.9,625.2,7402086,4713577217.05,159026
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-02,625.0,629.95,618.4,625.2,625.0,623.3,312763,195099631.35,7185
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-03-01,611.0,627.25,609.0,623.3,623.0,603.85,7881618,4900244315.35,169360
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-29,609.0,611.8,594.45,603.85,607.4,609.3,10257732,6193800604.35,122673
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-28,624.85,625.55,606.1,609.3,607.1,625.05,6322961,3894215558.5,137930
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-27,627.1,632.7,616.3,625.05,623.15,627.15,7440601,4646993513.2,115585
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-26,617.0,633.6,604.1,627.15,626.0,617.95,11632098,7178088440.5,184249
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-23,622.05,629.5,615.25,617.95,617.0,625.9,6282345,3901601408.1,132102
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-22,629.0,630.85,610.85,625.9,626.0,633.2,13826790,8567226082.2,338743
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-21,663.6,667.85,630.0,633.2,633.1,657.6,8861132,5718405344.0,157117
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-20,652.55,664.0,637.25,657.6,663.6,652.55,10456755,6777761992.9,222345
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-19,659.9,666.7,650.85,652.55,653.05,654.6,12498635,8213139700.8,280824
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-16,666.0,687.95,651.9,654.6,652.9,652.75,27872405,18659740265.9,427214
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-15,630.0,656.95,623.1,652.75,650.95,623.65,25622509,16527131065.05,349133
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-14,582.0,629.35,582.0,623.65,626.95,584.3,23993681,14627769552.95,284691
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-13,591.95,596.55,580.35,584.3,584.6,590.45,6329971,3717568715.15,99226
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-12,614.8,618.6,583.75,590.45,590.4,614.3,8521118,5066794837.95,137059
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-09,623.0,623.7,592.3,614.3,614.5,620.5,14762133,8982778815.05,229081
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-08,608.0,635.35,606.4,620.5,622.2,602.05,18761294,11688226253.0,303198
Bharat Petroleum Corporation Limited,INE029A01011,1995-09-13,EQ,BPCL,2024-02-07,616.8,620.0,599.3,602.05,605.25,609.3,14395859,8756552293.8,239013
