StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-28,4942.3,4971.2,4864.6,4911.25,4943.9,4920.2,648795,3184788408.05,84482
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-28,30.05,30.5,30.01,30.05,30.1,30.01,2361,70919.16,77
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-27,4960.0,4980.0,4880.0,4920.2,4922.05,4961.45,327107,1608543524.3,51610
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-27,30.01,30.4,30.01,30.01,30.01,30.04,5276,158562.97,76
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-26,4748.4,4975.0,4740.7,4961.45,4950.8,4865.0,554559,2696852462.2,52988
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-26,30.0,30.13,30.0,30.04,30.04,30.0,4689,140815.36,105
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-22,4800.0,4892.95,4784.9,4865.0,4846.0,4806.7,264787,1283121664.4,52125
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-22,29.97,30.15,29.97,30.0,30.0,29.97,1678,50359.31,58
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-21,4812.5,4824.0,4767.8,4806.7,4794.05,4802.9,449591,2159047424.7,60515
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-21,29.98,30.3,29.97,29.97,29.97,29.98,5372,161099.35,87
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-20,28.0,29.99,28.0,29.98,29.98,29.99,1787,53555.51,57
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-20,4822.1,4832.85,4760.0,4802.9,4800.0,4816.95,300159,1442324439.15,39629
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-19,4999.0,4999.95,4800.0,4816.95,4814.0,4980.0,265081,1288850664.1,29060
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-19,29.96,30.0,29.96,29.99,30.0,29.96,3686,110508.86,57
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-18,29.96,29.99,29.96,29.96,29.96,29.96,7661,229547.73,59
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-18,4980.0,5014.0,4960.0,4980.0,4968.0,4974.2,143928,717337042.65,22731
Britannia Industries Limited,INE216A01030,1998-11-05,EQ,BRITANNIA,2024-03-15,4917.45,5008.7,4912.0,4974.2,4955.0,4938.9,491571,2447878460.45,44857
Britannia Industries Limited,INE216A01030,1998-11-05,N3,BRITANNIA,2024-03-15,29.95,30.0,29.95,29.96,29.96,29.96,1449,43414.61,46
