StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-28,765.0,769.0,739.8,742.0,742.15,760.45,1502553,1123617779.8,75287
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-27,748.85,767.85,746.0,760.45,763.0,744.9,1555331,1184232679.2,51586
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-26,730.9,748.7,730.0,744.9,747.6,730.9,1020997,756422137.45,52032
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-22,725.05,738.95,713.1,730.9,730.55,738.95,2154342,1571018020.25,55951
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-21,725.45,740.4,723.0,738.95,737.1,717.9,985126,722872585.55,37837
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-20,722.0,734.0,712.45,717.9,719.0,720.95,978451,705782603.25,41463
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-19,724.85,732.4,713.6,720.95,720.4,727.15,991546,716634113.15,41012
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-18,751.0,754.6,725.0,727.15,726.0,755.7,1237226,909309488.85,51533
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-15,759.0,760.5,735.05,755.7,754.6,763.7,1372116,1025431848.8,48340
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-14,719.1,766.15,715.0,763.7,762.4,723.3,1904372,1431753976.85,69540
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-13,765.4,785.45,717.5,723.3,722.7,760.4,3411153,2560948387.4,110930
BIRLASOFT LIMITED,INE836A01035,1999-11-24,EQ,BSOFT,2024-03-12,775.0,791.0,756.15,760.4,762.0,774.6,1812995,1399988849.85,68908
