StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-28,757.95,761.3,748.1,752.95,754.15,757.15,400597,301511559.3,22216
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-27,758.6,761.5,750.7,757.15,754.0,754.45,314645,238045456.55,24513
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-26,747.0,758.1,740.9,754.45,754.75,747.1,293576,220864540.3,23682
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-22,739.95,751.95,736.25,747.1,746.75,738.2,496110,370301428.25,29543
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-21,724.0,741.95,723.35,738.2,737.0,718.05,620355,457358372.45,31588
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-20,709.4,720.65,702.1,718.05,718.6,709.0,306618,219080691.9,21569
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-19,722.0,722.0,701.95,709.0,707.5,719.55,595062,421775111.3,28234
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-18,724.45,727.55,712.1,719.55,722.1,724.45,523546,375935910.4,32744
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-15,734.35,734.35,709.15,724.45,724.9,729.45,734692,528887585.1,35988
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-14,716.85,736.05,711.65,729.45,725.0,721.45,394070,287506073.1,21979
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-13,757.2,761.2,717.95,721.45,720.5,760.3,467762,343860237.0,25956
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-12,770.95,771.6,754.0,760.3,758.5,771.0,311361,236889897.45,14301
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-11,783.1,787.7,766.0,771.0,768.5,786.6,553779,429657682.6,28488
Can Fin Homes Limited,INE477A01020,1995-05-10,EQ,CANFINHOME,2024-03-07,784.8,791.95,782.8,786.6,783.35,784.8,306652,241536635.15,12656
