StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-28,1274.0,1329.95,1257.15,1315.35,1310.0,1263.1,276479,358460348.45,19643
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-27,1255.0,1289.35,1240.0,1263.1,1254.05,1256.15,227619,285890353.15,14429
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-26,1284.25,1294.0,1249.0,1256.15,1252.0,1268.7,87883,111084554.75,9156
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-22,1270.0,1289.9,1263.0,1268.7,1267.0,1267.0,125971,160429106.25,8723
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-21,1285.0,1285.0,1259.25,1267.0,1270.0,1264.65,66563,84530525.75,6507
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-20,1282.45,1296.95,1251.5,1264.65,1260.0,1276.05,69921,88664799.35,7007
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-19,1284.45,1297.7,1266.3,1276.05,1272.0,1284.45,40100,51235484.1,5710
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-18,1275.0,1298.6,1272.0,1284.45,1288.0,1284.6,56523,72609343.85,8406
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-15,1280.0,1305.0,1270.0,1284.6,1290.0,1280.05,51017,65666381.75,8414
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-14,1267.0,1300.0,1243.25,1280.05,1295.0,1271.7,98025,124076739.6,14373
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-13,1300.05,1303.95,1250.05,1271.7,1258.0,1312.25,291726,374245031.35,46820
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-12,1343.05,1366.75,1295.05,1312.25,1310.0,1343.05,228011,300450059.3,24283
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-11,1360.0,1409.7,1335.55,1343.05,1354.0,1369.25,238455,327734562.65,25988
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-07,1372.9,1412.0,1352.0,1369.25,1366.9,1372.9,114486,158398258.25,13955
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-06,1435.0,1441.9,1351.0,1372.9,1377.0,1430.1,194348,268280581.7,30591
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-05,1499.2,1499.2,1425.0,1430.1,1432.0,1491.7,99546,143834638.8,10086
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-04,1540.0,1540.0,1485.0,1491.7,1494.0,1542.1,44596,67175095.5,6118
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-02,1530.0,1558.8,1518.05,1542.1,1533.1,1527.05,6986,10757387.0,976
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-03-01,1500.2,1533.6,1497.85,1527.05,1526.0,1483.0,67274,102096314.9,8594
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-02-29,1455.0,1496.7,1418.65,1483.0,1480.0,1452.2,112553,164507624.55,15009
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-02-28,1446.1,1494.9,1433.5,1452.2,1450.0,1433.5,95325,139531739.45,11697
Caplin Point Laboratories Limited,INE475E01026,2014-06-23,EQ,CAPLIPOINT,2024-02-27,1473.6,1483.35,1427.0,1433.5,1444.0,1473.25,106884,155155104.95,15513
