StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-28,190.25,191.1,185.2,185.95,186.0,189.75,2970499,559958691.1,23672
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-27,187.0,192.6,187.0,189.75,189.0,186.75,3802696,723314273.4,40942
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-26,191.4,191.4,186.1,186.75,186.7,191.5,2769845,519727115.55,27927
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-22,193.0,193.5,191.0,191.5,191.25,193.65,2228299,428178768.25,21518
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-21,196.0,196.0,192.1,193.65,194.05,195.7,2739059,531029842.8,25664
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-20,197.0,198.15,192.5,195.7,196.0,196.4,3000847,584532515.05,31671
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-19,200.5,200.9,195.6,196.4,196.4,200.9,2776015,548101042.65,27608
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-18,199.1,202.2,197.85,200.9,200.85,197.15,3219055,645114487.3,29785
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-15,198.95,202.7,193.05,197.15,198.0,199.7,3891138,764730235.05,39285
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-14,191.5,202.7,186.05,199.7,199.2,191.55,5909761,1166038604.3,57012
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-13,205.0,207.6,189.25,191.55,191.1,204.0,6531109,1290193865.3,64741
Castrol India Limited,INE172A01027,2014-03-14,EQ,CASTROLIND,2024-03-12,205.9,213.9,201.2,204.0,204.7,201.95,9987949,2084511846.95,86320
