StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-28,589.95,591.3,582.0,586.3,584.95,588.4,115635,67943091.15,6465
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-27,591.85,593.0,586.3,588.4,589.4,590.35,79641,46920176.85,6737
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-26,595.95,602.75,585.6,590.35,588.0,604.6,102254,60777166.2,9585
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-22,599.3,611.0,590.05,604.6,605.05,596.3,110616,66692506.2,9173
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-21,575.0,603.25,571.0,596.3,602.5,573.6,141016,82598191.8,8815
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-20,567.7,576.0,559.55,573.6,576.0,567.5,108400,61506900.4,9254
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-19,583.75,585.0,563.1,567.5,569.0,579.55,168163,95851023.35,9312
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-18,584.85,594.45,572.6,579.55,580.0,581.35,225373,130768198.15,10502
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-15,589.45,589.9,571.0,581.35,580.15,589.35,142168,82395165.1,11304
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-14,597.9,597.9,586.2,589.35,588.0,590.05,94356,55759640.8,9316
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-13,609.5,609.5,585.0,590.05,587.0,607.95,117841,70402242.0,12520
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-12,607.1,612.5,589.0,607.95,607.0,607.1,147755,88670482.85,13175
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-11,614.8,616.2,601.1,607.1,607.0,613.3,101705,61630814.8,10080
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-07,610.7,619.7,606.45,613.3,614.0,609.7,172603,105742920.6,8595
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-06,623.0,626.5,605.0,609.7,607.05,625.05,128741,78953421.85,11509
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-05,627.65,630.0,620.5,625.05,623.0,626.25,80768,50495395.35,5072
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-04,632.5,632.5,625.0,626.25,627.95,629.15,54073,33887927.85,3838
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-02,634.85,634.9,625.0,629.15,631.0,628.15,6142,3862887.35,682
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-03-01,632.8,648.0,626.1,628.15,629.0,629.75,94480,59459799.95,6689
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-29,642.2,642.2,627.35,629.75,631.0,642.2,192718,121571087.4,8491
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-28,651.05,670.0,629.9,642.2,638.4,648.2,420429,272822198.0,23875
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-27,640.15,651.25,636.8,648.2,650.4,639.1,66012,42472519.7,5110
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-26,638.0,643.95,636.75,639.1,639.0,636.75,59363,37952227.3,3406
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-23,640.0,644.0,633.8,636.75,637.8,638.2,65724,41906102.25,4833
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-22,646.7,648.8,636.0,638.2,638.0,643.5,46041,29430833.75,4056
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-21,651.65,659.0,639.05,643.5,644.0,648.4,99880,64941937.4,7610
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-20,640.9,653.95,638.6,648.4,650.0,640.9,70220,45407621.95,5188
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-19,648.05,652.0,639.6,640.9,641.0,647.5,102369,66033892.85,7411
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-16,654.2,660.95,641.1,647.5,646.5,658.6,90635,58797336.15,6338
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-15,657.25,665.0,651.35,658.6,656.0,657.25,52129,34307732.7,5388
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-14,634.95,659.95,628.25,657.25,658.0,634.85,83194,53649128.45,6726
CCL Products (India) Limited,INE421D01022,2004-06-07,EQ,CCL,2024-02-13,643.65,648.8,633.0,634.85,635.8,642.85,79442,50724029.5,5477
