StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-28,57.85,61.65,57.75,59.8,59.8,57.25,31670415,1901758378.95,50035
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-27,58.55,59.4,57.1,57.25,57.45,58.35,11064222,644789637.1,23757
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-26,59.15,60.0,58.15,58.35,58.35,59.25,9071528,532688254.35,22063
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-22,58.2,59.8,57.95,59.25,59.2,57.9,14903892,880858999.65,27858
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-21,58.3,59.45,57.6,57.9,58.2,56.75,15462631,905103255.2,31070
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-20,57.5,58.25,55.8,56.75,56.55,57.2,16608753,944180022.3,29888
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-19,58.0,59.35,57.0,57.2,57.1,58.5,14216161,823338635.85,29307
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-18,59.7,60.75,58.1,58.5,58.5,59.5,15905678,941258870.3,31749
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-15,59.9,61.7,57.35,59.5,59.7,60.6,26890962,1592219564.15,50351
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-14,54.0,61.5,52.05,60.6,60.2,54.1,40906348,2405637414.8,72513
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-13,60.9,61.4,53.05,54.1,54.65,60.3,34629026,1965440885.25,69618
Central Bank of India,INE483A01010,2007-08-21,EQ,CENTRALBK,2024-03-12,62.15,62.75,59.7,60.3,60.5,62.15,17010763,1038287742.2,37885
