StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-28,1519.9,1684.9,1494.5,1629.9,1630.0,1505.95,3549159,5821226205.85,127430
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-27,1441.6,1510.0,1388.05,1505.95,1500.3,1444.5,381940,561709545.9,27761
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-26,1455.0,1474.7,1436.4,1444.5,1441.6,1459.3,112680,164030531.05,10195
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-22,1465.0,1487.0,1449.9,1459.3,1455.0,1457.05,156722,229441597.7,13174
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-21,1406.15,1465.0,1406.15,1457.05,1457.0,1424.35,109970,159803896.75,9110
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-20,1404.15,1430.95,1384.95,1424.35,1425.1,1400.15,85154,120243306.15,9812
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-19,1422.2,1434.0,1387.05,1400.15,1402.65,1415.05,84906,119353129.05,7167
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-18,1422.95,1428.25,1395.0,1415.05,1420.15,1418.3,80627,113996416.8,8242
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-15,1419.0,1425.0,1384.15,1418.3,1422.0,1437.1,197853,278543803.15,13676
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-14,1344.8,1448.7,1340.75,1437.1,1425.0,1344.55,255607,359215461.0,20991
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-13,1439.7,1451.0,1283.7,1344.55,1369.0,1433.3,441785,597832447.15,29971
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-12,1474.95,1480.6,1415.4,1433.3,1428.05,1468.1,220430,317716008.8,16718
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-11,1500.0,1537.0,1461.0,1468.1,1465.1,1530.25,358820,535894391.9,23032
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-07,1450.15,1547.75,1441.0,1530.25,1520.0,1437.15,770305,1163259154.65,42146
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-06,1473.5,1482.8,1392.2,1437.15,1431.0,1472.95,181457,259004419.7,17749
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-05,1460.0,1496.0,1450.05,1472.95,1468.0,1458.65,202805,299748802.9,17652
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-04,1465.35,1467.2,1434.95,1458.65,1457.5,1459.35,95275,138190844.4,8222
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-02,1475.0,1485.0,1435.5,1459.35,1460.0,1464.75,7873,11551142.9,666
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-03-01,1420.05,1474.95,1419.8,1464.75,1460.0,1411.05,135126,195775951.05,11958
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-29,1445.2,1445.25,1403.0,1411.05,1414.0,1450.35,208114,295001282.75,15984
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-28,1498.9,1498.9,1420.15,1450.35,1438.0,1480.2,222312,324043651.6,23565
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-27,1491.6,1499.0,1443.0,1480.2,1496.5,1491.6,171311,252790613.65,11582
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-26,1432.8,1507.9,1427.0,1491.6,1497.0,1432.8,511407,757259766.4,32053
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-23,1440.0,1447.25,1414.2,1432.8,1428.9,1423.1,60264,86353630.35,6433
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-22,1448.55,1456.2,1412.0,1423.1,1425.35,1437.1,179417,255819155.1,8824
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-21,1464.35,1485.0,1431.5,1437.1,1435.0,1459.3,127958,186772838.2,9766
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-20,1465.0,1478.2,1441.4,1459.3,1461.95,1458.1,91215,132964487.35,7997
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-19,1430.0,1476.5,1402.15,1458.1,1452.0,1415.15,149748,216826184.35,14166
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-16,1440.0,1454.95,1410.0,1415.15,1413.3,1428.85,82309,117822317.65,7133
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-15,1438.0,1445.15,1421.05,1428.85,1433.0,1429.65,77449,110748413.8,8453
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-14,1349.95,1438.0,1330.05,1429.65,1435.0,1355.95,165391,230654871.4,11790
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-13,1390.0,1396.1,1326.1,1355.95,1354.65,1375.15,221878,298881244.55,20872
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-12,1435.05,1437.95,1360.0,1375.15,1405.9,1430.85,135304,188161362.85,12529
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-09,1463.6,1469.15,1401.0,1430.85,1423.35,1450.65,146439,209214987.4,14373
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-08,1458.4,1487.1,1428.65,1450.65,1451.0,1450.55,115632,167585140.5,10759
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-07,1495.0,1534.6,1439.25,1450.55,1452.0,1495.0,236467,348919876.2,21394
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-06,1484.8,1516.7,1476.1,1495.0,1489.15,1481.35,106247,159144309.45,12140
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-05,1587.0,1587.0,1470.2,1481.35,1480.0,1547.25,264714,399343751.6,27151
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-02,1526.6,1590.0,1491.85,1547.25,1545.0,1515.8,1195279,1842671756.6,62365
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-02-01,1425.0,1543.0,1416.9,1515.8,1504.0,1425.95,567871,847935250.45,39394
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-31,1390.0,1445.0,1385.05,1425.95,1428.0,1388.3,395897,564063848.15,21612
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-30,1418.05,1425.0,1383.0,1388.3,1392.25,1418.25,102225,143249480.05,9316
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-29,1350.0,1429.0,1350.0,1418.25,1416.0,1345.3,273861,385865790.05,21599
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-25,1359.1,1382.95,1340.05,1345.3,1348.65,1353.65,481311,649478237.8,13910
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-24,1360.0,1369.4,1324.0,1353.65,1358.0,1373.3,267320,360097718.9,21768
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-23,1405.0,1405.0,1359.1,1373.3,1375.0,1386.1,150594,208554565.8,16955
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-20,1422.0,1435.0,1382.0,1386.1,1394.0,1400.85,106952,150008044.8,7459
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-19,1402.0,1443.5,1375.1,1400.85,1404.0,1388.95,249645,350819934.5,7885
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-18,1398.95,1414.55,1365.0,1388.95,1390.0,1398.05,148501,206114345.6,5224
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-17,1400.1,1424.95,1385.5,1398.05,1389.0,1434.0,138407,194517974.9,6106
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-16,1448.65,1475.0,1423.8,1434.0,1430.0,1449.65,204269,297659562.85,6149
Century Textiles & Industries Limited,INE055A01016,2003-06-27,EQ,CENTURYTEX,2024-01-15,1492.0,1519.9,1430.1,1449.65,1443.0,1492.7,261739,383499492.7,8298
