StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-28,6905.2,6939.8,6760.0,6782.5,6762.6,6870.8,10520,71774682.25,3693
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-27,6870.5,6940.2,6814.55,6870.8,6900.0,6809.0,51898,356754463.75,5637
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-26,6989.0,6989.0,6781.0,6809.0,6836.0,6841.15,33663,229993195.45,5658
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-22,6831.6,6950.0,6820.0,6841.15,6888.9,6811.15,43633,298734740.45,7060
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-21,7050.0,7077.5,6780.0,6811.15,6824.95,6992.55,24542,169035383.7,7038
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-20,6643.25,7077.7,6643.25,6992.55,7025.0,6630.15,47347,327532649.5,13692
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-19,6848.4,6870.0,6591.2,6630.15,6620.0,6813.8,21298,142626762.15,8215
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-18,6905.0,6940.0,6795.6,6813.8,6844.0,6949.5,25223,172677733.75,8041
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-15,6930.5,7012.5,6897.75,6949.5,6936.0,6936.5,24701,172058506.6,4831
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-14,7026.3,7350.0,6849.55,6936.5,7001.0,7026.3,24799,171568824.6,9045
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-13,7300.0,7303.4,6943.5,7026.3,7030.0,7304.1,19660,138610940.1,7640
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-12,7483.95,7490.0,7280.0,7304.1,7300.0,7469.2,15277,112675666.15,5714
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-11,7590.65,7590.65,7412.0,7469.2,7460.0,7590.65,16703,124632582.4,3845
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-07,7654.7,7715.0,7484.9,7590.65,7588.0,7647.15,23892,181494938.2,6782
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-06,7531.85,7667.6,7425.0,7647.15,7636.0,7531.85,15201,114587849.9,5195
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-05,7559.45,7581.15,7492.05,7531.85,7522.0,7543.45,25111,188912441.45,4573
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-04,7527.05,7565.0,7500.0,7543.45,7538.0,7527.95,10424,78610434.55,4068
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-02,7612.75,7650.0,7497.0,7527.95,7513.0,7596.5,984,7436062.4,348
Cera Sanitaryware Limited,INE739E01017,2007-11-02,EQ,CERA,2024-03-01,7579.5,7638.85,7542.7,7596.5,7579.0,7579.5,10816,82012621.35,2427
