StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-28,132.0,132.0,118.3,121.65,123.05,122.1,10305499,1286775930.45,62337
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-27,119.65,124.4,118.95,122.1,122.4,118.7,7780336,956406636.4,49462
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-26,119.7,120.45,118.05,118.7,118.75,119.7,4001553,476845599.35,27128
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-22,120.0,122.9,118.3,119.7,119.45,120.55,4636040,559835835.45,36188
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-21,113.7,121.5,113.7,120.55,119.9,113.55,6524040,773484414.05,39253
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-20,114.9,116.85,112.8,113.55,113.35,114.25,4228808,481491424.1,37022
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-19,114.85,118.05,113.9,114.25,114.05,115.1,2737601,315809668.65,25169
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-18,117.6,119.0,114.5,115.1,115.2,117.45,3278597,380596169.25,29199
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-15,118.0,118.75,112.4,117.45,117.0,116.95,4531805,524308023.0,41062
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-14,110.2,117.5,109.75,116.95,117.05,112.45,4369059,505126691.2,31954
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-13,120.2,120.55,111.4,112.45,112.5,119.95,7472871,856743363.8,86475
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-12,121.4,121.4,116.3,119.95,119.6,121.4,5507624,654964928.95,44563
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-11,125.85,125.9,120.8,121.4,121.0,125.35,3766428,463069358.3,26216
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-07,126.2,128.55,124.8,125.35,125.0,126.2,3100807,391823140.45,25298
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-06,128.3,130.7,124.7,126.2,126.2,128.3,4803709,610211425.4,32520
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-05,130.0,130.4,127.0,128.3,128.3,129.75,3411156,438180574.9,30788
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-04,128.1,133.6,128.1,129.75,129.9,127.85,7530065,987420790.4,50494
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-02,126.95,128.1,126.9,127.85,128.1,126.7,300030,38292212.25,3509
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-03-01,126.85,129.3,125.85,126.7,126.9,126.85,4674159,596229320.5,38331
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-29,129.0,129.45,124.85,126.85,126.95,129.2,5122564,648015300.0,29224
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-28,131.0,132.1,124.05,129.2,129.55,130.5,4626074,591430948.1,33644
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-27,129.15,131.7,128.2,130.5,131.7,129.15,2976160,385949337.2,27543
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-26,129.25,130.25,126.8,129.15,130.05,129.35,3365663,433685991.0,27201
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-23,130.65,130.95,129.0,129.35,129.25,130.15,2044573,265142693.95,13810
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-22,129.0,131.9,126.2,130.15,130.3,128.35,10848629,1401854228.85,98284
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-21,131.15,132.15,128.0,128.35,128.75,130.5,3402895,440868057.75,24669
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-20,130.0,132.0,129.2,130.5,130.8,130.0,2172350,283975868.45,14877
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-19,132.15,133.25,129.6,130.0,129.8,132.15,4692223,612153617.95,35608
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-16,134.7,134.8,130.95,132.15,132.25,133.6,3385817,448063166.9,26307
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-15,129.25,134.5,129.2,133.6,134.15,128.2,5277064,700387678.55,43412
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-14,122.45,128.95,121.4,128.2,128.5,123.7,4153611,522561981.6,38521
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-13,120.0,124.8,118.35,123.7,123.75,122.25,7826770,955898216.3,49730
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-12,134.65,135.2,116.4,122.25,118.8,134.55,9033792,1150677027.9,57710
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-09,138.95,138.95,133.25,134.55,134.5,138.75,6146630,830914572.8,74874
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-08,142.5,143.3,138.15,138.75,138.6,138.65,7023285,987766276.45,60860
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-07,140.45,142.25,137.7,138.65,138.5,139.8,6165170,862972075.25,36181
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-06,143.55,144.0,139.0,139.8,139.8,142.45,6082798,862492649.85,38567
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-05,138.4,144.0,136.1,142.45,143.3,137.7,12812541,1808813154.75,72218
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-02,140.4,141.7,136.7,137.7,138.0,140.1,6498178,907409524.25,45176
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-02-01,141.4,142.85,139.0,140.1,140.4,143.1,6343323,893170011.75,55514
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-31,144.6,145.5,141.8,143.1,143.0,143.15,8359254,1197256234.1,48702
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-30,141.7,149.9,141.0,143.15,143.8,139.1,27034297,3931198473.5,115970
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-29,134.75,140.65,134.5,139.1,139.4,133.3,14397836,1994434657.5,69036
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-25,132.7,134.25,131.85,133.3,133.35,131.4,4206714,560516544.8,26443
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-24,132.5,135.8,130.0,131.4,131.0,130.6,9592330,1270515188.55,52491
CESC Limited,INE486A01021,1995-02-08,EQ,CESC,2024-01-23,141.0,141.3,129.0,130.6,131.25,138.0,10496555,1406789333.3,77868
