StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-28,551.05,555.25,535.0,540.9,537.0,548.5,4052946,2204650099.8,68601
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-27,544.5,556.4,536.55,548.5,545.65,542.1,4958340,2717435151.35,135223
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-26,528.0,547.7,526.5,542.1,540.0,535.95,5369829,2876445852.25,115041
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-22,541.4,541.4,520.2,535.95,534.1,541.4,8796374,4666092741.4,152837
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-21,510.0,549.95,510.0,541.4,544.4,502.25,18510964,9803891392.7,247399
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-20,482.1,517.0,473.2,502.25,506.05,479.0,16844599,8432308576.05,259625
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-19,471.35,480.3,463.45,479.0,479.4,470.35,3207227,1514272217.7,54562
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-18,476.0,476.0,462.05,470.35,471.4,469.7,4267151,1997233004.0,79592
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-15,467.55,485.0,464.35,469.7,465.2,467.5,6427017,3058322099.45,125778
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-14,462.0,469.4,450.1,467.5,467.9,461.45,3037344,1410560406.25,71125
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-13,460.0,465.9,450.8,461.45,460.7,455.65,5876878,2691381623.45,111769
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-12,470.8,470.8,453.0,455.65,454.95,469.45,2573370,1176877483.2,91565
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-11,465.85,474.2,449.4,469.45,464.5,457.65,5360138,2487480461.7,112262
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-07,469.65,471.0,455.0,457.65,457.95,469.65,2561510,1180553998.45,48269
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-06,466.4,470.0,450.35,469.65,468.8,463.25,2431460,1120983483.9,57566
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-05,470.0,473.25,462.3,463.25,463.5,469.05,1390039,645373926.5,33891
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-04,476.05,479.8,466.6,469.05,468.65,472.85,2122694,1000479416.05,46764
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-02,470.9,474.8,467.0,472.85,473.0,465.0,747416,352642433.95,16573
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-03-01,480.5,494.95,461.0,465.0,463.0,443.25,18454089,8715660658.2,482619
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-02-29,428.1,449.0,421.0,443.25,448.0,428.95,7113044,3107793615.1,138048
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-02-28,440.0,441.6,423.2,428.95,426.9,439.1,2681355,1164666282.45,49721
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-02-27,428.4,440.95,425.5,439.1,439.5,428.4,2352699,1027807524.45,44782
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-02-26,432.25,435.0,422.0,428.4,426.8,433.7,2212803,945204041.8,66799
CG Power and Industrial Solutions Limited,INE067A01029,1995-03-01,EQ,CGPOWER,2024-02-23,425.05,434.5,425.0,433.7,433.0,424.6,2592673,1116804026.2,50710
