StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-28,346.3,347.9,340.95,342.0,343.1,344.0,1412096,484444641.0,16948
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-27,343.75,350.25,342.15,344.0,344.0,343.4,1202208,415353018.9,21876
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-26,343.5,347.5,340.1,343.4,343.75,343.85,975189,334891061.45,13303
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-22,343.5,346.5,342.8,343.85,344.6,343.85,515830,177828995.95,7395
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-21,339.0,345.0,339.0,343.85,343.0,337.65,697485,239174033.1,9478
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-20,339.05,343.0,333.85,337.65,339.0,340.9,986823,333121840.9,12684
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-19,343.95,345.8,338.0,340.9,339.8,343.95,839367,286163641.6,12439
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-18,347.0,347.75,341.75,343.95,344.15,346.95,448220,154283818.8,8003
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-15,346.65,350.9,339.5,346.95,347.5,347.0,779617,269120753.55,19880
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-14,335.1,349.95,332.05,347.0,347.5,337.75,1294690,446116393.75,22708
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-13,357.35,365.3,335.2,337.75,338.0,358.85,1946792,678027843.75,38324
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-12,374.45,374.5,357.65,358.85,359.5,372.7,1460140,531153230.2,25621
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-11,375.9,378.0,371.05,372.7,373.0,372.75,2275129,852346806.7,43051
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-07,359.25,378.4,359.25,372.75,373.15,358.25,6539905,2441359366.45,81582
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-06,353.5,359.7,350.0,358.25,358.5,357.4,1180929,419107387.4,25025
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-05,354.0,361.5,353.0,357.4,357.0,354.6,1079793,386068853.2,19932
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-04,353.0,356.9,352.5,354.6,354.7,353.55,827688,293526205.7,12381
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-02,355.2,355.85,351.0,353.55,353.85,354.25,63324,22400912.55,1403
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-03-01,354.0,355.75,349.65,354.25,354.0,351.05,1411214,497827873.85,21363
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-29,345.0,366.55,341.3,351.05,355.0,344.85,1847192,642244164.5,24611
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-28,355.0,357.1,342.0,344.85,343.2,354.7,1010819,353274016.95,22007
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-27,357.15,360.55,353.55,354.7,354.0,357.15,764114,272771392.25,20715
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-26,367.55,367.55,356.25,357.15,357.55,367.6,1026569,369002187.7,27339
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-23,372.45,373.3,366.35,367.6,367.0,371.05,934971,345895500.85,14342
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-22,366.0,372.0,364.45,371.05,371.0,366.0,1278308,472315399.5,27058
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-21,370.7,373.6,363.95,366.0,365.1,368.9,1458692,539837450.45,23927
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-20,366.8,372.5,365.95,368.9,369.95,365.65,952842,351771210.3,15723
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-19,369.0,370.95,364.5,365.65,366.35,368.65,826366,303865812.5,13213
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-16,366.0,372.65,364.7,368.65,367.05,363.1,1772527,655019437.7,25660
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-15,357.95,366.75,357.0,363.1,362.15,355.6,1221038,444263714.65,17522
Chambal Fertilizers & Chemicals Limited,INE085A01013,1995-06-14,EQ,CHAMBLFERT,2024-02-14,351.6,357.65,348.5,355.6,356.0,358.35,859702,303553360.35,12399
