StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-28,454.15,454.15,440.0,450.0,451.0,447.75,120378,54076296.2,7054
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-27,438.9,451.0,437.35,447.75,449.0,438.0,134667,60031523.3,10874
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-26,443.3,447.25,434.1,438.0,440.05,443.3,96036,42202744.8,8634
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-22,435.0,456.8,435.0,443.3,443.9,436.85,730121,323788576.25,9609
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-21,427.0,441.8,426.25,436.85,438.0,423.2,77705,33711139.7,7999
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-20,433.0,442.8,422.0,423.2,424.05,429.8,256803,109609186.25,6530
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-19,422.0,434.5,416.75,429.8,431.0,424.5,97447,41452499.35,8306
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-18,432.0,440.0,422.05,424.5,425.25,433.15,57150,24547488.05,6189
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-15,440.0,443.9,427.35,433.15,436.0,441.7,130146,56405347.65,14908
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-14,436.35,444.75,429.4,441.7,441.0,432.4,75956,33334729.45,9123
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-13,439.5,439.5,422.9,432.4,438.7,439.5,163676,70428869.3,18798
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-12,441.9,443.2,426.45,439.5,437.15,439.7,85823,37357126.25,10648
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-11,452.1,454.95,431.3,439.7,440.8,452.1,89312,39419883.95,9472
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-07,453.7,454.6,447.05,452.1,454.25,448.7,76144,34373245.35,8251
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-06,456.0,456.95,444.1,448.7,448.05,455.75,64434,28963160.5,7893
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-05,460.9,461.8,453.55,455.75,454.05,463.45,95125,43610527.4,9721
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-04,488.7,496.2,459.2,463.45,460.0,484.1,297631,142567916.65,8599
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-02,490.0,502.0,476.45,484.1,483.0,491.95,13537,6600693.75,986
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-03-01,466.2,522.2,464.0,491.95,490.0,470.8,360346,177346498.5,18059
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-29,467.95,474.0,467.6,470.8,471.0,469.1,74566,35101428.65,4533
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-28,474.0,474.3,464.1,469.1,468.5,470.3,67592,31627057.25,5407
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-27,465.0,472.35,464.95,470.3,470.0,470.35,49758,23356355.95,3209
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-26,471.5,474.25,468.7,470.35,470.0,468.7,30374,14299973.8,3823
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-23,467.45,473.9,466.05,468.7,473.9,467.45,65026,30436133.6,5437
Chemplast Sanmar Limited,INE488A01050,2021-08-24,EQ,CHEMPLASTS,2024-02-22,474.0,475.45,462.0,467.45,467.0,474.0,73467,34342778.75,8030
