StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-28,924.0,926.85,900.0,906.8,906.0,913.8,647649,591943450.6,32346
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-27,885.0,929.7,884.5,913.8,910.4,878.1,1843186,1686584336.4,65662
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-26,877.7,894.8,860.0,878.1,876.0,877.7,880850,773568183.65,40877
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-22,856.5,889.45,856.5,877.7,878.0,865.4,756727,664714266.15,28215
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-21,857.7,884.7,857.7,865.4,866.65,847.7,697457,608062717.35,23774
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-20,868.2,871.15,842.0,847.7,848.95,868.2,669188,573854265.6,33745
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-19,850.0,888.8,825.5,868.2,863.05,846.5,1697067,1469863947.45,60534
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-18,882.5,885.0,827.55,846.5,852.0,877.3,653632,564559989.0,26086
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-15,840.0,885.9,812.85,877.3,872.0,851.05,1508523,1285699973.7,59960
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-14,780.95,857.9,768.05,851.05,849.5,777.35,1007230,828897094.9,47361
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-13,860.0,860.0,743.05,777.35,775.0,860.7,1164141,947375044.35,59070
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-12,887.45,891.45,853.2,860.7,860.0,887.9,835943,724921888.1,39444
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-11,896.0,905.5,882.9,887.9,887.6,903.95,524847,468226079.8,23818
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-07,905.0,922.0,892.6,903.95,904.0,901.5,763297,691849790.15,26682
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-06,922.0,944.0,893.3,901.5,902.55,921.85,1051710,961399211.35,41560
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-05,893.5,932.95,879.55,921.85,922.0,893.9,1804827,1654495640.25,59497
Chennai Petroleum Corporation Limited,INE178A01016,2000-06-07,EQ,CHENNPETRO,2024-03-04,910.0,913.9,890.65,893.9,893.5,908.7,468089,419453863.55,17621
