StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-28,1472.0,1514.2,1461.15,1496.95,1496.0,1463.35,2110407,3150128406.6,109999
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-27,1484.0,1496.0,1458.0,1463.35,1469.35,1472.25,1642266,2415250138.5,83945
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-26,1473.0,1481.25,1460.0,1472.25,1469.2,1481.25,1635695,2407856738.9,85372
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-22,1453.0,1489.6,1451.05,1481.25,1477.6,1448.7,1746930,2574388263.4,77213
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-21,1427.0,1455.1,1420.2,1448.7,1451.0,1417.4,1699939,2457128732.1,100232
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-20,1435.8,1444.9,1415.6,1417.4,1417.65,1435.7,1728210,2467205756.95,72403
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-19,1482.55,1486.8,1431.1,1435.7,1434.95,1488.45,1647925,2385824657.95,98289
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-18,1489.0,1495.85,1471.0,1488.45,1483.5,1488.05,996530,1482765866.95,73915
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-15,1494.8,1496.2,1466.05,1488.05,1482.6,1496.65,1537072,2281743342.5,68169
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-14,1467.1,1501.45,1454.35,1496.65,1500.0,1471.25,1748907,2592779787.4,104778
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-13,1470.0,1479.0,1449.0,1471.25,1467.65,1465.75,1720173,2519733155.15,95620
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-12,1512.0,1514.0,1460.0,1465.75,1470.8,1504.1,1855916,2734482386.0,81326
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-11,1493.0,1519.0,1488.55,1504.1,1505.0,1483.15,2183994,3291247801.65,122138
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-07,1485.25,1490.45,1475.5,1483.15,1483.75,1485.25,1569074,2326096773.7,105876
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-06,1476.0,1489.9,1448.15,1485.25,1488.0,1473.45,1158132,1700784881.5,67280
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-05,1465.15,1479.7,1452.8,1473.45,1478.9,1471.5,1306046,1916237185.65,60712
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-04,1483.0,1495.3,1469.75,1471.5,1472.0,1482.3,1147249,1696576710.15,70001
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-02,1486.0,1492.0,1474.35,1482.3,1483.0,1470.9,80914,120088276.15,3885
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-03-01,1494.0,1494.0,1460.0,1470.9,1467.05,1480.35,1982189,2916589446.55,70741
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-29,1475.95,1490.0,1451.4,1480.35,1474.85,1477.0,4923680,7274348247.7,120824
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-28,1491.45,1493.95,1470.0,1477.0,1473.15,1487.45,1083605,1604522330.6,50018
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-27,1473.45,1491.0,1469.7,1487.45,1490.55,1469.85,1231196,1824624586.25,62958
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-26,1473.5,1481.2,1461.55,1469.85,1466.0,1466.4,898290,1321832559.7,55761
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-23,1456.15,1482.35,1449.75,1466.4,1464.95,1453.3,1308103,1923655503.55,74824
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-22,1455.55,1456.0,1420.55,1453.3,1447.95,1447.3,1582836,2281911474.35,119052
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-21,1452.0,1462.5,1433.45,1447.3,1447.95,1451.65,1074054,1558578128.3,68075
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-20,1475.0,1479.0,1436.0,1451.65,1450.0,1470.35,1550412,2253361309.15,83186
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-19,1444.95,1473.6,1438.95,1470.35,1471.35,1440.7,888909,1299324803.65,49302
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-16,1430.0,1449.0,1425.9,1440.7,1441.0,1422.35,857301,1234295084.4,62199
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-15,1425.35,1437.95,1412.0,1422.35,1424.95,1425.35,1402161,1988895114.1,79216
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-14,1454.8,1454.8,1410.45,1425.35,1423.45,1457.75,1113254,1585488713.6,61809
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-13,1439.0,1463.55,1430.0,1457.75,1453.2,1434.75,981536,1425303248.4,50012
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-12,1440.0,1452.75,1425.0,1434.75,1430.0,1439.75,453460,651680002.0,32880
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-09,1428.1,1447.55,1417.05,1439.75,1442.0,1420.2,1215784,1744572711.35,60109
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-08,1448.0,1457.7,1417.65,1420.2,1424.3,1438.75,1447767,2072060500.55,95838
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-07,1436.0,1444.5,1420.85,1438.75,1438.0,1425.45,890299,1275757476.9,62133
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-06,1444.85,1445.9,1412.55,1425.45,1424.0,1433.9,979752,1397521907.55,58246
Cipla Limited,INE059A01026,1995-02-08,EQ,CIPLA,2024-02-05,1400.65,1447.0,1394.3,1433.9,1432.4,1392.65,2369316,3388530215.65,89771
