StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-28,430.0,438.45,430.0,434.1,433.95,429.45,10332853,4489728594.25,113800
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-27,439.8,439.8,426.05,429.45,431.5,435.95,17985246,7763978161.8,133365
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-26,433.8,440.95,430.9,435.95,435.75,431.95,9389403,4103282216.35,131771
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-22,430.9,436.2,428.3,431.95,432.2,432.05,9172888,3965751605.1,118348
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-21,424.0,433.55,423.15,432.05,432.45,419.5,9911230,4256571231.75,120158
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-20,419.8,422.8,412.7,419.5,420.0,419.05,6950340,2911513141.95,90171
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-19,417.0,424.6,414.0,419.05,418.8,421.85,8373676,3508692924.55,96776
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-18,416.0,423.5,413.55,421.85,422.0,415.25,9803914,4116275382.05,119353
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-15,427.7,428.05,401.2,415.25,415.5,427.7,25435001,10477021846.3,231324
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-14,419.0,428.85,412.2,427.7,427.75,417.05,20478918,8666846855.6,255441
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-13,449.3,449.9,410.0,417.05,417.85,449.3,17803423,7581533018.1,230916
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-12,453.9,455.8,446.7,449.3,449.6,453.9,8409613,3784581663.65,116045
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-11,461.0,462.85,452.4,453.9,452.5,458.6,7824738,3586056755.4,120998
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-07,461.6,465.4,456.05,458.6,458.5,461.6,9680802,4445435723.25,103816
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-06,462.45,464.95,444.55,461.6,461.0,460.65,14061966,6419297535.25,150912
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-05,456.0,461.75,453.55,460.65,461.0,455.4,9605493,4403980940.1,113575
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-04,451.85,458.0,448.05,455.4,455.2,448.5,11977226,5438471512.75,188729
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-02,447.2,450.0,446.45,448.5,448.55,446.35,1085461,487014255.7,13476
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-03-01,438.0,448.8,438.0,446.35,447.65,436.7,8411615,3733643239.6,122796
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-02-29,444.0,444.0,429.65,436.7,438.9,434.2,11711699,5098952431.5,148098
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-02-28,440.3,442.85,430.35,434.2,434.9,441.4,8893614,3869673063.15,125691
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-02-27,442.3,445.3,435.05,441.4,441.1,442.3,8343526,3674810845.2,96427
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-02-26,443.9,447.25,440.55,442.3,443.0,443.9,7570244,3362540348.8,100405
Coal India Limited,INE522F01014,2010-11-04,EQ,COALINDIA,2024-02-23,448.0,449.6,441.65,443.9,444.2,445.15,9625544,4282336042.85,120051
