StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-28,5569.0,5594.0,5485.0,5502.45,5494.0,5549.25,262188,1449920174.95,29141
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-27,5546.6,5631.6,5530.85,5549.25,5565.0,5547.3,248089,1384216488.35,34004
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-26,5546.5,5580.0,5527.0,5547.3,5546.6,5540.1,206027,1144283545.45,36240
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-22,5601.15,5639.3,5462.15,5540.1,5552.3,5706.75,1055867,5849880722.4,104248
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-21,5590.0,5729.1,5581.0,5706.75,5700.0,5529.75,592395,3370277240.4,49368
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-20,5575.0,5625.0,5475.5,5529.75,5539.0,5557.55,334922,1852078065.6,41722
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-19,5705.0,5746.0,5537.0,5557.55,5550.0,5697.15,594997,3346657994.4,73553
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-18,6045.15,6045.15,5665.1,5697.15,5700.0,6116.4,1433639,8249365590.65,191337
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-15,6078.0,6137.35,6008.3,6116.4,6129.0,6087.6,210374,1279027607.6,34984
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-14,6145.0,6151.2,5900.0,6087.6,6094.0,6173.6,439378,2652596313.6,66845
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-13,6319.95,6325.35,6120.0,6173.6,6131.0,6263.65,364200,2259547152.6,54384
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-12,6261.95,6346.6,6188.05,6263.65,6213.1,6247.65,277022,1728675579.6,29314
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-11,6280.0,6302.7,6173.0,6247.65,6230.05,6253.7,486927,3038928565.55,62864
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-07,6359.95,6378.45,6236.6,6253.7,6250.9,6323.3,233446,1468377835.7,30930
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-06,6305.0,6368.1,6113.7,6323.3,6320.0,6316.45,429399,2672734095.95,59956
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-05,6425.0,6446.0,6286.0,6316.45,6320.0,6442.7,265245,1681858589.15,44976
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-04,6525.0,6537.9,6406.0,6442.7,6440.0,6505.15,446281,2872988494.4,68855
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-02,6548.85,6580.0,6449.5,6505.15,6501.05,6504.7,29261,190508865.4,4740
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-03-01,6586.75,6624.85,6455.0,6504.7,6521.5,6554.05,475667,3100116276.8,54610
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-29,6470.0,6580.0,6390.0,6554.05,6532.55,6464.65,202478,1318714284.15,21020
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-28,6569.0,6591.0,6420.25,6464.65,6431.1,6561.55,192687,1254731839.6,27226
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-27,6585.0,6648.6,6525.0,6561.55,6569.0,6593.4,112860,741846515.45,16594
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-26,6599.0,6679.75,6484.35,6593.4,6577.1,6606.0,755379,4964791836.75,91565
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-23,6675.0,6722.95,6590.15,6606.0,6599.0,6617.7,196052,1306337960.55,28172
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-22,6585.0,6677.05,6532.3,6617.7,6629.95,6546.0,198579,1311412960.2,26833
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-21,6700.0,6704.9,6500.0,6546.0,6535.0,6653.45,303362,1992824708.1,40903
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-20,6754.65,6805.0,6583.35,6653.45,6677.65,6754.9,285213,1901016806.15,31798
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-19,6700.0,6847.45,6572.0,6754.9,6743.1,6665.4,370439,2498609306.55,45678
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-16,6679.95,6690.0,6525.9,6665.4,6673.0,6644.8,319668,2107519744.35,35682
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-15,6590.0,6664.0,6511.1,6644.8,6661.6,6472.15,171082,1127486616.85,19794
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-14,6550.0,6614.1,6395.0,6472.15,6509.0,6661.9,335871,2174810730.0,40984
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-13,6692.9,6753.8,6582.0,6661.9,6666.0,6666.2,356627,2371029405.8,40761
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-12,6549.9,6733.7,6501.5,6666.2,6683.9,6500.75,881053,5861775517.35,110169
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-09,6641.95,6642.0,6471.0,6500.75,6497.0,6608.35,182879,1192868946.35,26980
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-08,6629.95,6666.0,6568.8,6608.35,6603.3,6583.5,163963,1085141385.45,19894
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-07,6645.0,6645.0,6512.0,6583.5,6560.9,6560.8,237786,1560455958.15,22601
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-06,6421.0,6571.0,6373.0,6560.8,6549.0,6366.3,434992,2836647659.75,43862
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-05,6479.95,6479.95,6350.0,6366.3,6377.4,6425.35,430785,2755647909.2,60188
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-02,6245.0,6469.0,6227.65,6425.35,6454.2,6169.75,518712,3305415865.1,52415
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-02-01,6250.1,6282.05,6102.65,6169.75,6155.4,6250.1,290416,1795220738.3,50662
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-31,6253.95,6330.0,6238.05,6250.1,6250.0,6244.8,337292,2114635108.95,61606
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-30,6300.0,6423.2,6229.5,6244.8,6250.0,6254.75,546835,3447372907.45,48683
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-29,6222.2,6324.0,6200.25,6254.75,6250.0,6205.05,423776,2653418007.25,57253
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-25,6440.0,6440.0,6185.05,6205.05,6198.0,6369.2,392096,2449201861.85,44468
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-24,6223.0,6422.9,6161.0,6369.2,6410.0,6201.6,345532,2163786865.5,48478
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-23,6398.0,6417.4,6167.2,6201.6,6223.0,6283.4,689002,4323131275.65,91422
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-20,6474.95,6513.95,6264.2,6283.4,6300.0,6415.35,191502,1214187094.5,19864
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-19,6529.9,6548.9,6372.0,6415.35,6401.0,6486.6,400947,2576143857.9,39135
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-18,6595.45,6602.45,6263.05,6486.6,6495.0,6626.95,541380,3474370245.3,62831
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-17,6495.1,6662.0,6482.0,6626.95,6626.0,6597.0,299390,1983009344.25,45921
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-16,6660.0,6660.0,6511.95,6597.0,6599.0,6614.05,263369,1733748102.55,33995
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-15,6699.9,6789.0,6582.7,6614.05,6608.0,6592.7,731362,4876732976.15,84160
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-12,6350.0,6615.0,6338.0,6592.7,6594.3,6238.1,1252771,8201105206.55,112507
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-11,6260.0,6340.0,6223.45,6238.1,6248.0,6152.25,431230,2703926705.6,47879
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-10,6087.7,6173.45,6039.05,6152.25,6151.0,6067.85,208245,1271972065.05,23270
Coforge Limited,INE591G01017,2004-08-30,EQ,COFORGE,2024-01-09,6190.0,6274.6,6052.8,6067.85,6069.65,6060.5,423485,2608873454.85,49194
