StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-28,2678.0,2738.8,2630.15,2710.35,2732.9,2658.8,780788,2093942950.3,60695
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-27,2753.0,2754.0,2650.0,2658.8,2655.0,2745.5,341735,917231461.1,40461
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-26,2686.0,2759.5,2679.0,2745.5,2750.0,2708.05,356729,973078252.45,38693
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-22,2685.05,2715.0,2674.0,2708.05,2707.0,2679.15,210480,568636611.0,35529
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-21,2670.0,2706.45,2650.0,2679.15,2681.0,2664.6,215114,576553072.05,21657
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-20,2627.8,2685.0,2612.0,2664.6,2660.0,2612.4,313081,832471519.5,29288
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-19,2718.55,2729.95,2601.45,2612.4,2606.0,2733.95,333069,880531059.5,34303
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-18,2728.55,2743.0,2714.15,2733.95,2726.35,2728.55,208326,568963904.3,24377
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-15,2688.0,2747.15,2673.2,2728.55,2736.0,2687.4,934404,2540172505.6,76502
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-14,2566.95,2698.65,2531.65,2687.4,2680.0,2572.4,603002,1598748923.15,45680
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-13,2608.95,2660.0,2538.0,2572.4,2565.05,2602.75,499489,1298643007.3,47603
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-12,2607.0,2623.8,2582.1,2602.75,2605.0,2606.85,136343,354407107.7,18972
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-11,2600.0,2624.9,2578.7,2606.85,2603.1,2578.7,222989,580783472.55,24305
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-07,2548.85,2599.0,2525.2,2578.7,2572.95,2555.6,235648,604808933.85,24438
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-06,2543.65,2563.4,2505.0,2555.6,2549.0,2543.65,106519,270239627.35,15479
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-05,2580.0,2583.0,2521.55,2543.65,2540.0,2577.15,175510,446611007.85,21444
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-04,2525.0,2585.4,2524.9,2577.15,2580.0,2524.05,177073,454152802.75,18523
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-02,2550.0,2550.0,2520.0,2524.05,2525.0,2534.65,5585,14132626.0,586
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-03-01,2534.0,2554.55,2517.65,2534.65,2532.5,2526.75,92374,234330514.75,16548
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-29,2493.9,2540.25,2476.25,2526.75,2531.85,2496.55,506654,1275619434.45,28007
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-28,2539.9,2541.85,2481.0,2496.55,2494.5,2531.75,195163,488250381.3,18888
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-27,2520.0,2556.95,2511.75,2531.75,2532.8,2521.25,165839,420742351.5,22310
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-26,2540.0,2542.95,2512.0,2521.25,2524.45,2546.4,115895,292604833.3,14173
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-23,2537.0,2560.0,2522.5,2546.4,2534.4,2537.55,210277,534146625.7,18575
Colgate Palmolive (India) Limited,INE259A01022,2007-12-17,EQ,COLPAL,2024-02-22,2545.55,2545.55,2498.5,2537.55,2540.0,2535.55,196344,495967776.3,15556
