StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-28,869.0,891.7,864.6,882.1,883.0,866.2,1661176,1464940155.35,53085
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-27,870.0,887.0,862.2,866.2,864.0,868.05,1643044,1436233019.75,67735
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-26,868.1,880.45,862.75,868.05,868.9,868.1,950457,828857463.55,37105
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-22,873.2,880.95,864.6,868.1,868.35,873.2,999736,870110749.1,44932
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-21,851.0,877.55,846.3,873.2,871.35,839.6,2443904,2117772268.6,76024
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-20,835.55,843.3,819.45,839.6,840.5,831.7,1182471,985556066.55,70428
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-19,854.0,857.9,827.6,831.7,833.8,854.9,1306629,1095213731.95,57288
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-18,868.85,879.4,849.45,854.9,855.0,865.75,1604337,1377192801.4,70329
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-15,868.05,872.4,845.0,865.75,866.55,867.95,2284557,1961313236.0,85838
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-14,862.45,921.0,854.95,867.95,870.4,862.45,1997066,1735081942.75,60343
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-13,918.1,928.7,853.1,862.45,859.4,925.0,3796016,3352453400.8,162672
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-12,955.0,964.0,921.7,925.0,923.1,955.75,817033,763548872.8,41165
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-11,964.7,971.6,950.75,955.75,951.5,964.7,1674256,1602834004.95,93558
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-07,972.05,975.7,959.05,964.7,962.15,971.7,763240,737938858.15,23770
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-06,965.0,975.0,949.3,971.7,973.05,967.95,1005912,968630569.45,44907
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-05,984.1,985.2,966.15,967.95,968.65,986.15,1258586,1225032905.6,29828
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-04,977.05,990.75,972.0,986.15,985.1,981.35,1935494,1904317200.6,47565
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-02,975.2,986.7,972.65,981.35,978.2,978.05,73811,72466515.3,4579
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-03-01,983.8,988.9,972.35,978.05,978.95,977.4,627986,615318195.75,27423
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-29,952.2,985.65,945.0,977.4,985.65,957.25,3664111,3570843734.45,59107
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-28,980.2,985.95,951.2,957.25,953.7,972.05,1761906,1698012222.05,83389
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-27,987.05,998.4,965.2,972.05,974.0,987.05,1540090,1510138241.75,53054
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-26,1004.95,1005.3,978.75,987.05,988.0,1004.95,3999562,3954774996.5,110290
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-23,1021.5,1021.5,1001.25,1004.95,1001.9,1013.7,1290598,1305102078.05,57676
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-22,1002.75,1024.0,985.7,1013.7,1014.85,991.9,2872499,2896243866.55,61860
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-21,1004.0,1027.65,986.1,991.9,990.85,999.8,3854456,3895365275.7,86424
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-20,1001.5,1013.75,990.0,999.8,998.15,1010.25,3193542,3195691117.5,73137
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-19,984.75,1015.2,966.45,1010.25,1010.0,980.8,3354158,3349973217.2,86840
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-16,957.0,987.0,951.2,980.8,975.2,955.15,3576995,3491457950.9,82439
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-15,949.0,961.65,934.0,955.15,951.8,939.65,1713175,1630081727.4,49287
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-14,920.9,942.5,913.0,939.65,942.25,925.3,1538122,1431893523.0,43030
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-13,914.9,933.65,894.0,925.3,927.5,913.65,1624595,1494117751.4,59880
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-12,951.95,951.95,906.5,913.65,912.0,943.35,2251407,2078244733.85,85985
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-09,961.0,971.55,910.1,943.35,942.0,950.85,2799376,2643255491.0,90644
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-08,928.0,964.0,920.2,950.85,950.1,922.55,3711989,3522752581.65,107650
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-07,938.0,939.0,918.05,922.55,924.6,935.75,1022135,946843717.95,47157
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-06,935.9,940.45,920.0,935.75,934.3,930.4,1185651,1106417002.45,40395
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-05,930.05,951.9,913.05,930.4,927.7,920.05,3238887,3032962675.7,96626
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-02,937.05,937.9,915.15,920.05,921.0,921.2,3415920,3165866055.7,80896
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-02-01,892.7,924.3,872.6,921.2,918.8,887.5,4773808,4312552000.25,111877
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-31,871.5,892.0,865.0,887.5,885.0,865.45,2756554,2432421680.2,82663
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-30,868.0,894.5,855.0,865.45,867.75,860.35,6244159,5452444828.95,141939
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-29,831.0,867.85,815.2,860.35,857.8,828.65,6047472,5147288061.85,196060
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-25,844.0,846.35,818.1,828.65,825.0,841.1,1772063,1470551211.55,85733
Container Corporation of India Limited,INE111A01025,1997-05-07,BL,CONCOR,2024-01-25,841.1,841.1,841.1,841.1,841.1,767.8,153318,128955769.8,1
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-24,828.0,843.35,816.65,841.1,840.4,825.3,1124950,936450123.05,48882
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-23,877.95,883.75,817.15,825.3,823.05,873.35,1482258,1243794805.4,64368
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-20,868.0,894.6,864.55,873.35,873.25,858.7,1485117,1308347747.85,53090
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-19,850.0,867.65,840.6,858.7,864.9,843.65,1564164,1326137837.6,84142
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-18,850.0,850.0,813.9,843.65,844.85,850.15,2296029,1913651435.85,78621
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-17,880.0,881.65,843.5,850.15,849.8,882.7,1856770,1600850754.05,63181
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-16,903.95,903.95,873.25,882.7,883.9,901.25,1299501,1152472020.4,43719
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-15,895.0,906.85,884.65,901.25,898.0,889.7,1027152,923847424.25,52059
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-12,912.95,912.95,881.5,889.7,895.0,902.85,1435565,1277129893.0,51949
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-11,895.0,916.5,890.0,902.85,901.55,886.3,1960470,1774896262.3,81647
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-10,886.65,891.5,868.2,886.3,886.2,885.95,997946,877717696.75,42187
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-09,880.0,896.0,879.2,885.95,885.0,870.8,1385563,1229836334.5,56035
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-08,898.85,898.85,868.05,870.8,872.95,895.9,1078181,947719578.75,58431
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-05,919.25,920.15,886.35,895.9,899.75,913.3,983472,887678105.15,39234
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-04,885.0,932.7,885.0,913.3,916.7,882.15,4075191,3735434061.2,115884
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-03,882.95,890.3,869.3,882.15,883.9,879.65,1965216,1734640081.1,48943
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-02,864.5,882.7,845.0,879.65,882.65,861.2,1362479,1188102405.0,45174
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2024-01-01,860.0,873.8,854.1,861.2,860.0,859.65,759906,657118308.1,26881
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-29,862.55,867.7,851.0,859.65,858.45,856.9,1071326,919054823.0,31825
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-28,841.5,861.45,838.0,856.9,855.0,837.65,1787246,1526014341.9,74908
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-27,841.75,846.9,833.05,837.65,837.5,841.75,1122363,941531751.2,32864
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-26,835.0,852.4,831.0,841.75,840.0,832.4,876297,737854789.5,20731
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-22,835.95,841.7,824.25,832.4,834.6,839.75,1541803,1280832704.2,55394
Container Corporation of India Limited,INE111A01025,1997-05-07,EQ,CONCOR,2023-12-21,822.35,843.9,816.4,839.75,842.4,830.6,1066836,890734493.25,42174
