StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-28,266.1,268.9,263.5,267.5,268.0,265.6,2999646,798996063.45,41361
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-27,271.0,271.5,264.5,265.6,266.5,271.0,6728331,1792769503.45,61650
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-26,271.35,272.7,269.55,271.0,271.35,269.35,3867946,1048612729.7,32345
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-22,268.75,271.7,261.25,269.35,269.0,269.75,11215203,3007863369.35,30855
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-21,268.0,270.65,266.5,269.75,269.6,264.9,2874783,772571220.0,22716
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-20,268.0,268.0,262.25,264.9,264.2,267.0,5153884,1360359626.05,28787
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-19,272.0,273.5,266.3,267.0,266.8,271.75,2180704,585568386.25,24198
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-18,277.45,278.25,268.2,271.75,271.5,275.5,4738220,1288784818.45,39424
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-15,281.75,285.8,274.35,275.5,275.2,279.2,3406199,946202690.9,30207
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-14,277.15,284.3,275.85,279.2,280.45,277.15,2216147,620948407.5,41628
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-13,287.25,289.4,274.55,277.15,277.85,286.0,4668709,1310081078.75,79805
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-12,289.0,290.8,285.25,286.0,286.35,288.8,1936402,556448198.05,47506
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-11,291.9,293.15,288.0,288.8,288.35,290.65,593630,172710851.65,19117
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-07,291.5,296.7,289.95,290.65,290.9,291.3,1938855,567955227.25,26333
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-06,295.2,295.7,288.35,291.3,291.35,294.65,2981128,866105931.4,23877
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-05,300.95,300.95,293.6,294.65,295.25,299.4,1150650,340274406.35,16502
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-04,301.75,302.85,297.4,299.4,299.85,301.1,2551273,764304250.25,28019
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-02,297.0,302.75,296.0,301.1,301.1,295.75,587360,176534184.4,7110
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-03-01,292.35,297.0,291.25,295.75,295.7,291.0,2603483,767515889.8,38583
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-02-29,293.0,293.0,286.5,291.0,292.0,291.75,4760712,1381144561.95,25552
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-02-28,291.8,295.6,289.65,291.75,292.3,290.8,5812712,1696089025.65,37360
Crompton Greaves Consumer Electricals Limited,INE299U01018,2016-05-13,EQ,CROMPTON,2024-02-27,292.75,296.95,289.75,290.8,290.5,288.05,2971531,869929000.2,40902
