StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-28,355.8,361.1,351.2,354.5,351.95,353.9,164497,58719967.25,11596
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-27,348.0,362.0,347.4,353.9,352.5,348.7,337225,120648374.25,17592
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-26,352.4,354.5,344.5,348.7,344.5,346.9,194122,67945018.25,8229
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-22,342.85,349.2,342.85,346.9,344.75,343.0,97333,33742187.8,5602
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-21,343.9,352.95,340.8,343.0,344.0,341.75,181338,62485347.4,10876
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-20,343.7,347.5,336.2,341.75,339.1,343.7,144967,49520647.0,9803
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-19,339.8,348.75,335.0,343.7,340.0,338.15,209741,71404531.65,12222
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-18,345.4,353.25,334.95,338.15,340.0,343.05,263062,89890755.65,18220
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-15,351.0,354.25,336.3,343.05,340.1,353.2,228186,78489546.05,15485
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-14,332.4,359.95,330.3,353.2,359.0,335.8,275467,95786378.4,20159
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-13,353.45,353.45,331.5,335.8,332.0,354.8,297557,101379742.55,18159
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-12,355.0,361.15,346.9,354.8,354.8,359.4,338961,119828087.05,17222
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-11,370.0,384.65,340.2,359.4,357.9,368.65,730502,269840689.8,28162
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-07,365.05,371.95,363.25,368.65,370.0,365.9,254739,93487056.55,12259
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-06,369.0,373.8,361.3,365.9,363.95,369.2,478829,176116979.0,20115
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-05,346.0,374.55,346.0,369.2,369.35,348.95,2354307,868072329.8,63062
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-04,357.6,359.4,348.0,348.95,349.2,357.6,106956,37460973.6,8747
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-02,351.4,359.75,350.95,357.6,358.0,351.4,16280,5782843.2,484
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-03-01,350.15,352.7,347.1,351.4,350.75,349.7,93806,32845738.65,5813
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-29,352.05,355.65,346.05,349.7,350.0,351.0,87686,30636495.5,6872
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-28,361.0,361.2,349.1,351.0,350.05,361.2,122928,43509531.2,7515
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-27,360.0,364.0,358.8,361.2,361.45,359.7,114934,41418350.9,8783
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-26,356.15,362.0,354.6,359.7,360.35,358.75,158580,56885481.1,8325
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-23,365.7,366.0,356.3,358.75,360.0,360.05,107070,38490817.0,9281
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-22,353.25,361.0,350.1,360.05,360.75,351.45,144893,51547415.55,10374
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-21,366.4,367.95,348.0,351.45,352.9,366.4,460705,164664659.05,27451
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-20,367.0,367.9,361.0,366.4,365.0,365.4,257345,93780791.95,15678
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-19,365.75,367.65,359.65,365.4,366.05,364.7,383265,139899287.95,15126
CSB Bank Limited,INE679A01013,2019-12-04,EQ,CSBBANK,2024-02-16,375.8,376.8,362.1,364.7,365.0,374.0,592507,216555080.95,18842
