StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-28,1975.0,2025.0,1960.0,1996.35,1985.0,1942.85,346848,691905631.4,36340
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-27,1957.0,1961.0,1920.0,1942.85,1945.0,1941.55,207002,402592470.25,25110
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-26,1940.0,2018.05,1912.3,1941.55,1935.0,1963.0,658108,1275048001.45,51854
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-22,1962.05,2005.85,1942.05,1963.0,1962.8,1986.8,187131,368293747.35,30837
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-21,2019.15,2019.15,1969.05,1986.8,1985.0,1999.75,906767,1806956298.25,25776
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-20,2010.25,2053.65,1965.0,1999.75,2010.0,1975.05,513291,1022952458.6,27807
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-19,1996.1,1999.0,1944.5,1975.05,1979.8,1995.35,182333,357377656.25,16962
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-18,1985.8,2008.5,1964.4,1995.35,2001.25,1986.2,116815,232060374.75,30110
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-15,1943.05,2030.0,1932.05,1986.2,1976.0,1945.75,346736,689484103.95,34762
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-14,1909.0,1977.95,1909.0,1945.75,1939.0,1897.0,279534,544119296.4,52934
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-13,1973.9,1979.9,1810.1,1897.0,1901.0,1963.75,388213,732092736.6,52523
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-12,1959.95,2008.0,1935.8,1963.75,1974.95,1942.45,347046,681357722.1,32262
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-11,1986.85,1986.9,1922.5,1942.45,1950.05,1987.75,134268,261902293.8,24465
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-07,1982.0,1995.0,1944.0,1987.75,1974.55,1968.45,133707,263376843.65,17576
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-06,1956.15,2000.95,1910.0,1968.45,1980.0,1956.2,155122,303805284.3,22066
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-05,2016.95,2024.95,1946.0,1956.2,1963.05,2016.05,129282,254948761.85,21176
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-04,1995.05,2020.2,1989.95,2016.05,2010.0,2032.8,112124,224400565.15,14349
Cyient Limited,INE136B01020,1998-09-30,EQ,CYIENT,2024-03-02,2035.95,2041.2,2015.0,2032.8,2025.25,2035.5,6854,13940441.3,1302
