StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-28,522.0,526.0,517.75,523.15,522.3,521.65,2312982,1208209770.05,28506
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-27,524.0,524.4,519.1,521.65,522.4,521.1,2638465,1375888771.7,47446
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-26,512.6,522.25,512.6,521.1,521.0,520.8,1961179,1018668570.5,28170
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-22,524.0,527.35,519.0,520.8,521.0,523.95,1072318,558640029.5,29627
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-21,522.25,525.65,518.5,523.95,524.55,520.2,973386,509404820.85,15633
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-20,518.35,521.2,512.0,520.2,520.0,518.35,925067,478955815.75,22286
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-19,523.25,530.0,516.55,518.35,518.2,523.6,2071489,1076014382.95,24996
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-18,526.55,526.55,521.1,523.6,523.0,526.55,1247334,653295002.6,32757
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-15,528.95,530.35,524.25,526.55,527.0,529.65,1710825,902035082.6,38390
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-14,517.0,530.8,516.15,529.65,527.55,519.95,2047715,1080981218.75,50889
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-13,529.55,531.4,515.8,519.95,522.0,529.0,2666699,1391670929.3,48323
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-12,530.55,532.3,525.85,529.0,528.0,533.4,1011782,535059236.95,39246
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-11,535.25,538.4,531.6,533.4,532.15,535.25,984138,526818286.1,28392
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-07,531.5,537.75,530.5,535.25,534.0,531.5,894981,478480841.4,22394
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-06,534.8,536.0,528.25,531.5,531.5,534.75,1082367,574663112.2,24789
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-05,535.15,536.8,533.05,534.75,534.2,537.3,1464768,784274352.2,23421
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-04,538.0,539.7,531.8,537.3,537.05,538.6,2030164,1088424988.05,26236
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-02,541.15,542.0,536.1,538.6,539.0,541.1,112240,60472589.25,2184
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-03-01,538.15,544.95,538.15,541.1,539.35,538.15,762406,413348177.5,20500
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-29,536.3,539.35,532.3,538.15,537.8,536.25,2453976,1316772733.15,36276
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-28,535.35,541.45,531.9,536.25,536.5,535.6,2697005,1446762463.9,29038
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-27,527.9,538.2,526.0,535.6,536.3,529.25,2954271,1572084549.4,43731
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-26,534.15,537.1,526.85,529.25,527.0,535.3,1180365,628177847.3,31600
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-23,542.1,544.55,534.25,535.3,536.0,541.6,1160683,624814785.45,17993
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-22,546.5,546.5,538.65,541.6,542.45,546.3,1264327,684563024.5,25320
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-21,547.6,549.85,544.35,546.3,544.9,547.55,1636393,895038343.2,26346
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-20,551.2,551.2,543.0,547.55,549.9,547.65,1057848,577268857.45,24862
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-19,545.0,550.2,540.25,547.65,547.0,544.5,1353397,739164750.0,26062
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-16,545.1,547.85,541.0,544.5,544.0,544.2,839405,457098304.45,19214
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-15,545.95,547.35,540.9,544.2,544.75,544.3,1006711,547293168.45,31425
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-14,533.55,545.25,533.25,544.3,543.8,538.75,828939,448016699.45,29662
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-13,536.35,539.9,531.15,538.75,536.5,536.55,725665,389512100.3,40554
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-12,539.2,543.75,535.4,536.55,536.35,539.2,1454041,784974876.3,21859
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-09,534.9,540.0,528.65,539.2,537.75,533.95,1786915,956169605.15,30467
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-08,539.7,541.0,532.0,533.95,533.85,537.4,1488521,797061274.1,27387
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-07,533.15,538.45,530.65,537.4,538.2,532.7,1784199,954231175.2,49437
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-06,534.25,537.4,531.25,532.7,532.2,533.65,1247440,665477924.15,31191
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-05,543.0,544.8,532.3,533.65,533.9,544.65,1417520,762340193.5,40806
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-02,554.5,559.0,539.75,544.65,545.0,554.4,3318354,1809739696.15,78694
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-02-01,547.0,575.5,547.0,554.4,555.0,539.6,11117689,6291859023.05,189762
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-01-31,535.95,545.6,534.0,539.6,540.35,535.95,3475918,1873553727.5,49906
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-01-30,534.25,537.7,533.25,535.95,536.2,534.25,1603876,859494686.2,32204
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-01-29,515.0,535.95,515.0,534.25,534.5,531.6,1316110,700617455.45,34761
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-01-25,536.6,537.55,529.05,531.6,533.0,536.6,924085,491263994.45,20462
Dabur India Limited,INE016A01026,1999-04-28,EQ,DABUR,2024-01-24,525.75,537.4,522.2,536.6,537.25,524.8,914551,486831276.5,25865
