StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-28,1956.0,1977.0,1935.1,1942.15,1946.0,1957.85,650389,1276575129.15,31178
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-27,1961.0,2003.45,1950.1,1957.85,1957.0,1961.2,988773,1952457239.4,31689
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-26,1928.7,1970.0,1928.7,1961.2,1958.45,1959.25,232888,454578022.05,33236
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-22,1920.0,1970.8,1907.6,1959.25,1965.0,1922.15,219824,426529903.2,23925
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-21,1900.1,1924.5,1898.45,1922.15,1922.0,1895.05,154710,296330854.95,13466
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-20,1888.95,1908.5,1849.65,1895.05,1893.15,1884.4,604621,1130146835.9,30065
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-19,1894.85,1894.85,1865.8,1884.4,1876.15,1884.95,279862,525657025.15,20146
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-18,1881.05,1898.4,1851.25,1884.95,1889.5,1880.4,320363,601886900.75,20306
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-15,1870.0,1893.9,1854.7,1880.4,1877.0,1867.05,399126,748888900.4,24912
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-14,1827.0,1877.95,1821.6,1867.05,1868.8,1825.5,242860,452429354.75,20760
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-13,1909.15,1919.5,1803.15,1825.5,1825.0,1909.15,450072,827749656.9,47883
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-12,1945.0,1950.0,1891.1,1909.15,1906.05,1939.25,588682,1122811567.35,35784
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-11,1961.2,1977.95,1935.0,1939.25,1943.95,1961.2,318811,622884009.05,26635
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-07,1931.1,1973.95,1931.1,1961.2,1960.0,1945.95,242073,474849869.85,15948
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-06,1996.0,1998.45,1916.15,1945.95,1950.0,1995.95,399091,775249138.65,38412
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-05,2040.0,2049.95,1985.0,1995.95,1998.45,2027.05,198945,398612196.25,16577
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-04,2085.0,2103.15,2021.75,2027.05,2027.0,2065.3,241075,495481669.0,22560
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-02,2060.0,2073.0,2018.05,2065.3,2067.0,2055.45,7192,14826495.45,863
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-03-01,2025.0,2061.05,2025.0,2055.45,2056.0,2024.9,219759,450571294.4,12110
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-29,2002.25,2038.45,1986.3,2024.9,2015.85,2016.95,280293,564293199.3,24945
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-28,2070.0,2085.15,2002.65,2016.95,2010.0,2072.65,249809,511271336.9,26609
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-27,2102.0,2114.15,2065.6,2072.65,2070.0,2113.65,362622,757202407.5,32355
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-26,2094.45,2122.5,2081.2,2113.65,2107.6,2089.7,338763,714192089.85,31230
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-23,2120.0,2120.85,2080.25,2089.7,2090.0,2107.15,432856,908924948.2,24341
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-22,2087.9,2110.85,2062.05,2107.15,2097.0,2086.95,620952,1298639763.35,27933
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-21,2080.0,2126.9,2075.6,2086.95,2085.0,2085.55,430199,906781354.9,24135
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-20,2101.7,2108.3,2072.0,2085.55,2079.0,2101.7,334011,698771231.65,17762
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-19,2084.6,2127.95,2084.6,2101.7,2103.0,2084.6,292776,617518229.3,19196
Dalmia Bharat Limited,INE00R701025,2019-01-22,EQ,DALBHARAT,2024-02-16,2051.5,2116.65,2051.4,2084.6,2089.0,2046.35,435123,908606754.15,37789
