StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-28,493.0,514.9,492.45,504.1,502.0,486.7,1512219,765227523.65,42630
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-27,492.45,498.95,483.25,486.7,485.15,489.85,729281,359863624.0,24520
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-26,486.0,494.7,483.25,489.85,489.45,484.2,815126,398874959.5,23637
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-22,483.8,495.5,482.05,484.2,483.0,482.2,540826,263920009.95,15863
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-21,484.0,492.3,480.0,482.2,481.8,483.7,576453,280493081.25,16486
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-20,487.8,491.25,478.05,483.7,481.85,486.1,396470,191983923.25,15926
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-19,489.9,493.0,482.3,486.1,483.0,487.05,409350,199532392.6,14508
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-18,488.95,493.3,483.0,487.05,487.35,490.45,405657,197497396.6,15501
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-15,471.95,495.5,466.1,490.45,486.9,472.55,752131,361749799.65,29490
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-14,461.0,476.1,456.65,472.55,471.75,459.95,547384,257025922.3,23617
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-13,496.95,497.9,450.0,459.95,460.4,492.95,935743,440395694.25,48803
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-12,504.15,504.85,488.4,492.95,493.75,503.6,524968,258987467.5,20480
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-11,515.0,516.65,501.0,503.6,503.0,513.35,317165,161028681.55,12603
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-07,505.6,520.3,505.6,513.35,513.0,508.5,463380,239018239.15,18064
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-06,521.9,521.9,502.0,508.5,509.6,521.95,657064,332871322.25,25669
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-05,505.8,528.8,505.0,521.95,521.0,505.85,982834,512920763.15,32333
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-04,514.0,514.8,504.95,505.85,506.0,511.45,231711,117433263.7,12929
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-02,510.95,512.5,509.35,511.45,511.5,508.65,48032,24558757.15,1721
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-03-01,509.2,513.15,507.05,508.65,508.0,505.75,263710,134304474.95,9970
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-29,514.75,517.5,502.8,505.75,507.0,515.0,359325,182264045.55,16086
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-28,515.4,518.05,511.6,515.0,514.25,514.95,476682,245512192.25,12714
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-27,510.95,518.0,510.5,514.95,512.85,511.1,305971,157193865.15,12257
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-26,523.15,523.15,510.0,511.1,510.65,520.25,509004,261442567.65,20957
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-23,520.0,525.0,517.0,520.25,521.5,517.4,447992,232685539.4,12509
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-22,523.0,524.5,511.0,517.4,515.0,522.05,697173,360197231.55,20255
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-21,515.2,527.4,514.55,522.05,522.15,514.55,1849768,963277525.65,46700
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-20,517.3,546.7,508.0,514.55,512.0,494.45,11983014,6346300977.1,228004
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-19,501.15,501.6,493.6,494.45,496.0,494.5,574941,285924750.0,31284
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-16,506.5,514.4,492.7,494.5,494.65,507.9,777790,389558485.6,29460
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-15,493.5,515.3,491.95,507.9,508.1,490.8,995334,505648001.45,49286
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-14,495.0,499.7,488.5,490.8,490.25,495.05,633883,312604911.1,31700
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-13,500.1,503.8,483.35,495.05,498.95,500.05,827799,408843780.95,39023
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-12,515.5,517.1,497.85,500.05,502.8,515.3,654659,331593622.8,26328
Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,2003-01-17,EQ,DEEPAKFERT,2024-02-09,528.95,529.5,512.55,515.3,514.0,524.35,560987,290492188.9,22985
