StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-28,7486.35,7580.0,7431.45,7479.25,7474.0,7424.2,251091,1880500922.65,34737
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-27,7255.0,7470.0,7255.0,7424.2,7430.0,7245.65,340520,2514795332.15,41677
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-26,7157.0,7286.35,7108.7,7245.65,7251.0,7165.15,181186,1306614694.3,24241
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-22,7040.0,7189.85,7027.0,7165.15,7158.0,7067.75,227094,1616825888.75,28959
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-21,7049.95,7079.0,6932.9,7067.75,7070.0,6952.3,225768,1584961083.9,27499
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-20,6954.0,7008.95,6839.1,6952.3,6962.0,6946.65,199618,1382412741.65,30958
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-19,7045.95,7060.0,6920.0,6946.65,6950.0,7022.05,193387,1347477244.95,24965
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-18,6963.0,7061.9,6906.0,7022.05,7020.0,6962.0,232402,1625443262.65,27202
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-15,6785.6,6979.95,6722.0,6962.0,6951.8,6802.75,288283,1981326532.35,39564
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-14,6553.2,6848.0,6503.5,6802.75,6830.45,6603.9,200602,1353678738.45,36412
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-13,6949.0,6949.0,6558.7,6603.9,6598.0,6894.6,343690,2322253406.05,52558
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-12,7077.95,7095.0,6859.05,6894.6,6860.0,7051.05,319480,2226187178.1,47044
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-11,7184.0,7229.8,7035.0,7051.05,7064.0,7142.95,214304,1530486615.8,31325
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-07,7199.0,7236.0,7111.1,7142.95,7125.0,7152.6,274115,1963908844.25,38057
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-06,7041.0,7200.0,6922.15,7152.6,7199.0,7057.9,339635,2390854887.4,50151
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-05,7140.0,7144.9,7015.0,7057.9,7056.05,7162.5,206477,1461959550.65,31695
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-04,7043.2,7180.8,7005.15,7162.5,7155.15,7043.2,362012,2574971450.5,53133
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-02,7020.1,7099.0,7002.0,7043.2,7039.0,7004.95,39038,275599701.4,5180
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-03-01,6719.0,7022.0,6680.0,7004.95,7005.0,6683.85,644248,4457175972.2,75492
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-29,6550.0,6710.0,6472.0,6683.85,6672.2,6542.65,391385,2596167138.55,51829
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-28,6731.05,6819.1,6521.25,6542.65,6538.0,6761.25,457909,3049792022.75,51232
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-27,6740.0,6887.95,6620.0,6761.25,6744.0,6945.25,863651,5838932549.15,90031
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-26,6901.6,7048.0,6880.75,6945.25,6971.0,6867.5,640553,4466287526.35,77671
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-23,6813.9,6926.7,6730.05,6867.5,6854.0,6776.95,273873,1872109530.25,36271
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-22,6750.0,6869.95,6712.65,6776.95,6773.15,6734.0,273519,1852599829.6,37469
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-21,6725.0,6831.0,6705.0,6734.0,6715.0,6706.5,335010,2264062176.9,43289
Dixon Technologies (India) Limited,INE935N01020,2017-09-18,EQ,DIXON,2024-02-20,6790.0,6929.0,6666.0,6706.5,6723.0,6743.85,792746,5384431011.75,86921
