StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-28,886.8,907.0,882.7,897.0,900.0,880.5,4055477,3621456748.1,73281
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-27,878.95,888.7,875.55,880.5,879.0,873.4,3049873,2692841258.05,72567
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-26,864.9,876.45,858.15,873.4,874.0,865.9,2686188,2337264324.45,92460
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-22,861.05,869.9,855.6,865.9,867.0,857.7,2786894,2404922207.8,72031
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-21,839.1,859.35,834.1,857.7,855.6,825.95,3484101,2962407274.35,64902
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-20,827.0,834.4,805.3,825.95,828.0,823.05,3281967,2691490087.0,79441
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-19,830.0,841.8,819.5,823.05,824.0,836.25,4696393,3903587265.55,86956
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-18,826.05,839.65,816.25,836.25,836.5,823.7,2709444,2249956991.05,54172
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-15,836.6,848.75,809.3,823.7,825.0,840.65,6129505,5057624072.45,151035
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-14,826.0,844.0,817.0,840.65,840.05,830.15,5915623,4916612643.5,117098
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-13,860.0,873.25,820.65,830.15,825.2,864.4,8639565,7280224352.2,171042
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-12,910.9,915.3,861.0,864.4,864.9,911.25,8341087,7310302049.75,151783
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-11,928.0,933.3,907.2,911.25,909.35,920.3,4511073,4151563389.25,169282
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-07,925.6,929.0,917.15,920.3,921.0,922.7,2108204,1943906994.8,45610
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-06,930.95,933.9,908.1,922.7,924.0,932.05,3258284,2998229963.05,98586
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-05,930.0,939.4,926.0,932.05,930.1,931.8,2846188,2654366422.45,53308
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-04,925.2,941.9,923.65,931.8,932.0,922.95,3951444,3687444991.65,88229
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-02,916.05,927.55,916.05,922.95,922.2,909.9,300763,277585467.7,8519
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-03-01,902.0,917.0,901.2,909.9,916.0,901.2,2562306,2323194319.0,73850
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-29,898.0,911.95,881.65,901.2,904.05,899.0,19571487,17613283850.45,136735
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-28,914.2,919.95,893.6,899.0,898.5,916.4,3541248,3204619213.9,82150
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-27,905.0,918.2,902.9,916.4,915.95,902.9,3614155,3301454937.75,70484
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-26,898.0,910.25,887.7,902.9,903.0,899.25,4080998,3667748578.55,66364
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-23,898.0,905.0,892.35,899.25,897.0,892.25,3438995,3091769478.3,74807
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-22,894.0,895.0,878.85,892.25,893.25,886.85,3784762,3364812564.5,104272
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-21,865.0,896.75,863.9,886.85,887.5,863.9,8801547,7792183131.8,141732
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-20,852.0,869.5,846.2,863.9,864.0,848.6,4100739,3534753195.05,72773
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-19,864.3,866.7,845.35,848.6,848.7,863.3,2390450,2036603530.4,48078
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-16,857.0,869.3,848.8,863.3,858.85,851.4,3451534,2973683523.2,68577
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-15,848.0,857.95,842.5,851.4,852.4,843.8,3505476,2978847985.9,86704
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-14,819.0,847.45,816.2,843.8,845.9,829.35,2710385,2255954960.85,70000
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-13,810.0,831.95,799.05,829.35,830.5,807.6,3526880,2884416410.45,88804
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-12,833.0,837.6,803.35,807.6,809.4,834.4,2814982,2299522690.15,66047
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-09,830.85,837.0,810.0,834.4,833.1,830.85,4351187,3600099823.9,102759
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-08,828.8,840.9,823.15,830.85,831.5,827.45,3355261,2792677336.25,58845
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-07,806.0,838.3,806.0,827.45,824.95,797.35,10550511,8749056427.2,183184
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-06,794.0,802.0,784.2,797.35,797.0,786.6,3996095,3180887276.85,61713
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-05,784.9,806.0,783.2,786.6,787.5,791.45,3023829,2404806939.3,62545
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-02,801.2,808.4,783.2,791.45,784.4,800.05,3474878,2782501021.05,68541
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-02-01,802.55,808.75,791.05,800.05,796.8,802.6,5565773,4454957520.3,120449
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-31,786.9,806.7,782.5,802.6,797.0,786.9,7997614,6376523394.25,173280
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-30,770.5,798.7,767.0,786.9,783.0,767.35,10661351,8346462935.7,195253
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-29,761.0,771.7,755.25,767.35,765.35,758.65,5504653,4211572783.25,121810
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-25,776.0,776.0,749.3,758.65,758.0,747.4,9110800,6914211003.6,247099
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-24,739.95,749.0,732.3,747.4,748.0,739.3,6963379,5172411752.45,132174
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-23,790.0,791.9,733.95,739.3,743.0,777.05,19908675,14966675549.95,272597
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-20,783.65,788.55,769.0,777.05,777.0,785.55,3960173,3072690561.3,60622
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-19,780.7,788.0,777.7,785.55,785.2,775.45,3519988,2757970305.4,80997
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-18,776.0,780.6,762.75,775.45,775.0,775.3,8727583,6754536235.5,158145
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-17,780.0,790.0,771.05,775.3,777.1,786.85,6183356,4815727961.2,97419
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-16,804.4,806.35,777.15,786.85,787.1,805.4,3800255,2996214975.4,75180
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-15,802.0,815.75,798.5,805.4,804.4,800.55,4959825,3996887787.15,84385
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-12,800.0,811.4,796.25,800.55,800.35,797.45,4158326,3344754402.95,87816
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-11,797.5,804.9,794.35,797.45,798.2,796.05,5304485,4243011651.3,110132
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-10,790.45,800.8,777.55,796.05,795.25,789.6,5169408,4076259867.6,85116
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-09,772.0,793.0,762.5,789.6,790.25,759.3,9348457,7291544068.35,152757
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-08,760.5,773.45,751.3,759.3,760.25,752.95,4448637,3387241130.45,84196
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-05,760.0,770.0,747.85,752.95,754.1,761.4,5929704,4501609607.85,118711
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-04,718.0,764.75,717.5,761.4,762.5,715.65,13312567,10028055222.05,228252
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-03,715.25,720.85,706.7,715.65,715.0,713.85,1829817,1308297403.85,38564
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-02,725.8,725.8,704.45,713.85,714.0,723.6,2394602,1708001235.0,45243
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2024-01-01,727.2,731.0,721.45,723.6,722.0,726.4,1400824,1016649233.8,26541
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-29,725.8,730.0,721.8,726.4,724.0,728.65,1995191,1448962399.9,36358
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-28,721.9,729.9,715.1,728.65,728.0,720.45,5426028,3935880897.75,62899
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-27,719.0,724.45,711.4,720.45,717.0,714.85,2233097,1607419359.6,37574
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-26,719.55,722.2,711.65,714.85,714.0,715.95,2419374,1732893801.75,47554
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-22,696.0,718.7,694.45,715.95,715.7,692.9,5899551,4163791075.65,91316
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-21,680.0,694.9,670.2,692.9,694.0,675.35,5888251,4022614717.75,104868
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-20,704.0,704.0,671.7,675.35,673.0,698.05,3091436,2122669379.0,66621
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-19,699.0,702.1,691.95,698.05,697.15,697.1,1475227,1029631457.6,27093
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-18,702.45,705.85,693.45,697.1,697.5,705.3,1906529,1332953082.15,40024
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-15,700.0,709.0,695.0,705.3,704.4,699.5,4137143,2909457094.65,69524
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-14,681.7,701.95,681.05,699.5,698.15,673.75,7464762,5179178435.05,112912
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-13,666.8,675.0,664.2,673.75,672.0,662.6,3426758,2297188724.35,51759
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-12,667.1,677.4,659.6,662.6,661.3,667.1,3998781,2669860451.6,80744
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-11,654.45,673.6,653.3,667.1,665.9,649.9,5641806,3765756647.45,96274
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-08,651.0,663.9,641.45,649.9,649.25,648.6,3937417,2571230703.15,67366
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-07,653.1,654.55,647.3,648.6,649.6,652.95,1051759,683654697.0,26274
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-06,650.95,660.6,650.1,652.95,654.0,650.1,3264809,2138990384.25,53910
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-05,652.9,654.25,639.9,650.1,648.45,649.25,3417071,2215681047.3,47699
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-04,639.0,652.0,632.8,649.25,649.15,629.25,4588495,2960532495.45,76497
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-12-01,631.9,634.3,625.55,629.25,626.95,625.85,3438389,2165865232.25,34834
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-30,637.65,637.95,623.2,625.85,626.5,637.65,14874927,9315964226.2,102290
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-29,632.9,641.75,629.1,637.65,636.05,629.15,5851523,3723661594.5,76992
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-28,625.0,631.8,619.25,629.15,627.25,629.35,4535901,2842144525.8,81984
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-24,637.2,641.1,628.35,629.35,630.75,636.15,3963603,2509892401.75,42402
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-23,634.0,640.0,633.0,636.15,636.15,632.55,2516687,1600977923.7,42271
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-22,633.85,635.5,623.5,632.55,632.2,634.45,2762713,1741179921.9,58233
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-21,627.1,641.2,627.1,634.45,633.35,626.25,6052465,3842461582.3,94001
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-20,632.0,634.25,623.55,626.25,628.15,631.15,3290059,2064148178.7,55495
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-17,625.95,632.0,625.1,631.15,630.0,630.25,2412089,1518752847.6,48246
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-16,621.95,633.3,620.25,630.25,628.0,622.1,3206517,2011531307.8,42535
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-15,614.1,624.45,612.05,622.1,621.75,608.4,3886884,2408253170.9,76374
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-13,611.4,611.4,604.35,608.4,607.5,610.35,1898672,1154658265.95,35768
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-12,610.7,611.45,606.75,610.35,609.0,606.05,818681,499288652.05,19718
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-10,598.9,607.9,595.1,606.05,605.0,600.7,3378490,2038171222.95,48127
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-09,597.9,605.6,596.95,600.7,599.0,595.9,5403880,3255145950.15,70913
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-08,594.0,601.4,591.0,595.9,594.15,592.45,4003266,2389997825.55,64154
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-07,592.35,596.9,586.5,592.45,591.8,592.0,2662819,1574050347.15,47687
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-06,597.65,600.2,590.4,592.0,590.75,595.85,2917487,1736230989.1,39172
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-03,579.0,600.05,578.35,595.85,593.5,577.9,7692738,4550513050.0,91352
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-02,579.0,582.0,570.25,577.9,577.0,574.85,3649740,2104410970.1,53422
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-11-01,565.0,586.8,565.0,574.85,574.7,563.5,11265190,6515696599.95,175770
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-10-31,559.0,570.55,557.7,563.5,562.5,554.45,10712514,6036699162.8,142226
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-10-30,537.0,557.95,531.25,554.45,557.25,536.15,8141820,4448423469.95,98150
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-10-27,526.0,538.3,524.65,536.15,536.0,522.3,4062846,2163939192.85,53998
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-10-26,528.15,528.15,513.5,522.3,522.8,530.15,4361390,2263452242.0,76263
DLF Limited,INE271C01023,2007-07-05,EQ,DLF,2023-10-25,535.0,540.55,525.25,530.15,528.65,532.95,1695789,902663526.25,44792
