StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-28,4424.95,4560.0,4397.05,4525.6,4529.9,4420.55,892567,4007674168.6,110180
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-27,4480.5,4533.0,4387.05,4420.55,4417.9,4486.2,814043,3635012739.25,99248
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-26,4315.75,4509.45,4297.25,4486.2,4450.0,4297.6,1838678,8194004087.0,159311
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-22,4159.8,4330.5,4151.15,4297.6,4292.0,4163.1,921652,3915176732.7,79173
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-21,4117.0,4238.0,4091.5,4163.1,4158.0,4056.35,1130832,4717651353.95,122479
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-20,4015.0,4068.0,4009.25,4056.35,4049.95,4014.1,346426,1401909028.75,45163
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-19,4008.0,4046.05,3983.05,4014.1,4006.0,4010.55,451330,1815749844.05,39740
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-18,3932.1,4019.0,3918.7,4010.55,4000.0,3932.1,230448,919551488.3,27791
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-15,4019.45,4035.0,3904.0,3932.1,3912.0,4019.25,348203,1374735732.95,47833
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-14,3966.95,4040.0,3890.0,4019.25,4032.0,3967.8,355226,1407456574.05,42904
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-13,4055.0,4056.0,3932.05,3967.8,3970.0,4031.7,521699,2075661388.8,52382
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-12,3999.0,4042.0,3900.0,4031.7,4028.4,3979.65,499999,2011034651.2,65538
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-11,3948.85,4025.0,3936.05,3979.65,3986.0,3925.95,689781,2749098040.8,73724
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-07,3888.65,3942.65,3877.2,3925.95,3923.0,3888.65,330459,1294261023.15,44335
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-06,3834.5,3895.0,3825.15,3888.65,3892.0,3834.5,308886,1195538533.15,40993
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-05,3830.0,3884.35,3811.3,3834.5,3830.05,3846.35,185829,715501819.85,26342
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-04,3870.95,3878.65,3831.0,3846.35,3851.15,3868.25,153055,588938887.15,20849
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-02,3913.0,3913.0,3856.65,3868.25,3874.95,3884.15,11564,44844040.2,2231
Avenue Supermarts Limited,INE192R01011,2017-03-21,EQ,DMART,2024-03-01,3925.0,3936.75,3867.0,3884.15,3896.25,3918.9,261674,1016866927.85,36865
