StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-28,1590.0,1595.0,1551.1,1565.75,1563.0,1595.85,57525,90588378.1,8280
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-27,1510.0,1608.8,1508.4,1595.85,1571.5,1495.3,205703,323742406.85,23019
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-26,1512.9,1512.9,1485.0,1495.3,1504.0,1500.75,45627,68199745.55,4868
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-22,1495.0,1513.85,1475.0,1500.75,1506.9,1494.55,57877,86629085.0,6878
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-21,1470.0,1504.35,1426.5,1494.55,1497.0,1422.05,263111,383122628.0,14082
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-20,1441.5,1457.0,1411.6,1422.05,1422.5,1420.2,264115,376477048.95,11694
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-19,1452.25,1458.0,1390.0,1420.2,1411.0,1437.9,175959,250527167.5,19419
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-18,1366.0,1464.8,1366.0,1437.9,1440.0,1400.05,311904,447370602.6,22681
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-15,1440.5,1440.5,1393.6,1400.05,1400.0,1419.25,86511,121363956.85,6078
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-14,1405.7,1459.0,1375.0,1419.25,1454.3,1405.7,52139,73291353.55,6134
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-13,1419.65,1419.65,1372.35,1405.7,1400.0,1409.65,97278,136359959.1,14724
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-12,1432.35,1443.05,1402.0,1409.65,1406.8,1453.35,59608,84455340.85,9297
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-11,1461.65,1464.0,1406.7,1453.35,1452.0,1449.95,54070,77770043.2,10580
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-07,1438.0,1476.1,1423.9,1449.95,1449.7,1420.4,84224,122522104.0,14000
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-06,1403.55,1441.55,1396.3,1420.4,1424.0,1432.6,187513,264985784.3,26745
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-05,1515.65,1515.65,1425.0,1432.6,1430.05,1500.05,72867,106056697.1,11537
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-04,1528.9,1528.9,1491.0,1500.05,1499.0,1516.1,84561,126828033.8,8363
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-02,1512.6,1531.0,1490.0,1516.1,1526.0,1502.3,7318,11071880.9,1089
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-03-01,1524.4,1540.4,1495.55,1502.3,1503.0,1514.05,61322,92468133.6,7614
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-29,1563.0,1571.95,1508.5,1514.05,1514.85,1559.05,103686,158136098.4,17416
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-28,1636.9,1638.95,1542.95,1559.05,1558.0,1593.85,69985,110370272.9,10810
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-27,1607.05,1687.2,1577.05,1593.85,1590.0,1607.05,242441,396420677.6,28651
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-26,1581.0,1613.0,1561.05,1607.05,1611.0,1569.05,133743,213453307.8,13227
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-23,1520.0,1596.9,1518.9,1569.05,1565.0,1524.0,68382,105749110.5,8082
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-22,1539.65,1545.2,1474.9,1524.0,1514.5,1530.25,149996,227140766.95,19143
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-21,1580.0,1643.8,1502.0,1530.25,1526.0,1576.55,258142,409762024.4,24003
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-20,1576.1,1587.5,1553.45,1576.55,1580.0,1570.0,132431,208550086.8,12651
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-19,1545.2,1585.0,1545.15,1570.0,1579.1,1568.2,79619,124974152.15,8994
DOMS Industries Limited,INE321T01012,2023-12-20,EQ,DOMS,2024-02-16,1578.0,1590.0,1540.25,1568.2,1567.0,1566.55,50084,78444647.5,5798
