StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-28,2389.45,2414.7,2336.0,2367.3,2385.0,2387.1,59087,140075083.4,7187
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-27,2342.0,2399.0,2342.0,2387.1,2384.0,2341.8,26408,62836363.85,6791
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-26,2403.0,2428.0,2330.15,2341.8,2340.15,2410.45,60552,143098768.25,12970
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-22,2343.6,2428.0,2325.6,2410.45,2405.0,2358.0,39600,94079282.85,7551
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-21,2360.1,2438.75,2337.5,2358.0,2355.0,2355.65,58524,139248915.3,7587
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-20,2335.0,2395.3,2335.0,2355.65,2353.55,2333.7,48561,114748293.9,7465
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-19,2501.95,2550.0,2292.35,2333.7,2320.0,2461.3,217027,513622728.25,21964
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-18,2432.0,2502.0,2420.0,2461.3,2490.0,2425.95,74649,183037664.9,11881
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-15,2428.6,2495.75,2383.05,2425.95,2465.0,2448.65,87423,211687345.45,11479
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-14,2334.3,2464.25,2334.3,2448.65,2427.8,2334.3,36285,87230369.7,6948
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-13,2364.25,2390.0,2272.2,2334.3,2311.0,2404.15,56187,131052263.8,11434
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-12,2411.95,2418.35,2360.0,2404.15,2379.95,2400.05,39423,94925193.6,5840
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-11,2472.6,2472.6,2381.85,2400.05,2410.0,2434.15,48995,117875803.9,6477
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-07,2435.0,2475.0,2400.0,2434.15,2435.0,2435.55,38922,94593494.5,5010
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-06,2499.8,2499.8,2359.85,2435.55,2429.7,2498.1,96594,233436987.15,12434
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-05,2496.0,2512.5,2473.5,2498.1,2500.0,2499.8,53603,133421292.75,5392
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-04,2491.1,2509.15,2475.05,2499.8,2495.6,2518.55,14971,37348146.7,3816
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-02,2548.9,2548.9,2472.05,2518.55,2545.9,2498.9,2340,5870580.6,441
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-03-01,2512.5,2569.0,2481.0,2498.9,2492.0,2521.9,30956,77453474.1,4609
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-29,2498.7,2552.0,2450.8,2521.9,2500.0,2488.85,108524,273365675.8,10457
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-28,2517.7,2549.9,2456.3,2488.85,2484.0,2486.85,43703,109488858.25,7065
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-27,2442.2,2507.95,2430.0,2486.85,2490.0,2442.2,31021,76777242.35,6454
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-26,2499.55,2500.0,2426.0,2442.2,2440.0,2495.55,34078,83601406.4,5090
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-23,2480.05,2520.0,2460.0,2495.55,2497.0,2482.05,43690,108746724.35,7746
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-22,2456.35,2490.0,2409.05,2482.05,2477.0,2449.05,55890,137113179.4,11215
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-21,2391.05,2523.7,2379.1,2449.05,2433.15,2404.15,115047,282905283.8,15288
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-20,2329.3,2424.9,2301.15,2404.15,2420.0,2312.3,141004,331380544.5,15682
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-19,2278.05,2412.05,2278.05,2312.3,2322.0,2320.15,356587,830213132.45,25274
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-16,2350.0,2374.95,2311.9,2320.15,2323.0,2318.05,330867,768957193.65,24955
eClerx Services Limited,INE738I01010,2007-12-31,EQ,ECLERX,2024-02-15,2376.0,2384.2,2305.05,2318.05,2308.0,2363.85,77476,181254507.5,12749
