StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-28,441.0,473.9,441.0,449.5,455.0,439.8,1555171,714648195.85,62016
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-27,449.8,456.7,430.35,439.8,436.8,442.5,1078430,481248538.95,40604
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-26,428.0,448.45,425.05,442.5,443.2,421.75,1335045,589917691.0,43197
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-22,420.0,425.0,415.95,421.75,423.0,419.15,361432,151863077.65,27920
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-21,416.5,422.9,415.1,419.15,418.6,416.25,240699,100728739.7,19150
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-20,398.0,421.0,396.5,416.25,415.95,398.55,588462,241464277.65,39156
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-19,404.8,408.5,396.0,398.55,399.2,405.05,172102,69219828.4,17223
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-18,417.05,419.0,402.4,405.05,404.0,417.05,285234,116352786.9,31216
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-15,426.0,429.0,400.0,417.05,420.0,420.0,514050,212265707.25,24596
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-14,380.1,426.9,377.35,420.0,418.75,385.95,875213,355509234.0,30149
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-13,401.7,410.0,365.75,385.95,391.2,406.25,1145050,441317454.05,51276
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-12,418.9,418.9,402.0,406.25,409.9,414.5,373764,151941504.55,24105
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-11,428.25,429.65,411.5,414.5,412.7,424.85,511825,213410485.0,24903
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-07,427.0,429.65,420.05,424.85,423.85,428.05,424098,180379334.95,24310
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-06,430.0,432.0,415.85,428.05,424.6,426.9,1822143,773553531.9,34629
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-05,415.5,431.0,413.65,426.9,429.3,413.65,1476862,622950225.25,35923
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-04,409.85,428.35,407.0,413.65,414.35,404.6,1482101,621417704.1,45495
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-02,411.75,411.75,403.0,404.6,404.0,406.1,58180,23659489.35,2003
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-03-01,406.8,413.3,402.85,406.1,405.15,403.95,550750,224246583.4,19463
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-02-29,392.0,407.25,384.35,403.95,404.65,393.95,1703605,683691092.05,29538
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-02-28,399.2,401.3,391.3,393.95,393.0,398.35,1981369,781463545.3,23935
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-02-27,402.0,407.5,395.0,398.35,396.25,404.85,451726,181329337.55,18009
EIH Limited,INE230A01023,1995-02-08,EQ,EIHOTEL,2024-02-26,405.0,414.75,398.25,404.85,401.45,407.35,739604,299482767.95,27902
