StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-28,1825.0,1865.0,1778.4,1827.0,1817.6,1815.05,165547,299636679.3,15446
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-27,1765.0,1829.65,1762.85,1815.05,1814.0,1762.85,165952,297769787.1,12822
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-26,1795.3,1818.25,1755.0,1762.85,1765.0,1786.4,46074,82085313.9,13842
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-22,1775.0,1823.9,1775.0,1786.4,1786.0,1779.9,58166,104184771.7,11030
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-21,1762.3,1795.45,1755.1,1779.9,1779.0,1753.1,14819,26376705.0,4291
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-20,1782.0,1795.9,1735.0,1753.1,1763.9,1781.4,33547,58875359.3,5388
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-19,1808.45,1808.5,1775.0,1781.4,1775.0,1799.5,19489,34933150.9,4418
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-18,1829.95,1845.9,1767.0,1799.5,1800.0,1807.2,94787,171342931.2,8590
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-15,1780.3,1845.9,1773.05,1807.2,1825.0,1750.2,254764,461468029.0,40213
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-14,1731.2,1780.6,1720.8,1750.2,1775.0,1726.3,63229,110651751.85,7546
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-13,1832.05,1838.95,1716.2,1726.3,1726.0,1829.5,57276,101484009.1,14520
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-12,1802.95,1837.0,1787.1,1829.5,1835.0,1802.95,110768,200748778.9,8033
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-11,1830.5,1846.95,1790.0,1802.95,1800.0,1820.95,72631,131140245.5,5391
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-07,1781.0,1828.7,1781.0,1820.95,1826.0,1786.9,167470,304357264.2,7884
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-06,1794.0,1821.9,1772.9,1786.9,1798.4,1794.9,122396,220267609.4,7514
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-05,1834.95,1849.1,1785.7,1794.9,1803.0,1835.5,110684,200641484.65,13412
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-04,1863.1,1863.1,1807.0,1835.5,1830.0,1845.0,143308,262429442.95,8799
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-02,1837.75,1852.1,1824.0,1845.0,1840.5,1828.25,1590,2925839.0,372
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-03-01,1863.0,1863.0,1820.0,1828.25,1829.25,1857.0,29876,54799692.2,6645
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-29,1806.25,1873.45,1802.05,1857.0,1854.0,1808.35,177644,328488387.9,18756
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-28,1852.95,1867.2,1793.5,1808.35,1807.2,1855.75,59990,108610018.85,16000
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-27,1866.8,1878.6,1822.15,1855.75,1857.7,1860.8,216952,402265587.45,14173
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-26,1849.95,1877.0,1832.05,1860.8,1863.3,1842.45,144357,267033578.1,9123
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-23,1834.95,1847.95,1827.3,1842.45,1847.0,1829.1,79791,146455853.65,5322
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-22,1839.0,1850.0,1821.3,1829.1,1829.0,1842.2,211136,386796921.55,6897
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-21,1831.7,1865.95,1801.5,1842.2,1849.65,1831.7,147813,272691724.75,15535
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-20,1825.0,1840.75,1804.75,1831.7,1831.0,1818.15,176770,321436678.1,5856
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-19,1790.0,1857.75,1783.65,1818.15,1819.0,1783.65,147629,267301153.3,13920
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-16,1799.9,1825.6,1764.2,1783.65,1799.45,1794.4,291809,519315599.1,17369
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-15,1825.0,1836.4,1780.0,1794.4,1795.3,1817.1,119920,216368962.2,9670
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-14,1777.75,1838.0,1775.0,1817.1,1823.4,1806.9,93869,168621929.55,10026
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-13,1784.4,1844.95,1763.45,1806.9,1806.1,1775.7,69999,126416238.15,12802
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-12,1845.55,1881.95,1765.6,1775.7,1771.05,1842.45,171221,307303796.25,21936
Endurance Technologies Limited,INE913H01037,2016-10-19,EQ,ENDURANCE,2024-02-09,1954.0,1957.0,1832.15,1842.45,1835.0,1929.7,338856,636575084.55,28614
