StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-28,203.0,208.4,200.75,201.95,201.6,199.75,10743440,2201413478.65,54350
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-27,207.8,213.5,198.1,199.75,200.25,206.25,15545724,3203100369.4,77572
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-26,197.25,209.75,195.25,206.25,205.85,196.55,19535541,3990994068.2,99266
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-22,195.9,198.0,192.05,196.55,196.25,195.9,12116074,2359382540.75,65870
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-21,179.0,198.3,179.0,195.9,195.9,174.45,40946124,7892413048.3,177385
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-20,181.7,184.75,173.5,174.45,174.75,180.0,7794548,1380207661.85,71942
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-19,185.0,187.95,178.75,180.0,179.95,185.3,4809092,878999049.15,42070
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-18,190.0,195.75,182.7,185.3,185.15,188.8,9342129,1746896676.5,65724
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-15,195.9,200.4,183.0,188.8,188.5,195.85,8500124,1609527183.65,75977
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-14,187.45,199.25,183.65,195.85,195.0,186.75,8088061,1577882409.4,76191
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-13,210.2,214.5,184.75,186.75,186.8,211.15,12896265,2514948153.0,117168
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-12,216.75,216.75,204.45,211.15,212.9,216.8,6298992,1319826656.05,63271
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-11,226.85,226.9,215.05,216.8,215.5,225.75,3577163,785422182.2,41156
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-07,226.0,228.35,223.2,225.75,225.3,224.35,3329381,752885324.65,38911
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-06,233.4,233.4,219.45,224.35,224.9,233.15,8517498,1916499311.85,71956
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-05,223.1,237.9,221.3,233.15,233.4,222.3,25870660,6032161390.25,151761
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-04,217.0,226.5,213.0,222.3,221.5,215.7,8984687,1983163476.15,62186
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-02,217.2,217.3,214.6,215.7,215.65,215.7,482288,104197030.0,5078
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-03-01,212.5,217.55,210.55,215.7,215.1,209.55,4822213,1034080287.7,37014
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-02-29,205.0,212.35,202.0,209.55,209.9,205.55,6244360,1301624513.8,50991
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-02-28,213.95,214.9,203.65,205.55,206.4,213.55,5575292,1160236034.5,62338
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-02-27,216.0,218.85,211.9,213.55,213.15,216.25,4577588,983441622.6,41841
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-02-26,220.45,221.45,215.55,216.25,216.3,220.45,2683178,583685712.05,24813
Engineers India Limited,INE510A01028,1997-08-20,EQ,ENGINERSIN,2024-02-23,219.7,227.0,219.05,220.45,221.3,218.3,5152426,1144256996.5,39470
